"TOA5","OwascoMetInternet","CR1000","60228","CR1000.Std.26","CPU:Owasco_MET.cr1","333","TRB_Avg"
"TIMESTAMP","RECORD","AirTempC_Avg","RHumidity_Avg","P_mb_Avg","SolarRad_Avg","Precip_mm_Max","Precip_mm_TMx"
"TS","RN","","","","","",""
"","","Avg","Avg","Avg","Avg","Max","TMx"
"2022-10-11 08:35:30",80018,8.21,100,999.3824,122.2,0,"2022-10-11 08:30:30"
"2022-10-11 09:05:30",80019,8.56,100,999.3273,197.4,0,"2022-10-11 09:00:30"
"2022-10-11 09:35:30",80020,9.72,96.1,999.1665,267.4,0,"2022-10-11 09:30:30"
"2022-10-11 10:05:30",80021,11.09,91.1,999.221,332.2,0,"2022-10-11 10:00:30"
"2022-10-11 10:35:30",80022,12.46,81.2,999.2242,396.8,0,"2022-10-11 10:30:30"
"2022-10-11 11:35:30",80023,15.46,62.34,999.1096,502.6,0,"2022-10-11 11:30:30"
"2022-10-11 12:05:30",80024,16.2,60.8,999.0495,536.1,0,"2022-10-11 12:00:30"
"2022-10-11 12:35:30",80025,17.12,59.9,998.7184,647.5,0,"2022-10-11 12:30:30"
"2022-10-11 13:35:30",80026,-74.62,"NAN",997.8832,0.008,0,"2022-10-11 13:30:30"
"2022-10-11 14:35:30",80027,-67.59,"NAN",1003.74,0.002,0,"2022-10-11 14:30:30"
"2022-10-16 11:05:30",80028,-117.7,"NAN",995.3221,0.012,0,"2022-10-16 11:00:30"
"2022-10-16 11:35:30",80029,-113.8,"NAN",995.236,0.021,0,"2022-10-16 11:30:30"
"2022-10-16 12:05:30",80030,-108.3,"NAN",994.9858,0.023,0,"2022-10-16 12:00:30"
"2022-10-16 12:35:30",80031,-103.1,"NAN",994.5848,0.02,0,"2022-10-16 12:30:30"
"2022-10-16 13:05:30",80032,-99.8,"NAN",994.4095,0.03,0,"2022-10-16 13:00:30"
"2022-10-16 13:35:30",80033,-94.3,"NAN",992.2746,0.03,0,"2022-10-16 13:30:30"
"2022-10-16 14:05:30",80034,-85.9,"NAN",993.6337,0.014,0,"2022-10-16 14:00:30"
"2022-10-16 14:35:30",80035,-75.38,"NAN",993.1979,0.022,0,"2022-10-16 14:30:30"
"2022-10-16 15:05:30",80036,-73.92,"NAN",992.8236,0.007,0,"2022-10-16 15:00:30"
"2023-04-11 11:05:30",80037,-137.2,"NAN",1000.315,0.056,0,"2023-04-11 11:00:30"
"2023-04-11 12:05:30",80038,20.6,25.14,999.4608,564.3,0,"2023-04-11 12:00:30"
"2023-04-13 14:05:30",80039,-98.2,"NAN",991.1265,0,0,"2023-04-13 14:00:30"
"2023-05-02 13:05:30",80040,7.926,65.31,968.0038,492.2,0,"2023-05-02 13:00:30"
"2023-05-02 13:35:30",80041,8.15,62.78,968.0582,368.3,0,"2023-05-02 13:30:30"
"2023-05-02 14:05:30",80042,8.75,56.97,968.1978,230.7,0,"2023-05-02 14:00:30"
"2023-05-02 14:35:30",80043,8.74,59.37,968.4409,416.8,0,"2023-05-02 14:30:30"
"2023-05-02 15:05:30",80044,9.46,50.17,968.567,269.3,0,"2023-05-02 15:00:30"
"2023-05-02 15:35:30",80045,9.58,52.14,968.6495,471.5,0,"2023-05-02 15:30:30"
"2023-05-02 16:05:30",80046,9.53,51.35,968.7759,243.3,0,"2023-05-02 16:00:30"
"2023-05-02 16:35:30",80047,9.54,52.96,968.866,209.2,0,"2023-05-02 16:30:30"
"2023-05-02 17:05:30",80048,9.11,57.28,969.4024,186.7,0,"2023-05-02 17:00:30"
