"TOA5","OwascoWinchInternet","CR1000","57852","CR1000.Std.26","CPU:Owasco.cr1","37634","SondeHourly"
"TIMESTAMP","RECORD","sensorParms(1)","sensorParms(2)","sensorParms(3)","sensorParms(4)","sensorParms(5)","sensorParms(6)","sensorParms(7)","sensorParms(8)","sensorParms(9)","sensorParms(10)"
"TS","RN","","","","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2022-10-11 00:55:00",17340,5.44,43.91,342.92,-0.19,0.25,61.34,7.74,1.01,5.93,10.08
"2022-10-11 01:55:00",17341,5.54,43.91,341.63,-0.27,0.3,63.16,7.95,1.05,5.93,10.09
"2022-10-11 02:55:00",17342,5.46,43.91,342,-0.24,0.26,63.36,7.99,1.04,5.93,10.01
"2022-10-11 03:55:00",17343,5.45,43.9,342.46,-0.21,0.25,62.16,7.84,1.03,5.93,10.03
"2022-10-11 04:55:00",17344,5.44,43.9,342.22,-0.22,0.25,62.79,7.92,1.05,5.93,9.99
"2022-10-11 05:55:00",17345,5.45,43.91,342.55,-0.23,0.25,61.95,7.81,1.04,5.93,10
"2022-10-11 06:55:00",17346,5.43,43.9,342.81,-0.23,0.2,61.06,7.7,1.02,5.93,9.82
"2022-10-11 07:55:00",17347,5.4,43.9,343.58,-0.19,0.19,59.18,7.47,1.05,5.93,10.12
"2022-10-11 08:55:00",17348,5.4,43.91,343.54,-0.26,0.18,59.42,7.5,1.02,5.93,10.86
"2022-10-11 09:55:00",17349,5.39,43.91,343.84,-0.22,0.23,58.53,7.39,1.05,5.93,11.31
"2022-10-11 10:55:00",17350,5.39,43.91,343.84,-0.23,0.25,58.33,7.37,1.05,5.93,12.12
"2023-04-11 11:55:00",17351,16.58,0.62,660.4,32.39,0.08,113.9,11.09,0.33,5.81,11.7
"2023-05-02 12:55:00",17352,4.86,43.99,343.68,-0.05,0.41,100,12.8,1.15,5.75,12.12
"2023-05-02 13:55:00",17353,4.84,43.99,343.96,-0.03,0.49,100.1,12.83,1.2,5.76,11.41
"2023-05-02 14:55:00",17354,4.82,44,343.74,-0.03,0.49,100.14,12.84,1.15,5.77,11.38
"2023-05-02 15:55:00",17355,4.82,43.98,343.99,0.04,0.4,100.1,12.83,1.19,5.77,11.51
"2023-05-02 16:55:00",17356,4.85,44.01,343.69,-0.04,0.42,100.16,12.83,1.18,5.77,11.21
"2023-05-02 17:55:00",17357,4.87,44.01,343.88,-0.13,0.47,100.16,12.82,1.14,5.77,11.74
"2023-05-02 18:55:00",17358,4.85,44.02,343.98,0,0.39,100.21,12.83,1.16,5.77,10.46
"2023-05-02 19:55:00",17359,4.83,44.03,343.65,-0.06,0.45,100.32,12.86,1.17,5.77,10.21
"2023-05-02 20:55:00",17360,4.77,44.04,344.31,-0.06,0.38,99.96,12.83,1.14,5.77,10.17
"2023-05-02 21:55:00",17361,4.81,44.04,343.6,-0,0.45,100.49,12.89,1.16,5.77,10.12
"2023-05-02 22:55:00",17362,4.78,44.04,344.03,-0.18,0.4,100.45,12.89,1.17,5.78,10.05
"2023-05-02 23:55:00",17363,4.7,44.04,343.86,-0.04,0.36,100.06,12.87,1.16,5.78,10
"2023-05-03 00:55:00",17364,4.76,44.02,343.45,-0.08,0.37,100.04,12.84,1.12,5.78,9.88
"2023-05-03 01:55:00",17365,4.75,44.02,344.53,0.02,0.32,100.25,12.87,1.15,5.78,9.9
