"TOA5","OwascoWinchInternet","CR1000","57852","CR1000.Std.26","CPU:Owasco.cr1","37634","DbgMoveSequence"
"TIMESTAMP","RECORD","DbgStr","DbgStr2"
"TS","RN","",""
"","","Smp","Smp"
"2022-10-09 12:44:22",3952,"(-1)1.04; ","[ (-1)  Curr( 1.04) PrevDpt( 1.53) ]; "
"2023-05-04 00:00:31",3953,"44.08; 44.34; 44.51; 44.68; 44.85; 45.02; 45.21; 45.38; 45.49; 45.76; 45.94; (1)46.1; (1)46.36; (1)46.45; ","[ (1)  Curr( 46.45) PrevDpt( 46.36) ]; "
"2023-05-04 00:01:58",3954,"46.41; 46.18; 46.06; 45.95; 45.72; 45.63; (-1)45.51; (-1)45.15; (-1)45.13; (-1)45.04; ","[ (-1)  Curr( 45.04) PrevDpt( 45.13) ]; "
"2023-05-04 00:03:31",3955,"45.03; 44.83; 44.65; 44.59; 44.43; 44.19; 44.2; 43.9; (-1)43.87; (-1)43.64; (-1)43.57; ","[ (-1)  Curr( 43.57) PrevDpt( 43.64) ]; "
"2023-05-04 00:05:02",3956,"43.52; 43.3; 43.23; 43.05; 42.92; 42.78; 42.61; (-1)42.48; (-1)42.19; (-1)42.07; ","[ (-1)  Curr( 42.07) PrevDpt( 42.19) ]; "
"2023-05-04 00:06:32",3957,"42.05; 41.87; 41.72; 41.54; 41.31; 41.23; 41.05; (-1)40.85; (-1)40.7; (-1)40.57; ","[ (-1)  Curr( 40.57) PrevDpt( 40.7) ]; "
"2023-05-04 00:08:02",3958,"40.56; 40.39; 40.24; 40.06; 39.83; 39.74; 39.59; (-1)39.47; (-1)39.08; ","[ (-1)  Curr( 39.08) PrevDpt( 39.47) ]; "
"2023-05-04 00:09:28",3959,"39.14; 38.89; 38.81; 38.7; 38.47; 38.29; 38.15; (-1)37.93; (-1)37.73; (-1)37.57; ","[ (-1)  Curr( 37.57) PrevDpt( 37.73) ]; "
"2023-05-04 00:10:58",3960,"37.54; 37.37; 37.14; 37.03; 36.8; 36.62; (-1)36.55; (-1)36.12; (-1)36.11; (-1)35.96; ","[ (-1)  Curr( 35.96) PrevDpt( 36.11) ]; "
"2023-05-04 00:12:31",3961,"36.01; 35.82; 35.66; 35.43; 35.39; 35.17; 34.97; (-1)34.86; (-1)34.62; (-1)34.55; ","[ (-1)  Curr( 34.55) PrevDpt( 34.62) ]; "
"2023-05-04 00:14:00",3962,"34.44; 34.36; 34.18; 33.95; 33.83; 33.67; 33.43; (-1)33.38; (-1)33.05; ","[ (-1)  Curr( 33.05) PrevDpt( 33.38) ]; "
