"TOA5","OwascoWinchInternet","CR1000","57852","CR1000.Std.26","CPU:Owasco.cr1","37634","EventLog"
"TIMESTAMP","RECORD","EventMsg","EventDetails"
"TS","RN","",""
"2021-04-09 15:33:47.1",138425,"[04/09/2021 15:34:01.78] ERROR: (GetParam) - Unable to locate valid Depth parameter."," No Sonde!  #   # "
"2021-04-09 15:52:45.29",138426,"***** Datalogger Reset *****","Program Signature: 23139; Profiler version: 26.4; debug: 0; Modbus: 0; [57277]."
"2021-04-09 15:54:37.91",138427,"Modem ON - Reseting at 1432 / 1440","modemCurrMin(954); modemResetMin(1432)"
"2021-04-09 15:54:38.17",138428,"[04/09/2021 15:54:38.17]  WARNING: Unable to verify sonde's time.","Time parameter is not on or not yet known."
"2021-04-09 15:54:38.18",138429,"[04/09/2021 15:54:38.17]  WARNING: Unable to verify sonde's time.","Time parameter is not on or not yet known."
"2021-04-09 15:54:52.1",138430,"(Setup Mode)(F8) - Manual Sonde Parameter reading."," 1 22 7 223 194 211 212 216 28 230   #"
"2021-04-09 15:56:07.7",138431,"(Setup Mode)(F8) - Manual Sonde Parameter reading."," 1 22 7 223 194 211 212 216 28 230   #"
"2021-04-09 15:56:28.1",138432,"(Setup Mode) (F5) - Manual RS232 reading."," 14.70 0.17 673.37 -2.16 -0.32 103.79 10.52 -0.26 5.96 10.38   # "
"2021-04-09 16:00:11.02",138433,"***** Datalogger Reset *****","Program Signature: 23139; Profiler version: 26.4; debug: 0; Modbus: 0; [57723]."
"2021-04-09 16:02:03.56",138434,"Modem ON - Reseting at 1432 / 1440","modemCurrMin(962); modemResetMin(1432)"
"2021-04-09 16:02:03.82",138435,"[04/09/2021 16:02:03.82]  WARNING: Unable to verify sonde's time.","Time parameter is not on or not yet known."
"2021-04-09 16:02:03.83",138436,"[04/09/2021 16:02:03.82]  WARNING: Unable to verify sonde's time.","Time parameter is not on or not yet known."
"2021-04-09 16:02:39.1",138437,"(Setup Mode)(F8) - Manual Sonde Parameter reading."," 1 22 7 223 194 211 212 216 28 230   #"
"2021-04-09 16:02:52.1",138438,"(Setup Mode) (F5) - Manual RS232 reading."," 15.02 0.13 674.80 -2.48 -0.38 104.52 10.52 -0.25 5.96 10.41   # "
"2021-04-17 14:27:36.37",138439,"***** Datalogger Reset *****","Program Signature: 23139; Profiler version: 26.4; debug: 0; Modbus: 0; [52168]."
"2021-04-17 14:29:29",138440,"Modem ON - Reseting at 1432 / 1440","modemCurrMin(869); modemResetMin(1432)"
"2021-04-17 14:29:29.25",138441,"[04/17/2021 14:29:29.25]  WARNING: Unable to verify sonde's time.","Time parameter is not on or not yet known."
"2021-04-17 14:29:29.26",138442,"[04/17/2021 14:29:29.25]  WARNING: Unable to verify sonde's time.","Time parameter is not on or not yet known."
"2021-04-17 14:31:43.1",138443,"(Setup Mode)(F8) - Manual Sonde Parameter reading."," 1 22 7 223 194 211 212 216 28 230   #"
"2021-04-17 14:31:55.1",138444,"(Setup Mode) (F5) - Manual RS232 reading."," 4.60 6.44 330.63 -3.46 0.57 102.25 13.18 0.73 5.96 10.19   # "
"2021-04-17 23:52:00",138445,"[04/17/2021 23:52:00.01]        Turning modem OFF","ModemCounter (23685); modemCurrMin(1431); resetModem(53)"
"2021-04-17 23:53:01",138446,"[04/17/2021 23:53:01.01]        Turning modem back ON","ModemCounter (23746); modemCurrMin(1433); resetModem(0)"
"2021-04-18 00:00:00",138447,"[04/18/2021 00:00:00.02] *** Start of profile [1] (0, 0, -1, 1)  ***","CurrPflType[1]; currPflIndex[1]"
"2021-04-18 00:00:00",138448,"[04/18/2021 00:00:05.79]  Water available (46.5); Start Depth (46.5); End Depth (1)."," StartX [46.5]; EndX [1] BottomType[0]; bIsBottomRef[0]; ProfileLeg[1]"
"2021-04-18 00:47:37",138449,"[04/18/2021 00:52:48.16] *** End of profile [1] ***",""
"2021-04-18 12:00:00",138450,"[04/18/2021 12:00:00.02] *** Start of profile [2] (0, 0, -1, 1)  ***","CurrPflType[1]; currPflIndex[1]"
"2021-04-18 12:00:00",138451,"[04/18/2021 12:00:05.79]  Water available (46.5); Start Depth (46.5); End Depth (1)."," StartX [46.5]; EndX [1] BottomType[0]; bIsBottomRef[0]; ProfileLeg[1]"
"2021-04-18 12:45:28",138452,"[04/18/2021 12:49:51.71] *** End of profile [2] ***",""
"2021-04-18 23:52:00",138453,"[04/18/2021 23:52:00.01]        Turning modem OFF","ModemCounter (23747); modemCurrMin(1431); resetModem(53)"
"2021-04-18 23:53:01",138454,"[04/18/2021 23:53:01.01]        Turning modem back ON","ModemCounter (23808); modemCurrMin(1433); resetModem(0)"
"2021-04-19 00:00:00",138455,"[04/19/2021 00:00:00.02] *** Start of profile [3] (0, 0, -1, 1)  ***","CurrPflType[1]; currPflIndex[1]"
