"TOA5","OwascoWinchInternet","CR1000","57852","CR1000.Std.26","CPU:Owasco.cr1","37634","SondeHourly"
"TIMESTAMP","RECORD","sensorParms(1)","sensorParms(2)","sensorParms(3)","sensorParms(4)","sensorParms(5)","sensorParms(6)","sensorParms(7)","sensorParms(8)","sensorParms(9)","sensorParms(10)"
"TS","RN","","","","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2019-10-30 00:55:00",4584,6.92,43.91,322.69,2.02,0.37,58.08,7.06,1.07,6.18,9.84
"2021-04-09 14:55:00",8365,21.37,0.15,1042.5,-0.41,-0.05,97.94,8.64,-0.11,5.93,10.17
"2021-04-09 15:55:00",8366,14.65,0.18,673.67,-2.27,-0.35,103.93,10.54,-0.29,5.96,10.35
"2021-04-17 14:55:00",8367,4.3,43.91,331.59,-3.49,0.2,101.15,13.14,0.59,5.97,10.58
"2021-04-17 15:55:00",8368,4.31,43.91,331.42,-3.47,0.29,101.92,13.24,0.64,5.97,10.4
"2021-04-17 16:55:00",8369,4.47,43.91,331.29,-3.48,0.39,102.69,13.28,0.63,5.97,10.5
"2021-04-17 17:55:00",8370,4.47,43.91,331.23,-3.5,0.55,102.65,13.28,0.7,5.97,10.3
"2021-04-17 18:55:00",8371,4.45,43.91,331.16,-3.49,0.5,102.75,13.3,0.67,5.97,10.15
"2021-04-17 19:55:00",8372,4.45,43.92,331.24,-3.49,0.54,102.8,13.3,0.67,5.97,10
"2021-04-17 20:55:00",8373,4.38,43.92,331.28,-3.43,0.44,102.67,13.31,0.65,5.97,9.98
"2021-04-17 21:55:00",8374,4.34,43.92,331.49,-3.5,0.33,102.31,13.28,0.63,5.97,9.95
"2021-04-17 22:55:00",8375,4.43,43.92,331.41,-3.51,0.44,102.51,13.27,0.65,5.97,9.85
"2021-04-17 23:55:00",8376,4.3,43.92,331.35,-3.48,0.39,101.91,13.24,0.69,5.97,9.89
"2021-04-18 00:55:00",8377,4.26,43.92,331.91,-3.5,0.22,101.57,13.21,0.64,5.97,9.73
"2021-04-18 01:55:00",8378,4.21,43.91,331.67,-3.41,0.1,101.31,13.19,0.62,5.97,9.85
"2021-04-18 02:55:00",8379,4.23,43.91,331.62,-3.49,0.16,101.54,13.22,0.61,5.97,9.79
"2021-04-18 03:55:00",8380,4.24,43.91,331.61,-3.47,0.31,101.47,13.2,0.68,5.97,9.7
"2021-04-18 04:55:00",8381,4.25,43.91,331.58,-3.49,0.16,101.62,13.22,0.65,5.97,9.81
"2021-04-18 05:55:00",8382,4.26,43.91,331.57,-3.48,0.2,101.58,13.21,0.63,5.97,9.77
"2021-04-18 06:55:00",8383,4.27,43.91,331.61,-3.5,0.1,101.74,13.23,0.59,5.97,9.78
"2021-04-18 07:55:00",8384,4.27,43.92,331.58,-3.47,0.23,101.74,13.23,0.64,5.97,10.22
"2021-04-18 08:55:00",8385,4.27,43.92,331.68,-3.5,0.16,101.61,13.21,0.63,5.98,10.73
"2021-04-18 09:55:00",8386,4.29,43.92,331.56,-3.48,0.24,101.78,13.23,0.61,5.97,10.8
"2021-04-18 10:55:00",8387,4.3,43.92,331.62,-3.51,0.2,101.81,13.23,0.62,5.97,12.12
"2021-04-18 11:55:00",8388,4.42,43.92,331.52,-3.48,0.33,102.15,13.23,0.65,5.97,10.73
"2021-04-18 12:55:00",8389,4.43,43.99,331.52,-3.5,0.35,102.24,13.24,0.63,5.97,10.83
