"TOA5","OwascoWinchInternet","CR1000","57852","CR1000.Std.26","CPU:Owasco.cr1","37634","PFL_Step"
"TIMESTAMP","RECORD","PFL_Counter","_CntRS232","_RS232Dpt","sensorParms(1)","sensorParms(2)","sensorParms(3)","sensorParms(4)","sensorParms(5)","sensorParms(6)","sensorParms(7)","sensorParms(8)","sensorParms(9)","sensorParms(10)"
"TS","RN","","","","","","","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2019-10-30 00:46:22",11743,350,1,1.02,12.72,1.02,305.85,0.24,0.85,94.65,10.03,0.88,6.18,9.82
"2021-04-18 00:01:41",21179,1,1,46.42,4.24,46.42,331.18,-3.5,0.09,101.43,13.2,0.59,5.97,9.85
"2021-04-18 00:03:10",21180,1,1,45.1,4.2,45.1,332.24,-3.48,0.13,101.46,13.21,0.62,5.97,9.68
"2021-04-18 00:04:41",21181,1,1,43.56,4.24,43.56,332.13,-3.48,0.25,101.69,13.23,0.64,5.97,9.89
"2021-04-18 00:06:11",21182,1,1,42.07,4.31,42.07,332.71,-3.47,0.38,102.05,13.25,0.66,5.97,9.85
"2021-04-18 00:07:41",21183,1,1,40.57,4.51,40.57,331.12,-3.5,0.6,102.52,13.24,0.71,5.97,9.79
"2021-04-18 00:09:11",21184,1,1,39.06,4.55,39.06,331.51,-3.5,0.8,102.8,13.27,0.74,5.97,9.85
"2021-04-18 00:10:41",21185,1,1,37.57,4.56,37.57,331.3,-3.48,0.85,102.81,13.27,0.73,5.97,9.85
"2021-04-18 00:12:11",21186,1,1,36.07,4.57,36.07,331.25,-3.51,0.78,102.9,13.27,0.71,5.97,9.76
"2021-04-18 00:13:41",21187,1,1,34.56,4.58,34.56,331.2,-3.51,0.74,102.9,13.27,0.74,5.97,9.86
"2021-04-18 00:15:11",21188,1,1,33.05,4.58,33.05,330.84,-3.45,0.66,102.91,13.27,0.69,5.97,9.87
"2021-04-18 00:16:40",21189,1,1,31.56,4.58,31.56,331.36,-3.46,0.67,102.93,13.28,0.69,5.97,9.8
"2021-04-18 00:18:10",21190,1,1,30.06,4.59,30.06,331.13,-3.52,0.77,102.97,13.28,0.71,5.97,9.76
"2021-04-18 00:19:40",21191,1,1,28.55,4.58,28.55,331.32,-3.44,0.83,103.01,13.28,0.75,5.97,9.83
"2021-04-18 00:21:10",21192,1,1,27.06,4.58,27.06,331.04,-3.48,0.63,103.01,13.29,0.71,5.97,9.85
"2021-04-18 00:22:41",21193,1,1,25.58,4.61,25.58,331.52,-3.47,0.94,103.11,13.29,0.74,5.97,9.69
"2021-04-18 00:24:12",21194,1,1,24.07,4.63,24.07,331.4,-3.49,0.9,103.33,13.31,0.74,5.97,9.87
"2021-04-18 00:25:42",21195,1,1,22.57,4.67,22.57,331.13,-3.49,1.11,103.36,13.3,0.82,5.97,9.86
"2021-04-18 00:27:12",21196,1,1,21.04,4.66,21.04,330.75,-3.49,0.92,103.43,13.31,0.77,5.97,9.68
"2021-04-18 00:28:41",21197,1,1,19.55,4.67,19.55,331.23,-3.47,0.84,103.41,13.3,0.76,5.97,9.83
"2021-04-18 00:30:10",21198,1,1,18.04,4.69,18.04,331.09,-3.43,0.88,103.54,13.32,0.75,5.97,9.79
"2021-04-18 00:31:39",21199,1,1,16.54,4.7,16.54,330.66,-3.5,1.06,103.57,13.32,0.84,5.97,9.8
"2021-04-18 00:33:04",21200,1,1,15.1,4.7,15.1,330.86,-3.48,0.9,103.63,13.33,0.81,5.97,9.8
"2021-04-18 00:34:33",21201,1,1,13.53,4.71,13.53,330.71,-3.46,1.18,103.63,13.32,0.84,5.97,9.86
"2021-04-18 00:36:02",21202,1,1,12.05,4.76,12.05,330.65,-3.45,1.71,103.91,13.34,0.94,5.97,9.85
"2021-04-18 00:37:31",21203,1,1,10.55,4.78,10.55,330.92,-3.45,1.07,104.12,13.36,0.81,5.97,9.69
"2021-04-18 00:39:00",21204,1,1,9.04,4.8,9.04,330.65,-3.49,1.12,104.19,13.36,0.78,5.97,9.84
"2021-04-18 00:40:28",21205,1,1,7.52,4.82,7.52,330.58,-3.5,1.19,104.19,13.36,0.82,5.97,9.77
"2021-04-18 00:41:56",21206,1,1,6.03,4.82,6.03,330.47,-3.47,1.72,104.17,13.35,0.96,5.97,9.77
"2021-04-18 00:43:24",21207,1,1,4.54,4.82,4.54,330.58,-3.44,1.44,104.18,13.35,0.94,5.97,9.79
"2021-04-18 00:44:52",21208,1,1,3.03,4.82,3.03,330.66,-3.46,1.66,104.25,13.36,0.96,5.97,9.84
"2021-04-18 00:46:20",21209,1,1,1.53,4.82,1.53,330.56,-3.44,1.38,104.22,13.36,0.84,5.97,9.85
"2021-04-18 00:47:37",21210,1,1,1.05,4.82,1.05,330.74,-3.43,1.41,104.22,13.36,0.91,5.97,9.79
"2021-04-18 12:01:36",21211,2,1,46.42,4.34,46.42,332,-3.51,0.26,102.04,13.24,0.64,5.97,10.83
"2021-04-18 12:03:04",21212,2,1,45.04,4.42,45.04,331.2,-3.44,0.32,102,13.21,0.63,5.97,11.03
"2021-04-18 12:04:33",21213,2,1,43.54,4.42,43.54,331.37,-3.49,0.34,102.01,13.21,0.63,5.97,10.89
"2021-04-18 12:06:01",21214,2,1,42.04,4.44,42.04,331.51,-3.49,0.36,102.01,13.21,0.62,5.97,10.79
"2021-04-18 12:07:29",21215,2,1,40.51,4.44,40.51,331.56,-3.48,0.25,102.06,13.21,0.63,5.97,10.78
"2021-04-18 12:08:57",21216,2,1,39.04,4.45,39.04,331.62,-3.44,0.35,102.04,13.21,0.63,5.97,10.86
"2021-04-18 12:10:25",21217,2,1,37.54,4.47,37.54,331.29,-3.5,0.3,102.16,13.21,0.61,5.97,11.53
"2021-04-18 12:11:53",21218,2,1,36.02,4.49,36.02,331.38,-3.5,0.38,102.32,13.23,0.62,5.97,11.12
"2021-04-18 12:13:17",21219,2,1,34.59,4.5,34.59,331.5,-3.48,0.38,102.51,13.25,0.65,5.97,11.32
"2021-04-18 12:14:41",21220,2,1,33.09,4.54,33.09,331.61,-3.47,0.46,102.59,13.25,0.68,5.97,11.74
