"TOA5","OwascoWinchInternet","CR1000","57852","CR1000.Std.26","CPU:Owasco.cr1","37634","DbgMoveSequence"
"TIMESTAMP","RECORD","DbgStr","DbgStr2"
"TS","RN","",""
"","","Smp","Smp"
"2019-10-29 12:45:35",1433,"(-1)1.08; ","[ (-1)  Curr( 1.08) PrevDpt( 1.53) ]; "
"2021-04-19 12:00:31",2050,"44.09; 44.31; 44.55; 44.75; 45; 45.2; 45.44; 45.68; 45.85; (1)46.06; (1)46.42; ","[ (1)  Curr( 46.42) PrevDpt( 46.06) ]; "
"2021-04-19 12:01:52",2051,"46.39; 46.18; 46.01; 45.84; 45.64; (-1)45.49; (-1)45.16; (-1)45.04; ","[ (-1)  Curr( 45.04) PrevDpt( 45.16) ]; "
"2021-04-19 12:03:19",2052,"44.98; 44.8; 44.63; 44.41; 44.23; 44.03; (-1)43.88; (-1)43.58; ","[ (-1)  Curr( 43.58) PrevDpt( 43.88) ]; "
"2021-04-19 12:04:43",2053,"43.55; 43.33; 43.13; 42.94; 42.72; 42.54; (-1)42.37; (-1)42.08; ","[ (-1)  Curr( 42.08) PrevDpt( 42.37) ]; "
"2021-04-19 12:06:07",2054,"42.03; 41.83; 41.64; 41.43; 41.25; 41.05; (-1)40.87; (-1)40.58; ","[ (-1)  Curr( 40.58) PrevDpt( 40.87) ]; "
"2021-04-19 12:07:31",2055,"40.56; 40.33; 40.14; 39.95; 39.73; 39.54; (-1)39.38; (-1)39.08; ","[ (-1)  Curr( 39.08) PrevDpt( 39.38) ]; "
"2021-04-19 12:08:55",2056,"39.03; 38.86; 38.67; 38.48; 38.3; 38.09; (-1)37.94; (-1)37.59; ","[ (-1)  Curr( 37.59) PrevDpt( 37.94) ]; "
"2021-04-19 12:10:20",2057,"37.54; 37.35; 37.15; 36.93; 36.74; 36.52; (-1)36.36; (-1)36.05; ","[ (-1)  Curr( 36.05) PrevDpt( 36.36) ]; "
"2021-04-19 12:11:44",2058,"36.01; 35.79; 35.59; 35.38; 35.17; 34.98; (-1)34.8; (-1)34.55; ","[ (-1)  Curr( 34.55) PrevDpt( 34.8) ]; "
"2021-04-19 12:13:08",2059,"34.49; 34.29; 34.04; 33.84; 33.63; (-1)33.45; (-1)33.08; ","[ (-1)  Curr( 33.08) PrevDpt( 33.45) ]; "
"2021-04-19 12:14:31",2060,"33.04; 32.85; 32.63; 32.43; 32.21; 32.01; (-1)31.84; (-1)31.54; ","[ (-1)  Curr( 31.54) PrevDpt( 31.84) ]; "
"2021-04-19 12:15:55",2061,"31.49; 31.28; 31.05; 30.85; 30.65; (-1)30.47; (-1)30.08; ","[ (-1)  Curr( 30.08) PrevDpt( 30.47) ]; "
