"TOA5","OwascoWinchInternet","CR1000","57852","CR1000.Std.26","CPU:Owasco.cr1","37634","EventLog"
"TIMESTAMP","RECORD","EventMsg","EventDetails"
"TS","RN","",""
"","","Smp","Smp"
"2016-10-25 00:46:55",61788,"[10/25/2016 00:51:56.12] *** End of profile [327] ***",""
"2017-04-02 16:18:34.4",61789,"***** Datalogger Reset *****","Program Signature: 53026; Profiler version: 26.4; debug: 0; Modbus: 0; [58826]."
"2017-04-02 16:20:26.75",61790,"Modem ON - Reseting at 1432 / 1440","modemCurrMin(980); modemResetMin(1432)"
"2017-04-02 16:20:27",61791,"[04/02/2017 16:20:27]  WARNING: Unable to verify sonde's time.","Time parameter is not on or not yet known."
"2017-04-02 16:20:27",61792,"[04/02/2017 16:20:27]  WARNING: Unable to verify sonde's time.","Time parameter is not on or not yet known."
"2017-04-02 16:28:02.1",61793,"(Setup Mode)(F8) - Manual Sonde Parameter reading."," 1 22 7 223 193 211 212 225 28 230 216 218 194 193 225 226   #"
"2017-04-12 16:26:53.7",61794,"***** Datalogger Reset *****","Program Signature: 53026; Profiler version: 26.4; debug: 0; Modbus: 0; [59326]."
"2017-04-12 16:28:46.05",61795,"Modem ON - Reseting at 1432 / 1440","modemCurrMin(988); modemResetMin(1432)"
"2017-04-12 16:28:46.3",61796,"[04/12/2017 16:28:46.30]  WARNING: Unable to verify sonde's time.","Time parameter is not on or not yet known."
"2017-04-12 16:28:46.31",61797,"[04/12/2017 16:28:46.30]  WARNING: Unable to verify sonde's time.","Time parameter is not on or not yet known."
"2017-04-12 16:32:20.1",61798,"(Setup Mode)(F8) - Manual Sonde Parameter reading."," 1 22 7 223 193 211 212 225 28 230 193 194 216 218 225 226 231 232 234   #"
"2017-04-12 16:32:32.1",61799,"(Setup Mode) (F5) - Manual RS232 reading."," 3.50 9.77 330.52 1.22 3.34 100.98 13.40 1.88 5.82 10.82 -nan 0.31 2.10 -nan -nan -nan -0.09 -nan 0.35   # "
"2017-04-12 23:52:00",61800,"[04/12/2017 23:52:00.01]        Turning modem OFF","ModemCounter (11285); modemCurrMin(1431); resetModem(53)"
"2017-04-12 23:53:01",61801,"[04/12/2017 23:53:01.01]        Turning modem back ON","ModemCounter (11346); modemCurrMin(1433); resetModem(0)"
"2017-04-13 00:00:00",61802,"[04/13/2017 00:00:00.02] *** Start of profile [1] (0, 0, -1, 1)  ***","CurrPflType[1]; currPflIndex[1]"
"2017-04-13 00:00:00",61803,"[04/13/2017 00:00:05.83]  Water available (46.5); Start Depth (46.5); End Depth (1)."," StartX [46.5]; EndX [1] BottomType[0]; bIsBottomRef[0]; ProfileLeg[1]"
"2017-04-13 00:47:09",61804,"[04/13/2017 00:52:12.46] *** End of profile [1] ***",""
