"TOA5","OwascoWinchInternet","CR1000","57852","CR1000.Std.26","CPU:Owasco.cr1","37634","DbgMoveSequence"
"TIMESTAMP","RECORD","DbgStr","DbgStr2"
"TS","RN","",""
"","","Smp","Smp"
"2016-10-22 00:45:20",875,"(-1)1.11; (-1)1.07; ","[ (-1)  Curr( 1.07) PrevDpt( 1.11) ]; "
"2017-04-19 12:02:14",876,"(-1)44.22; (1)44.73; (1)44.94; ","[ (1)  Curr( 44.94) PrevDpt( 44.73) ]; "
"2017-04-19 12:03:30",877,"44.94; 44.98; 44.51; 44.53; 44.15; (-1)44.07; (-1)43.74; (-1)43.56; ","[ (-1)  Curr( 43.56) PrevDpt( 43.74) ]; "
"2017-04-19 12:04:58",878,"43.54; 43.29; 43.06; 42.91; 42.63; (-1)42.55; (-1)42.18; (-1)42.06; ","[ (-1)  Curr( 42.06) PrevDpt( 42.18) ]; "
"2017-04-19 12:06:26",879,"41.95; 41.7; 41.63; 41.32; 41.24; 41.06; (-1)40.97; (-1)40.45; ","[ (-1)  Curr( 40.45) PrevDpt( 40.97) ]; "
"2017-04-19 12:07:51",880,"40.52; 40.42; 40.16; 40.03; 39.81; 39.71; 39.34; (-1)39.36; (-1)39.12; (-1)38.95; ","[ (-1)  Curr( 38.95) PrevDpt( 39.12) ]; "
"2017-04-19 12:09:21",881,"39.03; 38.9; 38.5; 38.62; 38.08; (-1)38.24; (-1)37.52; ","[ (-1)  Curr( 37.52) PrevDpt( 38.24) ]; "
"2017-04-19 12:10:46",882,"37.58; 37.39; 37.09; 37.02; 36.71; 36.6; (-1)36.55; (-1)35.95; ","[ (-1)  Curr( 35.95) PrevDpt( 36.55) ]; "
"2017-04-19 12:12:12",883,"35.91; 35.99; 35.84; 35.32; 35.41; 35.02; (-1)34.98; (-1)34.57; ","[ (-1)  Curr( 34.57) PrevDpt( 34.98) ]; "
"2017-04-19 12:13:37",884,"34.71; 34.42; 34.27; 34.22; 33.86; 33.82; 33.51; (-1)33.46; (-1)33.18; (-1)32.96; ","[ (-1)  Curr( 32.96) PrevDpt( 33.18) ]; "
"2017-04-19 12:15:08",885,"33.1; 32.64; 32.53; 32.53; 32.04; (-1)32.08; (-1)31.62; (-1)31.49; ","[ (-1)  Curr( 31.49) PrevDpt( 31.62) ]; "
"2017-04-19 12:16:36",886,"31.57; 31.31; 31.16; 31.04; 30.67; 30.65; 30.35; (-1)30.16; (-1)30.14; (-1)29.82; (1)30.25; (-1)29.9; ","[ (-1)  Curr( 29.9) PrevDpt( 30.25) ]; "
"2017-04-19 12:17:24",887,"",""
"2017-04-19 12:18:25",888,"(-1)28.88; (-1)28.46; ","[ (-1)  Curr( 28.46) PrevDpt( 28.88) ]; "
