"","Date","Time","Temp","Depth","SpCond","BGA","Chla","DOsat","DO","Turbidity"
"24",2022-04-13,"0:01:37",3.32,34.55,334.92,1.1,0.51,101.86,13.58,-0.35
"25",2022-04-13,"0:01:37",3.34,36.05,334.59,1.1,0.57,101.93,13.58,-0.33
"26",2022-04-13,"0:01:37",3.36,37.56,334.76,1.13,0.62,101.98,13.58,-0.36
"27",2022-04-13,"0:01:37",3.36,39.07,334.83,1.1,0.58,102.08,13.6,-0.29
"28",2022-04-13,"0:01:37",3.39,40.55,334.49,1.14,0.63,102.11,13.59,-0.37
"29",2022-04-13,"0:01:37",3.4,42.09,334.45,1.09,0.5,102.19,13.6,-0.38
"30",2022-04-13,"0:01:37",3.43,43.58,335.45,1.08,0.52,102.25,13.6,-0.32
"31",2022-04-13,"0:01:37",3.44,45.08,334.64,1.08,0.47,102.26,13.59,-0.38
"32",2022-04-13,"0:01:37",3.45,46.39,334.74,1.1,0.45,102.19,13.58,-0.38
"33",2022-04-13,"12:01:35",3.38,1.12,334.97,1.13,0.26,102.16,13.6,-0.35
"34",2022-04-13,"12:01:35",3.39,1.46,334.66,1.12,0.26,102.15,13.59,-0.35
"35",2022-04-13,"12:01:35",3.33,3.04,334.78,1.13,0.3,102,13.6,-0.34
"36",2022-04-13,"12:01:35",3.34,4.37,334.93,1.13,0.34,102.01,13.59,-0.32
"37",2022-04-13,"12:01:35",3.35,6.08,334.67,1.12,0.38,102.04,13.6,-0.31
"38",2022-04-13,"12:01:35",3.35,7.45,334.48,1.15,0.48,102.08,13.6,-0.37
"39",2022-04-13,"12:01:35",3.36,9.05,334.62,1.13,0.51,102.05,13.59,-0.36
"40",2022-04-13,"12:01:35",3.35,10.62,334.98,1.13,0.49,102.03,13.59,-0.32
"41",2022-04-13,"12:01:35",3.38,12.03,334.69,1.13,0.49,102.1,13.59,-0.37
"42",2022-04-13,"12:01:35",3.3,13.49,334.69,1.13,0.52,101.87,13.59,-0.34
"43",2022-04-13,"12:01:35",3.3,15.03,335.35,1.09,0.51,101.89,13.59,-0.35
"44",2022-04-13,"12:01:35",3.29,16.64,334.83,1.11,0.48,101.83,13.59,-0.33
"45",2022-04-13,"12:01:35",3.3,18.07,334.73,1.12,0.51,101.84,13.59,-0.3
"46",2022-04-13,"12:01:35",3.29,19.55,334.65,1.11,0.5,101.8,13.59,-0.36
"47",2022-04-13,"12:01:35",3.28,20.99,334.5,1.14,0.49,101.83,13.59,-0.34
"48",2022-04-13,"12:01:35",3.28,22.56,334.35,1.1,0.51,101.79,13.59,-0.34
"49",2022-04-13,"12:01:35",3.28,23.99,335.01,1.09,0.52,101.77,13.59,-0.32
"50",2022-04-13,"12:01:35",3.27,25.46,334.93,1.1,0.53,101.74,13.58,-0.34
"51",2022-04-13,"12:01:35",3.27,27.04,335.14,1.12,0.49,101.71,13.58,-0.36
"52",2022-04-13,"12:01:35",3.27,28.47,334.87,1.09,0.49,101.69,13.58,-0.33
"53",2022-04-13,"12:01:35",3.28,30.02,334.89,1.1,0.49,101.68,13.57,-0.35
"54",2022-04-13,"12:01:35",3.28,31.62,334.92,1.1,0.45,101.68,13.57,-0.37
"55",2022-04-13,"12:01:35",3.29,33.1,335.37,1.08,0.47,101.68,13.57,-0.35
"56",2022-04-13,"12:01:35",3.28,34.55,334.69,1.1,0.48,101.65,13.57,-0.33
"57",2022-04-13,"12:01:35",3.3,36.08,335.46,1.1,0.46,101.68,13.56,-0.35
"58",2022-04-13,"12:01:35",3.29,37.5,335.14,1.1,0.47,101.68,13.57,-0.36
"59",2022-04-13,"12:01:35",3.3,39.05,335.2,1.08,0.45,101.67,13.56,-0.37
"60",2022-04-13,"12:01:35",3.35,40.58,334.86,1.08,0.4,101.76,13.56,-0.38
"61",2022-04-13,"12:01:35",3.34,41.99,334.99,1.06,0.43,101.76,13.56,-0.35
"62",2022-04-13,"12:01:35",3.34,43.55,335.58,1.09,0.35,101.72,13.56,-0.36
"63",2022-04-13,"12:01:35",3.35,45.06,334.72,1.07,0.44,101.78,13.56,-0.38
"64",2022-04-13,"12:01:35",3.35,46.46,335.09,1.08,0.46,102.06,13.6,-0.33
"65",2022-04-14,"0:01:40",3.36,1.04,334.99,1.14,0.54,102.1,13.59,-0.35
"66",2022-04-14,"0:01:40",3.37,1.54,334.77,1.18,0.57,102.08,13.59,-0.38
"67",2022-04-14,"0:01:40",3.38,3.03,335.02,1.16,0.56,102.09,13.59,-0.36
"68",2022-04-14,"0:01:40",3.38,4.58,334.95,1.15,0.58,102.1,13.59,-0.35
"69",2022-04-14,"0:01:40",3.37,6.03,335.17,1.18,0.69,102.05,13.59,-0.36
"70",2022-04-14,"0:01:40",3.36,7.59,334.66,1.17,0.6,102.07,13.59,-0.36
"71",2022-04-14,"0:01:40",3.36,9.02,335.29,1.11,0.54,102.06,13.59,-0.35
"72",2022-04-14,"0:01:40",3.38,10.6,335.03,1.13,0.63,102.14,13.6,-0.36
"73",2022-04-14,"0:01:40",3.37,12.01,334.69,1.14,0.58,102.09,13.59,-0.34
"74",2022-04-14,"0:01:40",3.37,13.58,334.79,1.13,0.59,102.09,13.59,-0.36
"75",2022-04-14,"0:01:40",3.37,15.1,334.62,1.13,0.54,102.1,13.59,-0.34
"76",2022-04-14,"0:01:40",3.37,16.55,334.77,1.12,0.57,102.05,13.59,-0.38
"77",2022-04-14,"0:01:40",3.38,18.08,334.91,1.15,0.61,102.12,13.59,-0.35
"78",2022-04-14,"0:01:40",3.41,19.55,334.43,1.15,0.58,102.2,13.59,-0.35
"79",2022-04-14,"0:01:40",3.39,21.04,334.9,1.12,0.55,102.21,13.6,-0.38
"80",2022-04-14,"0:01:40",3.42,22.55,335.13,1.12,0.56,102.27,13.6,-0.37
"81",2022-04-14,"0:01:40",3.43,24.03,334.78,1.13,0.6,102.32,13.6,-0.32
"82",2022-04-14,"0:01:40",3.43,25.53,334.92,1.09,0.54,102.32,13.6,-0.36
"83",2022-04-14,"0:01:40",3.43,27.04,335.1,1.12,0.55,102.3,13.6,-0.38
"84",2022-04-14,"0:01:40",3.42,28.54,334.72,1.09,0.55,102.32,13.6,-0.37
"85",2022-04-14,"0:01:40",3.43,30.07,334.76,1.08,0.56,102.32,13.6,-0.36
"86",2022-04-14,"0:01:40",3.42,31.61,334.61,1.1,0.6,102.32,13.61,-0.31
"87",2022-04-14,"0:01:40",3.49,33.03,334.6,1.09,0.51,102.51,13.61,-0.38
"88",2022-04-14,"0:01:40",3.5,34.54,334.75,1.09,0.58,102.59,13.61,-0.36
"89",2022-04-14,"0:01:40",3.5,36.03,335.36,1.08,0.51,102.55,13.61,-0.36
"90",2022-04-14,"0:01:40",3.41,37.54,334.72,1.09,0.52,102.27,13.6,-0.35
"91",2022-04-14,"0:01:40",3.47,39.04,335.03,1.08,0.53,102.46,13.61,-0.39
"92",2022-04-14,"0:01:40",3.5,40.57,334.31,1.09,0.51,102.51,13.61,-0.37
"93",2022-04-14,"0:01:40",3.5,42.08,335.16,1.09,0.5,102.57,13.62,-0.39
"94",2022-04-14,"0:01:40",3.52,43.55,335.1,1.1,0.52,102.62,13.61,-0.34
"95",2022-04-14,"0:01:40",3.53,45.06,335.3,1.07,0.58,102.67,13.61,-0.36
"96",2022-04-14,"0:01:40",3.54,46.46,334.89,1.09,0.47,102.55,13.59,-0.36
"97",2022-04-14,"12:01:38",3.52,1.14,334.49,1.12,0.51,102.53,13.6,-0.37
"98",2022-04-14,"12:01:38",3.51,1.48,334.6,1.15,0.55,102.5,13.6,-0.36
"99",2022-04-14,"12:01:38",3.51,3.01,334.44,1.15,0.53,102.39,13.59,-0.35
"100",2022-04-14,"12:01:38",3.47,4.56,334.45,1.14,0.51,102.33,13.59,-0.35
"101",2022-04-14,"12:01:38",3.47,6.05,334.38,1.13,0.55,102.37,13.59,-0.35
"102",2022-04-14,"12:01:38",3.47,7.6,334.9,1.13,0.48,102.34,13.59,-0.35
"103",2022-04-14,"12:01:38",3.48,9.06,334.8,1.14,0.52,102.36,13.59,-0.36
"104",2022-04-14,"12:01:38",3.47,10.57,334.21,1.1,0.53,102.35,13.59,-0.39
"105",2022-04-14,"12:01:38",3.47,12.09,334.73,1.11,0.47,102.33,13.59,-0.35
"106",2022-04-14,"12:01:38",3.48,13.58,334.64,1.12,0.53,102.37,13.59,-0.33
"107",2022-04-14,"12:01:38",3.47,15.09,334.84,1.12,0.52,102.34,13.59,-0.33
"108",2022-04-14,"12:01:38",3.47,16.52,334.33,1.12,0.55,102.3,13.59,-0.36
"109",2022-04-14,"12:01:38",3.47,18.09,334.76,1.13,0.57,102.28,13.59,-0.35
"110",2022-04-14,"12:01:38",3.48,19.6,334.58,1.14,0.58,102.27,13.58,-0.38
"111",2022-04-14,"12:01:38",3.46,21.08,334.59,1.09,0.5,102.21,13.58,-0.35
"112",2022-04-14,"12:01:38",3.46,22.59,335.42,1.12,0.5,102.22,13.58,-0.37
"113",2022-04-14,"12:01:38",3.45,24.02,334.58,1.12,0.53,102.19,13.58,-0.36
"114",2022-04-14,"12:01:38",3.45,25.6,334.24,1.11,0.56,102.18,13.58,-0.38
"115",2022-04-14,"12:01:38",3.46,27.09,334.85,1.1,0.55,102.12,13.57,-0.37
"116",2022-04-14,"12:01:38",3.46,28.53,335.05,1.09,0.56,102.11,13.57,-0.39
"117",2022-04-14,"12:01:38",3.45,30.03,334.44,1.11,0.52,102.1,13.56,-0.35
"118",2022-04-14,"12:01:38",3.46,31.6,334.65,1.1,0.5,102.1,13.56,-0.38
"119",2022-04-14,"12:01:38",3.46,33.02,334.42,1.09,0.49,102.07,13.56,-0.35
"120",2022-04-14,"12:01:38",3.46,34.53,335.1,1.09,0.53,102.13,13.57,-0.36
"121",2022-04-14,"12:01:38",3.46,36.08,334.28,1.09,0.5,102.13,13.57,-0.4
"122",2022-04-14,"12:01:38",3.46,37.61,334.77,1.1,0.55,102.12,13.56,-0.37
"123",2022-04-14,"12:01:38",3.45,39.02,334.62,1.11,0.55,102.12,13.56,-0.32
"124",2022-04-14,"12:01:38",3.47,40.54,335.11,1.1,0.55,102.09,13.56,-0.34
"125",2022-04-14,"12:01:38",3.46,42.03,334.93,1.07,0.52,102.16,13.57,-0.34
"126",2022-04-14,"12:01:38",3.46,43.54,335.03,1.1,0.59,102.13,13.57,-0.36
"127",2022-04-14,"12:01:38",3.46,45.04,334.71,1.11,0.54,102.07,13.56,-0.38
"128",2022-04-14,"12:01:38",3.48,46.49,335.05,1.12,0.56,101.97,13.54,-0.4
"129",2022-04-15,"0:01:40",3.49,1.04,334.35,1.13,0.62,102.55,13.61,-0.33
"130",2022-04-15,"0:01:40",3.5,1.59,334.35,1.14,0.63,102.56,13.61,-0.31
"131",2022-04-15,"0:01:40",3.5,3.04,334.47,1.13,0.6,102.57,13.61,-0.36
"132",2022-04-15,"0:01:40",3.5,4.52,335,1.13,0.63,102.57,13.61,-0.32
"133",2022-04-15,"0:01:40",3.53,6.02,334.44,1.13,0.62,102.62,13.61,-0.32
"134",2022-04-15,"0:01:40",3.54,7.54,334.4,1.14,0.68,102.68,13.61,-0.35
"135",2022-04-15,"0:01:40",3.54,9.04,334.26,1.15,0.62,102.67,13.61,-0.32
"136",2022-04-15,"0:01:40",3.55,10.53,334.85,1.14,0.61,102.67,13.61,-0.33
"137",2022-04-15,"0:01:40",3.55,12.05,334.88,1.12,0.57,102.67,13.6,-0.35
"138",2022-04-15,"0:01:40",3.55,13.55,335.1,1.11,0.63,102.68,13.61,-0.34
"139",2022-04-15,"0:01:40",3.55,15.03,334.48,1.13,0.65,102.66,13.61,-0.36
"140",2022-04-15,"0:01:40",3.55,16.55,334.82,1.12,0.66,102.66,13.6,-0.31
"141",2022-04-15,"0:01:40",3.55,18.1,334.59,1.13,0.63,102.67,13.61,-0.33
"142",2022-04-15,"0:01:40",3.54,19.54,334.28,1.12,0.65,102.67,13.61,-0.35
"143",2022-04-15,"0:01:40",3.54,21.1,334.84,1.13,0.63,102.63,13.6,-0.34
"144",2022-04-15,"0:01:40",3.55,22.56,334.38,1.12,0.69,102.62,13.6,-0.34
"145",2022-04-15,"0:01:40",3.54,24.04,334.38,1.15,0.64,102.63,13.6,-0.36
"146",2022-04-15,"0:01:40",3.55,25.54,334.62,1.13,0.61,102.64,13.6,-0.39
"147",2022-04-15,"0:01:40",3.54,27.04,335.19,1.13,0.64,102.59,13.6,-0.36
"148",2022-04-15,"0:01:40",3.53,28.56,334.47,1.13,0.66,102.57,13.6,-0.34
"149",2022-04-15,"0:01:40",3.53,30.06,334.65,1.1,0.62,102.57,13.6,-0.36
"150",2022-04-15,"0:01:40",3.54,31.55,334.98,1.12,0.65,102.63,13.6,-0.35
"151",2022-04-15,"0:01:40",3.56,33.05,334.56,1.1,0.64,102.68,13.6,-0.34
"152",2022-04-15,"0:01:40",3.57,34.55,334.73,1.09,0.61,102.65,13.59,-0.39
"153",2022-04-15,"0:01:40",3.57,36.05,334.43,1.11,0.64,102.65,13.6,-0.38
"154",2022-04-15,"0:01:40",3.57,37.56,334.48,1.09,0.61,102.66,13.6,-0.38
"155",2022-04-15,"0:01:40",3.57,39.05,335.03,1.1,0.59,102.65,13.6,-0.33
"156",2022-04-15,"0:01:40",3.57,40.57,334.88,1.11,0.57,102.65,13.59,-0.39
"157",2022-04-15,"0:01:40",3.59,42.07,334.3,1.09,0.56,102.64,13.59,-0.37
"158",2022-04-15,"0:01:40",3.58,43.57,335.04,1.09,0.62,102.63,13.59,-0.31
"159",2022-04-15,"0:01:40",3.58,45.05,335.37,1.07,0.51,102.58,13.58,-0.35
"160",2022-04-15,"0:01:40",3.58,46.47,334.74,1.06,0.51,102.44,13.57,-0.35
"161",2022-04-15,"12:01:35",3.6,1.07,334.28,1.12,0.49,102.86,13.62,-0.37
"162",2022-04-15,"12:01:35",3.59,1.6,334.54,1.14,0.52,102.81,13.62,-0.36
"163",2022-04-15,"12:01:35",3.58,3.11,334.73,1.13,0.55,102.81,13.62,-0.35
"164",2022-04-15,"12:01:35",3.57,4.58,334.9,1.12,0.55,102.82,13.62,-0.36
"165",2022-04-15,"12:01:35",3.58,6.1,334.55,1.14,0.52,102.82,13.61,-0.35
"166",2022-04-15,"12:01:35",3.6,7.51,334.76,1.09,0.54,102.87,13.61,-0.33
"167",2022-04-15,"12:01:35",3.58,9.03,334.65,1.11,0.54,102.8,13.61,-0.33
"168",2022-04-15,"12:01:35",3.58,10.55,334.52,1.11,0.53,102.78,13.61,-0.37
"169",2022-04-15,"12:01:35",3.54,12.05,334.35,1.13,0.52,102.65,13.61,-0.35
"170",2022-04-15,"12:01:35",3.55,13.59,334.97,1.12,0.54,102.73,13.61,-0.35
"171",2022-04-15,"12:01:35",3.56,14.98,334.62,1.11,0.57,102.73,13.61,-0.36
"172",2022-04-15,"12:01:35",3.57,16.55,334.05,1.11,0.6,102.76,13.61,-0.35
"173",2022-04-15,"12:01:35",3.54,18.01,334.72,1.13,0.55,102.64,13.61,-0.36
"174",2022-04-15,"12:01:35",3.53,19.57,334.48,1.13,0.55,102.63,13.61,-0.37
"175",2022-04-15,"12:01:35",3.53,21.05,334.59,1.1,0.52,102.63,13.61,-0.35
"176",2022-04-15,"12:01:35",3.54,22.48,334.38,1.09,0.56,102.66,13.61,-0.35
"177",2022-04-15,"12:01:35",3.53,24.13,335.51,1.11,0.53,102.62,13.6,-0.35
"178",2022-04-15,"12:01:35",3.53,25.57,335.08,1.1,0.56,102.62,13.6,-0.36
"179",2022-04-15,"12:01:35",3.53,27.03,335.04,1.1,0.54,102.58,13.6,-0.35
"180",2022-04-15,"12:01:35",3.54,28.54,334.16,1.08,0.52,102.62,13.6,-0.33
"181",2022-04-15,"12:01:35",3.53,30.06,334.33,1.1,0.53,102.61,13.6,-0.36
"182",2022-04-15,"12:01:35",3.53,31.56,334.92,1.12,0.54,102.57,13.6,-0.36
"183",2022-04-15,"12:01:35",3.53,33.04,334.82,1.1,0.54,102.54,13.6,-0.4
"184",2022-04-15,"12:01:35",3.53,34.5,335.29,1.08,0.55,102.49,13.59,-0.38
"185",2022-04-15,"12:01:35",3.52,36.06,334.96,1.09,0.53,102.41,13.58,-0.34
"186",2022-04-15,"12:01:35",3.52,37.46,334.88,1.08,0.55,102.44,13.59,-0.35
"187",2022-04-15,"12:01:35",3.52,39.03,334.55,1.1,0.56,102.44,13.59,-0.36
"188",2022-04-15,"12:01:35",3.52,40.52,334.47,1.09,0.55,102.43,13.59,-0.39
"189",2022-04-15,"12:01:35",3.52,42.04,334.45,1.08,0.59,102.4,13.58,-0.36
"190",2022-04-15,"12:01:35",3.52,43.5,334.68,1.1,0.59,102.42,13.58,-0.39
"191",2022-04-15,"12:01:35",3.53,45.06,334.87,1.08,0.62,102.46,13.58,-0.36
"192",2022-04-15,"12:01:35",3.53,46.46,334.78,1.08,0.59,102.3,13.56,-0.36
"193",2022-04-16,"0:01:41",3.6,1.02,334.31,1.16,0.75,102.8,13.61,-0.34
"194",2022-04-16,"0:01:41",3.59,1.52,334.63,1.17,0.71,102.75,13.6,-0.36
"195",2022-04-16,"0:01:41",3.59,3.03,334.88,1.17,0.73,102.74,13.6,-0.33
"196",2022-04-16,"0:01:41",3.59,4.58,334.33,1.15,0.7,102.74,13.6,-0.36
"197",2022-04-16,"0:01:41",3.6,6.1,335.03,1.17,0.72,102.73,13.6,-0.3
"198",2022-04-16,"0:01:41",3.59,7.52,334.8,1.18,0.68,102.79,13.61,-0.38
"199",2022-04-16,"0:01:41",3.59,9.02,334.35,1.11,0.62,102.69,13.59,-0.35
"200",2022-04-16,"0:01:41",3.59,10.53,334.27,1.15,0.76,102.71,13.6,-0.36
"201",2022-04-16,"0:01:41",3.59,12.03,334.64,1.14,0.71,102.71,13.6,-0.36
"202",2022-04-16,"0:01:41",3.59,13.53,334.32,1.18,0.79,102.74,13.6,-0.35
"203",2022-04-16,"0:01:41",3.59,15.03,334.64,1.16,0.79,102.73,13.6,-0.4
"204",2022-04-16,"0:01:41",3.6,16.56,334.69,1.13,0.63,102.71,13.59,-0.35
"205",2022-04-16,"0:01:41",3.6,18.04,334.56,1.15,0.78,102.72,13.59,-0.38
"206",2022-04-16,"0:01:41",3.59,19.55,335.15,1.15,0.72,102.73,13.6,-0.36
"207",2022-04-16,"0:01:41",3.59,21.04,334.8,1.16,0.85,102.71,13.6,-0.37
"208",2022-04-16,"0:01:41",3.58,22.54,334.98,1.11,0.64,102.74,13.6,-0.33
"209",2022-04-16,"0:01:41",3.59,24.04,334.8,1.12,0.73,102.76,13.6,-0.37
"210",2022-04-16,"0:01:41",3.59,25.54,334.7,1.13,0.72,102.7,13.6,-0.38
"211",2022-04-16,"0:01:41",3.59,27.04,334.83,1.12,0.67,102.78,13.61,-0.39
"212",2022-04-16,"0:01:41",3.59,28.54,334.64,1.15,0.78,102.69,13.6,-0.36
"213",2022-04-16,"0:01:41",3.59,30.05,335.13,1.13,0.7,102.73,13.6,-0.34
"214",2022-04-16,"0:01:41",3.58,31.54,334.79,1.12,0.63,102.69,13.6,-0.36
"215",2022-04-16,"0:01:41",3.59,33.03,335.01,1.09,0.63,102.66,13.59,-0.35
"216",2022-04-16,"0:01:41",3.59,34.54,334.53,1.14,0.8,102.71,13.6,-0.4
"217",2022-04-16,"0:01:41",3.59,36.05,334.92,1.14,0.76,102.68,13.59,-0.37
"218",2022-04-16,"0:01:41",3.59,37.54,334.62,1.12,0.79,102.71,13.6,-0.34
"219",2022-04-16,"0:01:41",3.59,39.05,334.93,1.15,0.68,102.72,13.6,-0.29
"220",2022-04-16,"0:01:41",3.59,40.56,334.93,1.12,0.64,102.65,13.59,-0.41
"221",2022-04-16,"0:01:41",3.6,42.08,334.68,1.11,0.72,102.67,13.59,-0.39
"222",2022-04-16,"0:01:41",3.6,43.57,335.29,1.11,0.67,102.66,13.59,-0.36
"223",2022-04-16,"0:01:41",3.59,45.07,334.63,1.11,0.64,102.72,13.6,-0.34
"224",2022-04-16,"0:01:41",3.59,46.46,334.78,1.11,0.69,102.51,13.57,-0.36
"225",2022-04-16,"12:01:39",3.61,1.03,334.26,1.16,0.65,102.84,13.61,-0.36
"226",2022-04-16,"12:01:39",3.59,1.6,334.38,1.13,0.52,102.82,13.61,-0.36
"227",2022-04-16,"12:01:39",3.61,3.04,334.42,1.11,0.58,102.82,13.6,-0.38
"228",2022-04-16,"12:01:39",3.61,4.54,334.65,1.12,0.61,102.84,13.61,-0.31
"229",2022-04-16,"12:01:39",3.62,6.04,335.11,1.13,0.61,103.01,13.62,-0.31
"230",2022-04-16,"12:01:39",3.63,7.61,334.93,1.12,0.6,102.97,13.62,-0.38
"231",2022-04-16,"12:01:39",3.62,9.03,334.36,1.12,0.62,102.92,13.61,-0.35
"232",2022-04-16,"12:01:39",3.61,10.53,334.66,1.12,0.67,102.9,13.61,-0.37
"233",2022-04-16,"12:01:39",3.61,12.09,334.73,1.14,0.66,102.79,13.6,-0.36
"234",2022-04-16,"12:01:39",3.59,13.54,334.82,1.14,0.63,102.79,13.61,-0.34
"235",2022-04-16,"12:01:39",3.61,15.03,334.72,1.14,0.67,102.82,13.6,-0.37
"236",2022-04-16,"12:01:39",3.6,16.55,334.93,1.13,0.7,102.83,13.61,-0.38
"237",2022-04-16,"12:01:39",3.61,18.03,334.32,1.11,0.6,102.85,13.61,-0.38
"238",2022-04-16,"12:01:39",3.62,19.54,334.65,1.13,0.68,102.85,13.61,-0.36
"239",2022-04-16,"12:01:39",3.6,21.03,334.78,1.12,0.66,102.78,13.6,-0.35
"240",2022-04-16,"12:01:39",3.6,22.54,334.67,1.09,0.64,102.76,13.6,-0.33
"241",2022-04-16,"12:01:39",3.61,24.03,334.4,1.13,0.71,102.79,13.6,-0.36
"242",2022-04-16,"12:01:39",3.59,25.54,334.39,1.12,0.67,102.79,13.6,-0.36
"243",2022-04-16,"12:01:39",3.6,27.04,335.29,1.09,0.61,102.75,13.6,-0.36
"244",2022-04-16,"12:01:39",3.59,28.53,334.88,1.11,0.56,102.71,13.6,-0.33
"245",2022-04-16,"12:01:39",3.59,30.04,335.02,1.09,0.6,102.76,13.6,-0.38
"246",2022-04-16,"12:01:39",3.59,31.53,334.5,1.09,0.58,102.68,13.59,-0.36
"247",2022-04-16,"12:01:39",3.6,33.05,334.56,1.1,0.69,102.76,13.6,-0.41
"248",2022-04-16,"12:01:39",3.6,34.54,334.61,1.09,0.63,102.7,13.59,-0.37
"249",2022-04-16,"12:01:39",3.59,36.04,335.3,1.11,0.66,102.74,13.6,-0.34
"250",2022-04-16,"12:01:39",3.6,37.56,335.34,1.11,0.71,102.69,13.59,-0.39
"251",2022-04-16,"12:01:39",3.59,39.04,334.8,1.15,0.71,102.82,13.61,-0.38
"252",2022-04-16,"12:01:39",3.59,40.54,335.37,1.07,0.64,102.69,13.59,-0.36
"253",2022-04-16,"12:01:39",3.6,42.05,335.15,1.08,0.75,102.7,13.59,-0.36
"254",2022-04-16,"12:01:39",3.61,43.56,335.19,1.1,0.63,102.73,13.59,-0.4
"255",2022-04-16,"12:01:39",3.61,45.06,334.78,1.12,0.65,102.7,13.59,-0.32
"256",2022-04-16,"12:01:39",3.61,46.46,335.03,1.07,0.63,102.55,13.57,-0.35
"257",2022-04-17,"0:01:41",3.59,1,334.79,1.14,0.63,102.73,13.6,-0.34
"258",2022-04-17,"0:01:41",3.59,1.53,334.96,1.15,0.64,102.76,13.6,-0.35
"259",2022-04-17,"0:01:41",3.59,3.08,334.76,1.15,0.63,102.74,13.6,-0.36
"260",2022-04-17,"0:01:41",3.59,4.55,334.33,1.14,0.6,102.75,13.6,-0.35
"261",2022-04-17,"0:01:41",3.59,6.04,334.33,1.13,0.66,102.75,13.6,-0.36
"262",2022-04-17,"0:01:41",3.6,7.49,334.59,1.15,0.67,102.77,13.6,-0.36
"263",2022-04-17,"0:01:41",3.6,8.99,335.22,1.13,0.63,102.72,13.59,-0.38
"264",2022-04-17,"0:01:41",3.61,10.52,334.48,1.1,0.63,102.74,13.6,-0.38
"265",2022-04-17,"0:01:41",3.6,11.99,334.8,1.12,0.63,102.72,13.6,-0.39
"266",2022-04-17,"0:01:41",3.6,13.6,334.83,1.12,0.61,102.71,13.59,-0.36
"267",2022-04-17,"0:01:41",3.63,15.08,334.49,1.1,0.61,102.7,13.58,-0.36
"268",2022-04-17,"0:01:41",3.64,16.52,334.9,1.12,0.6,102.71,13.58,-0.35
"269",2022-04-17,"0:01:41",3.62,18.1,334.59,1.11,0.64,102.69,13.58,-0.37
"270",2022-04-17,"0:01:41",3.63,19.53,334.13,1.13,0.62,102.69,13.58,-0.37
"271",2022-04-17,"0:01:41",3.62,21.05,334.59,1.1,0.61,102.69,13.58,-0.37
"272",2022-04-17,"0:01:41",3.65,22.53,334.57,1.1,0.6,102.69,13.57,-0.37
"273",2022-04-17,"0:01:41",3.64,24.09,334.74,1.09,0.62,102.7,13.58,-0.38
"274",2022-04-17,"0:01:41",3.65,25.62,334.86,1.12,0.67,102.71,13.57,-0.39
"275",2022-04-17,"0:01:41",3.65,27,334.65,1.08,0.62,102.73,13.57,-0.39
"276",2022-04-17,"0:01:41",3.65,28.53,334.48,1.09,0.65,102.71,13.58,-0.38
"277",2022-04-17,"0:01:41",3.64,30.06,334.16,1.1,0.58,102.64,13.57,-0.4
"278",2022-04-17,"0:01:41",3.63,31.59,334.8,1.08,0.61,102.63,13.57,-0.35
