"","Date","Time","Temp","Depth","SpCond","BGA","Chla","DOsat","DO","Turbidity"
"1",2022-04-13,"0:01:37",3.18,1.04,334.79,1.16,0.52,101.65,13.6,-0.34
"2",2022-04-13,"0:01:37",3.19,1.54,334.78,1.18,0.51,101.63,13.6,-0.35
"3",2022-04-13,"0:01:37",3.19,3.02,335.06,1.17,0.58,101.65,13.6,-0.36
"4",2022-04-13,"0:01:37",3.2,4.53,334.9,1.19,0.61,101.7,13.6,-0.34
"5",2022-04-13,"0:01:37",3.24,6.03,334.66,1.16,0.56,101.71,13.59,-0.37
"6",2022-04-13,"0:01:37",3.27,7.53,334.29,1.16,0.61,101.76,13.59,-0.36
"7",2022-04-13,"0:01:37",3.27,9.03,334.67,1.15,0.58,101.76,13.59,-0.36
"8",2022-04-13,"0:01:37",3.27,10.54,334.9,1.15,0.59,101.78,13.59,-0.37
"9",2022-04-13,"0:01:37",3.27,12.04,335.22,1.12,0.56,101.77,13.59,-0.35
"10",2022-04-13,"0:01:37",3.27,13.55,334.94,1.17,0.55,101.77,13.59,-0.36
"11",2022-04-13,"0:01:37",3.27,15.05,334.79,1.15,0.61,101.8,13.59,-0.32
"12",2022-04-13,"0:01:37",3.28,16.55,334.33,1.18,0.68,101.79,13.59,-0.37
"13",2022-04-13,"0:01:37",3.27,18.05,334.72,1.14,0.52,101.73,13.58,-0.35
"14",2022-04-13,"0:01:37",3.27,19.54,334.69,1.11,0.49,101.71,13.58,-0.33
"15",2022-04-13,"0:01:37",3.29,21.04,334.82,1.13,0.6,101.79,13.58,-0.37
"16",2022-04-13,"0:01:37",3.3,22.54,334.28,1.16,0.59,101.82,13.59,-0.36
"17",2022-04-13,"0:01:37",3.3,24.05,335.58,1.14,0.62,101.82,13.58,-0.34
"18",2022-04-13,"0:01:37",3.29,25.55,335.08,1.16,0.55,101.86,13.59,-0.34
"19",2022-04-13,"0:01:37",3.3,27.04,334.72,1.15,0.64,101.83,13.59,-0.35
"20",2022-04-13,"0:01:37",3.3,28.56,335.17,1.17,0.68,101.83,13.59,-0.36
"21",2022-04-13,"0:01:37",3.3,30.06,334.47,1.15,0.69,101.8,13.58,-0.38
"22",2022-04-13,"0:01:37",3.29,31.55,334.82,1.14,0.61,101.81,13.58,-0.33
"23",2022-04-13,"0:01:37",3.3,33.06,334.83,1.15,0.58,101.84,13.58,-0.33
