Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	#5	#6	#7	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	#5	#6	#7	Yellow substances	Total cell count	Trans. 700 nm	LED 3 [525 nm]	LED 4 [570 nm]	LED 5 [610 nm]	LED 6 [370 nm]	LED 7 [590 nm]	LED 8 [470 nm]	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	r.u.	µg/l	%	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	r.u.	cells/ml	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
8/8/2023 11:54:50	0.00	3.56	0.00	0.00	0.00	0.00	0.00	0.00	3.56	93.11	0.00	20.35	0	3561	0	0	0	0	0	0	3561	236.14	2.85	-4.33	16.72	1.00	6.01	-3.11	0.96	21.46	21.48
8/8/2023 11:54:54	0.13	2.66	0.00	0.52	0.00	0.00	0.00	0.00	3.31	93.43	0.01	20.26	68	2660	0	16	0	0	0	0	2744	236.95	-0.94	9.74	10.60	-0.20	9.24	3.05	0.96	21.56	21.50
8/8/2023 11:54:56	0.00	2.42	0.00	0.00	0.00	0.00	0.00	0.00	2.42	89.86	0.01	20.24	0	2417	0	0	0	0	0	0	2417	227.91	0.93	5.29	8.30	0.19	8.29	-1.37	0.96	21.62	21.50
8/8/2023 11:54:59	0.18	2.12	0.00	0.00	0.00	0.00	0.00	0.00	2.31	93.67	0.02	20.21	97	2123	0	0	0	0	0	0	2220	237.58	-2.67	-1.61	6.75	-2.37	11.39	2.63	0.96	21.69	21.56
8/8/2023 11:55:02	0.38	2.28	1.61	0.00	0.00	0.00	0.00	0.05	4.26	85.50	0.14	21.00	202	2276	723	0	0	0	0	0	3201	216.85	4.28	-5.28	11.81	4.68	7.78	4.97	0.97	21.74	21.51
8/8/2023 11:55:05	2.28	0.00	2.14	0.99	0.00	0.00	0.00	0.81	5.40	100.00	0.27	22.56	1208	0	962	30	0	0	0	0	2200	295.86	7.14	4.44	4.92	18.25	8.61	17.26	0.98	21.83	21.56
8/8/2023 11:55:08	0.00	1.18	6.03	0.00	0.00	0.00	0.00	0.23	7.22	100.00	0.31	23.05	0	1184	2715	0	0	0	0	0	3899	296.44	10.28	1.76	9.74	13.74	9.08	16.61	0.99	21.87	21.59
8/8/2023 11:55:11	2.39	0.00	4.01	0.34	0.00	0.00	0.00	0.49	6.74	100.00	0.37	23.11	1268	0	1805	10	0	0	0	0	3083	296.42	8.08	4.70	6.23	16.76	7.31	18.69	0.99	21.95	21.54
8/8/2023 11:55:14	0.83	0.00	3.19	0.11	0.00	0.00	0.00	0.80	4.12	100.00	0.46	23.08	438	0	1435	3	0	0	0	0	1877	297.48	6.36	3.00	2.61	16.21	7.36	15.15	1.00	22.00	21.67
8/8/2023 11:55:17	0.85	0.00	4.82	1.23	0.00	0.00	0.00	0.26	6.91	100.00	0.52	23.09	450	0	2171	37	0	0	0	0	2658	296.85	10.39	1.97	6.80	14.45	10.37	18.31	1.01	22.06	21.69
8/8/2023 11:55:20	0.00	0.00	5.17	0.00	0.00	0.00	0.00	0.64	5.17	100.00	0.61	23.10	0	0	2326	0	0	0	0	0	2326	297.09	9.60	2.16	6.17	16.78	5.49	16.63	1.02	22.11	21.69
8/8/2023 11:55:23	0.00	1.11	4.56	0.00	0.00	0.00	0.00	0.75	5.67	100.00	0.61	23.10	0	1112	2051	0	0	0	0	0	3163	297.11	9.01	0.13	7.89	17.50	9.99	15.98	1.02	22.18	21.69
8/8/2023 11:55:26	1.91	0.00	3.47	1.50	0.00	0.00	0.00	0.47	6.88	100.00	0.53	23.09	1010	0	1561	45	0	0	0	0	2617	299.41	9.42	4.09	5.71	16.57	10.72	19.17	1.01	22.23	21.69
8/8/2023 11:55:29	2.03	0.00	0.00	2.81	0.00	0.00	0.00	0.74	4.84	100.00	0.50	23.09	1078	0	0	84	0	0	0	0	1162	297.54	7.73	1.57	4.23	15.86	13.46	15.16	1.01	22.26	21.72
