Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	#5	#6	#7	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	#5	#6	#7	Yellow substances	Total cell count	Trans. 700 nm	LED 3 [525 nm]	LED 4 [570 nm]	LED 5 [610 nm]	LED 6 [370 nm]	LED 7 [590 nm]	LED 8 [470 nm]	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	r.u.	µg/l	%	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	r.u.	cells/ml	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
6/13/2023 11:48:08	0.00	1.30	0.00	0.00	0.00	0.00	0.00	0.67	1.30	98.77	0.00	20.41	0	1297	0	0	0	0	0	0	1297	250.49	2.73	-7.34	8.50	10.21	4.65	-0.02	0.96	22.57	21.77
6/13/2023 11:48:11	0.00	3.82	0.00	0.00	0.00	0.00	0.00	0.00	3.82	99.14	-0.01	20.40	0	3824	0	0	0	0	0	0	3824	251.44	-8.44	8.66	14.23	-5.21	11.75	5.54	0.96	22.58	21.77
6/13/2023 11:48:14	0.00	1.15	0.00	0.00	0.00	0.00	0.00	0.41	1.15	98.86	0.00	20.43	0	1153	0	0	0	0	0	0	1153	250.72	-9.74	0.12	0.93	8.06	13.51	-1.28	0.96	22.63	21.79
6/13/2023 11:48:17	0.00	1.86	0.00	0.00	0.00	0.00	0.00	0.00	1.86	98.86	-0.01	20.40	0	1863	0	0	0	0	0	0	1863	250.73	1.47	-11.97	7.51	-2.11	10.18	-10.68	0.96	22.66	21.80
6/13/2023 11:48:20	0.00	0.55	0.00	0.00	0.00	0.00	0.00	0.10	0.55	98.04	-0.01	20.40	0	548	0	0	0	0	0	0	548	248.66	-10.73	-7.15	5.82	3.79	5.15	-2.08	0.96	22.70	21.82
6/13/2023 11:48:23	0.64	1.59	0.00	0.00	0.00	0.00	0.00	0.35	2.23	100.00	0.00	20.39	341	1586	0	0	0	0	0	0	1928	254.71	-6.75	-2.91	6.59	6.60	10.02	3.39	0.96	22.72	21.80
6/13/2023 11:48:26	0.00	4.35	0.00	0.00	0.00	0.00	0.00	0.27	4.35	100.00	-0.00	20.41	0	4352	0	0	0	0	0	0	4352	258.55	5.32	-2.45	18.03	8.29	7.81	-5.49	0.96	22.74	21.80
6/13/2023 11:48:29	0.00	4.33	0.00	0.16	0.00	0.00	0.00	0.00	4.48	100.00	0.00	20.43	0	4328	0	5	0	0	0	0	4332	260.24	0.10	-2.54	14.29	-10.23	16.79	8.74	0.96	22.78	21.82
6/13/2023 11:48:32	0.00	3.09	0.00	0.39	0.00	0.00	0.00	0.12	3.48	97.16	0.01	20.42	0	3092	0	12	0	0	0	0	3104	246.40	0.96	-7.47	5.62	3.08	19.72	0.89	0.96	22.80	21.88
6/13/2023 11:48:35	0.00	6.41	0.00	0.00	0.00	0.00	0.00	0.00	6.41	100.00	-0.00	20.41	0	6415	0	0	0	0	0	0	6415	255.22	6.03	-1.16	19.41	-0.17	18.54	-10.07	0.96	22.82	21.87
6/13/2023 11:48:38	0.00	6.17	0.00	0.00	0.00	0.00	0.00	0.00	6.17	96.56	-0.00	20.42	0	6165	0	0	0	0	0	0	6165	244.89	0.70	7.95	26.27	-14.44	11.52	-6.03	0.96	22.84	21.88
6/13/2023 11:48:41	0.00	0.17	0.00	0.00	0.00	0.00	0.00	0.00	0.17	100.00	0.00	20.45	0	169	0	0	0	0	0	0	169	264.92	-2.25	1.08	5.82	-2.25	0.73	-11.01	0.96	22.86	21.91
6/13/2023 11:48:43	0.00	0.28	0.00	0.45	0.00	0.00	0.00	0.00	0.73	96.02	0.01	20.43	0	283	0	14	0	0	0	0	296	243.53	0.31	-1.29	0.63	-0.57	9.06	-0.03	0.96	22.88	21.83
6/13/2023 11:48:47	0.00	1.99	3.79	0.00	0.00	0.00	0.00	0.00	5.78	98.93	-0.01	20.43	0	1988	1706	0	0	0	0	0	3694	250.90	8.02	8.16	13.73	0.51	5.17	13.06	0.96	22.90	21.85
6/13/2023 11:48:50	0.00	0.07	0.00	0.90	0.00	0.00	0.00	0.45	0.97	89.99	0.27	18.98	0	71	0	27	0	0	0	0	98	228.24	1.97	1.80	2.34	6.85	7.46	3.61	0.99	22.93	21.85
6/13/2023 11:48:53	0.00	0.69	0.00	0.00	0.00	0.00	0.00	1.06	0.69	100.00	0.59	17.52	0	689	0	0	0	0	0	0	689	305.93	-0.62	7.66	6.32	13.83	2.52	5.21	1.02	22.95	21.90
6/13/2023 11:48:55	0.00	1.24	2.86	0.00	0.00	0.00	0.00	0.64	4.10	100.00	0.78	17.56	0	1241	1287	0	0	0	0	0	2528	311.83	6.23	1.63	8.85	13.29	6.63	10.86	1.04	22.97	21.96
6/13/2023 11:48:58	2.84	0.00	0.00	0.00	0.00	0.00	0.00	0.71	2.84	100.00	0.79	17.59	1506	0	0	0	0	0	0	0	1506	310.62	-2.63	-0.08	2.74	12.83	4.38	10.63	1.04	22.98	21.95
6/13/2023 11:49:02	4.27	0.00	0.08	0.00	0.00	0.00	0.00	0.18	4.35	100.00	0.83	17.55	2264	0	36	0	0	0	0	0	2301	308.16	1.84	-1.35	3.29	8.01	6.55	9.62	1.04	22.99	21.88
6/13/2023 11:49:04	4.85	0.00	0.00	0.51	0.00	0.00	0.00	0.36	5.36	100.00	0.59	17.46	2568	0	0	15	0	0	0	0	2584	307.11	1.64	1.49	1.44	11.71	10.38	13.19	1.02	22.98	21.96
6/13/2023 11:49:07	0.00	0.10	0.00	0.00	0.00	0.00	0.00	1.04	0.10	100.00	0.43	17.39	0	102	0	0	0	0	0	0	102	322.41	-0.46	-2.58	1.26	13.74	7.23	3.39	1.00	23.00	21.96
6/13/2023 11:49:10	0.00	0.00	0.00	4.11	0.00	0.00	0.00	0.00	4.11	100.00	0.48	17.43	0	0	0	123	0	0	0	0	123	321.00	8.93	5.62	-0.34	3.94	14.86	11.69	1.01	23.00	22.01
6/13/2023 11:49:13	1.22	0.55	3.15	0.00	0.00	0.00	0.00	0.08	4.92	100.00	0.45	17.47	644	554	1418	0	0	0	0	0	2616	332.54	5.55	-0.22	7.00	8.11	6.38	10.71	1.00	23.01	21.98
6/13/2023 11:49:16	4.53	0.00	0.00	0.00	0.00	0.00	0.00	0.33	4.53	100.00	0.42	17.48	2402	0	0	0	0	0	0	0	2402	326.53	-2.54	-1.42	2.09	10.48	6.86	11.71	1.00	23.03	21.98
6/13/2023 11:49:19	0.00	0.00	4.86	0.00	0.00	0.00	0.00	0.30	4.86	100.00	0.41	17.48	0	0	2187	0	0	0	0	0	2187	323.08	11.21	7.62	4.24	12.31	0.85	12.86	1.00	23.02	21.99
6/13/2023 11:49:22	0.00	0.25	2.00	0.00	0.00	0.00	0.00	0.55	2.25	100.00	0.34	17.40	0	250	900	0	0	0	0	0	1150	319.37	4.65	-1.99	5.50	10.05	4.47	7.91	0.99	23.04	21.99
6/13/2023 11:49:25	5.33	0.96	0.00	0.00	0.00	0.00	0.00	0.25	6.29	100.00	0.34	17.39	2824	958	0	0	0	0	0	0	3781	325.95	0.55	4.46	10.10	11.39	4.77	11.74	0.99	23.04	21.99
6/13/2023 11:49:28	0.00	1.21	0.00	1.68	0.00	0.00	0.00	0.69	2.89	100.00	0.34	17.43	0	1206	0	50	0	0	0	0	1257	330.93	5.47	10.74	7.96	12.49	8.42	5.20	0.99	23.06	22.01
6/13/2023 11:49:31	0.00	1.20	1.03	0.00	0.00	0.00	0.00	0.00	2.23	100.00	0.36	17.42	0	1201	463	0	0	0	0	0	1664	326.98	2.52	-3.44	6.95	-2.07	6.92	4.64	0.99	23.04	22.04
6/13/2023 11:49:34	0.00	0.00	0.00	0.48	0.00	0.00	0.00	1.26	0.48	100.00	0.34	17.42	0	0	0	14	0	0	0	0	14	326.83	6.42	-1.54	0.64	16.63	7.79	5.23	0.99	23.06	22.03
6/13/2023 11:49:37	3.38	1.47	0.12	0.00	0.00	0.00	0.00	0.23	4.97	100.00	0.35	17.45	1789	1472	55	0	0	0	0	0	3317	320.88	2.65	0.08	11.15	8.41	4.68	8.02	0.99	23.08	22.03
6/13/2023 11:49:40	0.00	0.00	3.59	0.00	0.00	0.00	0.00	0.00	3.59	100.00	0.35	17.43	0	0	1617	0	0	0	0	0	1617	324.51	9.50	-0.60	1.20	4.95	4.58	8.07	0.99	23.07	21.99
6/13/2023 11:49:43	5.71	1.83	0.00	0.00	0.00	0.00	0.00	0.00	7.54	100.00	0.33	17.45	3028	1830	0	0	0	0	0	0	4858	327.27	0.86	7.46	13.18	5.87	6.07	13.54	0.99	23.06	22.12
6/13/2023 11:49:46	0.85	0.00	2.40	0.00	0.00	0.00	0.00	0.10	3.25	100.00	0.35	17.45	450	0	1079	0	0	0	0	0	1528	322.19	3.73	0.37	2.44	5.78	3.14	9.32	0.99	23.07	22.01
6/13/2023 11:49:49	0.00	1.31	2.57	0.00	0.00	0.00	0.00	0.00	3.88	100.00	0.34	17.42	0	1309	1158	0	0	0	0	0	2467	328.64	9.20	-5.91	6.91	4.82	8.48	3.89	0.99	23.07	22.14
6/13/2023 11:49:52	0.00	0.00	0.00	0.51	0.00	0.00	0.00	0.65	0.51	100.00	0.33	17.41	0	0	0	15	0	0	0	0	15	330.25	9.71	7.28	0.15	10.63	3.06	-2.59	0.99	23.06	22.06
6/13/2023 11:49:55	0.00	0.46	3.86	0.00	0.00	0.00	0.00	0.00	4.32	100.00	0.34	17.39	0	462	1737	0	0	0	0	0	2199	320.75	8.05	-4.81	5.58	5.28	7.87	9.48	0.99	23.07	22.06
6/13/2023 11:49:58	3.36	0.00	1.43	0.00	0.00	0.00	0.00	0.00	4.79	100.00	0.34	17.39	1783	0	644	0	0	0	0	0	2427	320.98	3.20	-2.40	3.92	6.06	-2.85	13.12	0.99	23.07	22.09
6/13/2023 11:50:01	3.57	0.00	0.00	0.00	0.00	0.00	0.00	0.61	3.57	100.00	0.35	17.39	1894	0	0	0	0	0	0	0	1894	325.84	-1.24	-3.33	2.81	12.55	7.89	10.72	0.99	23.08	22.03
6/13/2023 11:50:04	0.00	0.22	4.40	0.00	0.00	0.00	0.00	0.12	4.62	100.00	0.35	17.39	0	218	1982	0	0	0	0	0	2200	321.66	7.74	2.78	8.73	9.31	2.05	11.25	0.99	23.05	22.09
6/13/2023 11:50:07	0.00	0.00	0.00	2.22	0.00	0.00	0.00	0.00	2.22	100.00	0.35	17.40	0	0	0	67	0	0	0	0	67	324.64	5.99	0.60	4.17	0.24	10.44	4.22	0.99	23.05	22.04
6/13/2023 11:50:10	0.01	0.00	1.43	0.00	0.00	0.00	0.00	1.00	1.44	100.00	0.36	17.39	6	0	645	0	0	0	0	0	651	327.55	4.23	-0.00	6.36	14.52	1.54	9.24	1.00	23.07	22.11
6/13/2023 11:50:13	4.70	0.00	1.03	0.00	0.00	0.00	0.00	0.03	5.72	100.00	0.35	17.39	2489	0	462	0	0	0	0	0	2951	326.63	3.54	-7.04	2.88	8.16	7.56	12.70	0.99	23.08	22.03
6/13/2023 11:50:16	1.13	0.05	0.74	0.00	0.00	0.00	0.00	0.87	1.92	100.00	0.34	17.40	599	52	333	0	0	0	0	0	985	326.19	3.18	-0.23	4.23	13.21	4.65	8.91	0.99	23.07	22.14
6/13/2023 11:50:19	0.00	0.12	0.00	0.00	0.00	0.00	0.00	1.33	0.12	100.00	0.40	17.40	0	122	0	0	0	0	0	0	122	325.91	-0.16	-3.90	7.37	16.82	0.75	7.27	1.00	23.06	22.08
6/13/2023 11:50:22	1.22	1.38	0.00	0.00	0.00	0.00	0.00	1.12	2.60	100.00	0.43	17.36	644	1384	0	0	0	0	0	0	2029	329.89	-2.97	1.93	5.28	16.55	10.99	9.01	1.00	23.06	22.09
6/13/2023 11:50:25	2.78	0.00	0.00	0.64	0.00	0.00	0.00	0.46	3.42	100.00	0.40	17.38	1473	0	0	19	0	0	0	0	1492	331.04	3.88	6.05	0.70	9.60	5.10	10.73	1.00	23.06	22.09
6/13/2023 11:50:28	0.00	0.00	2.43	0.00	0.00	0.00	0.00	0.19	2.43	100.00	0.41	17.42	0	0	1095	0	0	0	0	0	1095	331.90	6.15	-1.40	-0.95	5.75	4.30	7.24	1.00	23.05	22.09
6/13/2023 11:50:31	5.15	0.00	0.00	0.98	0.00	0.00	0.00	0.41	6.13	100.00	0.42	17.41	2730	0	0	29	0	0	0	0	2759	317.28	4.46	5.39	-4.53	12.38	11.39	17.34	1.00	23.03	22.03
6/13/2023 11:50:34	1.09	0.00	0.00	0.56	0.00	0.00	0.00	0.44	1.65	100.00	0.43	17.36	579	0	0	17	0	0	0	0	596	331.19	-1.74	7.88	-4.07	7.09	9.34	7.24	1.00	23.02	22.11
6/13/2023 11:50:37	0.00	0.15	4.14	0.00	0.00	0.00	0.00	0.17	4.29	100.00	0.40	17.36	0	153	1862	0	0	0	0	0	2015	303.61	8.96	-0.24	6.11	9.38	4.84	9.92	1.00	23.02	21.96
6/13/2023 11:50:40	0.00	0.00	2.80	0.45	0.00	0.00	0.00	0.00	3.25	100.00	0.41	17.34	0	0	1261	13	0	0	0	0	1275	317.27	12.32	7.05	0.33	1.03	2.77	7.63	1.00	23.00	22.25
6/13/2023 11:50:43	3.63	0.00	0.00	0.00	0.00	0.00	0.00	0.59	3.63	100.00	0.41	17.33	1925	0	0	0	0	0	0	0	1925	308.69	-2.72	-10.69	7.16	12.60	-1.16	12.39	1.00	23.04	22.20
6/13/2023 11:50:46	1.37	1.98	1.68	0.00	0.00	0.00	0.00	0.00	5.03	100.00	0.40	17.35	724	1984	755	0	0	0	0	0	3463	325.50	4.19	-5.70	11.19	3.46	8.65	8.23	1.00	23.00	22.06
6/13/2023 11:50:49	0.00	0.82	0.44	0.00	0.00	0.00	0.00	0.54	1.26	100.00	0.39	17.39	0	816	200	0	0	0	0	0	1016	325.61	3.89	-3.52	7.22	7.64	3.26	3.08	1.00	23.02	22.08
6/13/2023 11:50:52	4.70	0.00	0.00	2.62	0.00	0.00	0.00	0.00	7.32	100.00	0.40	17.38	2493	0	0	79	0	0	0	0	2571	322.64	6.38	8.91	4.36	8.16	10.68	17.85	1.00	23.00	22.08
6/13/2023 11:50:55	0.00	1.04	3.28	1.55	0.00	0.00	0.00	0.00	5.87	100.00	0.42	17.36	0	1039	1478	47	0	0	0	0	2563	323.39	8.74	0.16	8.21	8.10	12.60	11.83	1.00	23.00	22.09
6/13/2023 11:50:58	2.87	0.78	0.00	0.00	0.00	0.00	0.00	0.26	3.66	100.00	0.41	17.33	1522	784	0	0	0	0	0	0	2306	321.05	-1.55	3.49	8.37	7.98	3.54	6.97	1.00	22.99	22.11
6/13/2023 11:51:01	0.00	4.19	0.00	0.00	0.00	0.00	0.00	0.00	4.19	100.00	0.41	17.29	0	4189	0	0	0	0	0	0	4189	317.54	3.09	-7.18	12.27	1.69	15.64	-9.93	1.00	22.98	22.11
6/13/2023 11:51:04	1.67	0.00	0.00	3.81	0.00	0.00	0.00	0.07	5.47	100.00	0.41	17.33	883	0	0	114	0	0	0	0	997	320.59	7.15	7.26	5.51	8.86	13.45	12.84	1.00	22.98	22.11
6/13/2023 11:51:07	0.68	0.00	0.00	0.00	0.00	0.00	0.00	0.50	0.68	100.00	0.42	17.35	359	0	0	0	0	0	0	0	359	311.81	2.93	-0.36	-12.69	4.12	5.52	8.88	1.00	22.96	22.08
6/13/2023 11:51:10	0.00	1.36	0.00	0.00	0.00	0.00	0.00	1.08	1.36	100.00	0.41	17.33	0	1355	0	0	0	0	0	0	1355	320.86	3.08	2.05	0.54	15.54	13.53	0.90	1.00	22.95	22.08
6/13/2023 11:51:12	0.06	0.81	0.00	0.00	0.00	0.00	0.00	1.04	0.87	100.00	0.41	17.34	33	805	0	0	0	0	0	0	838	323.81	0.32	1.39	5.02	13.16	5.96	6.03	1.00	22.94	22.09
6/13/2023 11:51:16	3.29	0.03	1.83	0.00	0.00	0.00	0.00	0.00	5.15	100.00	0.41	17.32	1743	33	825	0	0	0	0	0	2601	325.37	4.45	-8.14	5.17	7.01	7.61	11.19	1.00	22.93	22.04
6/13/2023 11:51:19	0.00	1.35	0.00	2.30	0.00	0.00	0.00	0.00	3.65	100.00	0.40	17.30	0	1349	0	69	0	0	0	0	1418	328.48	7.26	4.37	8.22	4.26	11.41	2.66	1.00	22.93	22.12
6/13/2023 11:51:22	4.50	0.00	0.62	0.00	0.00	0.00	0.00	0.39	5.12	100.00	0.40	17.31	2384	0	279	0	0	0	0	0	2663	311.99	3.26	0.45	6.79	12.12	3.12	12.71	1.00	22.93	22.08
6/13/2023 11:51:24	0.00	2.75	0.00	0.03	0.00	0.00	0.00	1.35	2.78	100.00	0.40	17.33	0	2749	0	1	0	0	0	0	2750	307.02	4.51	1.56	10.02	17.80	10.68	7.49	1.00	22.92	22.09
6/13/2023 11:51:27	0.00	0.00	0.00	1.86	0.00	0.00	0.00	0.57	1.86	100.00	0.39	17.31	0	0	0	56	0	0	0	0	56	319.88	2.55	1.84	1.32	9.80	12.44	6.78	1.00	22.92	22.09
6/13/2023 11:51:31	2.52	0.00	4.39	0.00	0.00	0.00	0.00	0.11	6.90	100.00	0.40	17.33	1333	0	1975	0	0	0	0	0	3308	309.35	8.03	-5.16	5.62	12.02	6.94	17.37	1.00	22.90	22.06
6/13/2023 11:51:33	0.00	0.00	2.64	1.80	0.00	0.00	0.00	0.00	4.45	100.00	0.40	17.32	0	0	1189	54	0	0	0	0	1244	307.68	8.13	6.80	4.11	3.70	8.07	12.87	1.00	22.90	22.04
6/13/2023 11:51:36	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.47	0.11	100.00	0.40	17.32	0	0	0	3	0	0	0	0	3	327.84	1.53	2.39	-1.93	6.49	7.33	-0.15	1.00	22.90	22.08
6/13/2023 11:51:39	0.00	0.00	2.10	0.00	0.00	0.00	0.00	0.62	2.10	100.00	0.40	17.31	0	0	946	0	0	0	0	0	946	330.56	6.96	5.45	0.32	11.09	3.75	7.74	1.00	22.87	22.06
6/13/2023 11:51:42	0.00	0.78	0.52	0.00	0.00	0.00	0.00	1.11	1.30	100.00	0.39	17.32	0	781	233	0	0	0	0	0	1014	330.13	5.21	2.83	7.54	15.00	2.35	6.25	1.00	22.87	22.09
6/13/2023 11:51:45	8.66	0.00	0.00	0.00	0.00	0.00	0.00	0.60	8.66	100.00	0.39	17.30	4591	0	0	0	0	0	0	0	4591	330.26	-3.50	0.49	4.16	20.41	11.22	21.18	1.00	22.86	22.04
6/13/2023 11:51:48	1.18	0.00	1.15	0.00	0.00	0.00	0.00	0.37	2.34	100.00	0.39	17.31	628	0	518	0	0	0	0	0	1146	320.98	2.67	-4.73	-1.36	7.01	6.78	8.68	1.00	22.85	22.04
6/13/2023 11:51:51	0.00	0.00	0.18	1.04	0.00	0.00	0.00	0.08	1.21	100.00	0.39	17.29	0	0	79	31	0	0	0	0	111	319.42	3.80	1.95	3.68	2.61	4.91	1.94	1.00	22.84	22.11
6/13/2023 11:51:54	0.00	0.83	2.30	0.00	0.00	0.00	0.00	0.61	3.12	100.00	0.39	17.30	0	825	1034	0	0	0	0	0	1860	328.61	5.96	-0.95	8.28	11.77	4.47	8.80	1.00	22.84	22.09
6/13/2023 11:51:57	0.26	1.79	0.00	1.19	0.00	0.00	0.00	0.78	3.24	100.00	0.39	17.32	138	1785	0	36	0	0	0	0	1959	321.42	2.75	2.23	6.97	12.50	13.63	7.74	1.00	22.84	22.09
