Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	#5	#6	#7	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	#5	#6	#7	Yellow substances	Total cell count	Trans. 700 nm	LED 3 [525 nm]	LED 4 [570 nm]	LED 5 [610 nm]	LED 6 [370 nm]	LED 7 [590 nm]	LED 8 [470 nm]	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	r.u.	µg/l	%	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	r.u.	cells/ml	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
11/1/2023 13:52:32	0.00	0.33	0.51	1.90	0.00	0.00	0.00	0.97	2.74	100.00	0.00	12.33	0	334	230	57	0	0	0	0	621	305.61	7.13	0.08	5.61	15.64	10.72	10.85	1.03	11.34	10.73
11/1/2023 13:52:36	0.00	0.06	3.91	0.46	0.00	0.00	0.00	0.49	4.43	100.00	0.00	12.29	0	59	1761	14	0	0	0	0	1834	303.97	8.68	-2.22	4.43	13.22	9.20	13.30	1.03	11.40	10.72
11/1/2023 13:52:39	1.57	2.03	2.52	0.00	0.00	0.00	0.00	0.56	6.11	100.00	0.00	12.34	830	2028	1133	0	0	0	0	0	3991	305.75	6.18	4.08	11.60	14.48	8.43	12.77	1.03	11.47	10.78
11/1/2023 13:52:42	0.21	0.00	0.00	3.17	0.00	0.00	0.00	0.39	3.38	100.00	0.00	12.47	113	0	0	95	0	0	0	0	208	303.67	7.08	2.11	5.12	9.58	12.18	9.98	1.03	11.54	10.75
11/1/2023 13:52:45	0.00	0.14	0.32	2.33	0.00	0.00	0.00	0.96	2.79	100.00	-0.00	12.48	0	138	145	70	0	0	0	0	353	301.99	7.99	3.14	6.46	16.00	9.38	10.93	1.03	11.57	10.78
11/1/2023 13:52:47	0.00	1.22	2.97	0.44	0.00	0.00	0.00	0.56	4.62	100.00	0.00	12.49	0	1218	1335	13	0	0	0	0	2566	305.20	9.78	-0.03	7.96	13.40	9.13	10.03	1.03	11.62	10.84
11/1/2023 13:52:51	0.00	0.00	0.00	3.44	0.00	0.00	0.00	0.77	3.44	100.00	0.02	12.45	0	0	0	103	0	0	0	0	103	302.96	7.17	2.71	4.90	14.53	14.38	12.32	1.03	11.68	10.83
11/1/2023 13:52:54	1.01	1.21	0.00	2.52	0.00	0.00	0.00	0.56	4.74	100.00	0.01	12.46	537	1208	0	76	0	0	0	0	1821	306.58	6.59	2.57	8.82	12.66	13.77	10.93	1.03	11.73	10.80
11/1/2023 13:52:57	0.00	0.19	2.40	1.44	0.00	0.00	0.00	0.78	4.02	100.00	0.02	12.44	0	186	1079	43	0	0	0	0	1308	305.95	9.25	1.73	6.32	16.01	9.06	13.09	1.03	11.80	10.86
11/1/2023 13:52:59	0.20	0.19	0.00	2.23	0.00	0.00	0.00	0.92	2.62	100.00	0.01	12.33	104	191	0	67	0	0	0	0	362	307.44	5.97	1.06	5.17	14.82	11.26	10.68	1.03	11.85	10.89
11/1/2023 13:53:02	3.25	0.01	0.00	1.87	0.00	0.00	0.00	0.58	5.13	100.00	0.01	12.34	1721	11	0	56	0	0	0	0	1789	305.43	5.77	3.23	6.63	14.51	9.47	13.84	1.03	11.87	10.91
11/1/2023 13:53:06	0.00	1.12	0.80	2.28	0.00	0.00	0.00	0.76	4.20	100.00	0.01	12.34	0	1118	361	68	0	0	0	0	1547	304.61	9.17	4.26	9.55	14.95	10.91	10.64	1.03	11.93	10.89
11/1/2023 13:53:08	0.00	0.21	0.00	2.59	0.00	0.00	0.00	0.73	2.80	100.00	0.01	12.31	0	206	0	78	0	0	0	0	284	303.63	7.09	-1.22	5.17	12.68	12.60	9.74	1.03	11.97	10.97
11/1/2023 13:53:11	0.00	0.00	4.14	1.15	0.00	0.00	0.00	0.34	5.29	100.00	0.02	12.34	0	0	1862	35	0	0	0	0	1896	308.27	9.85	3.00	4.07	12.84	9.40	14.99	1.03	12.01	10.91
11/1/2023 13:53:14	0.00	1.41	2.01	1.78	0.00	0.00	0.00	0.65	5.20	100.00	0.01	12.37	0	1414	905	53	0	0	0	0	2372	310.31	10.30	0.24	9.27	14.88	13.10	11.88	1.03	12.04	10.92
11/1/2023 13:53:17	0.00	0.00	0.77	2.10	0.00	0.00	0.00	0.98	2.87	100.00	0.02	12.43	0	0	349	63	0	0	0	0	411	305.17	7.62	2.60	5.71	16.52	9.41	12.09	1.03	12.09	10.91
11/1/2023 13:53:20	0.00	1.27	2.39	0.32	0.00	0.00	0.00	0.82	3.98	100.00	0.03	12.47	0	1271	1075	10	0	0	0	0	2355	305.02	7.10	1.12	7.60	15.12	9.22	11.05	1.03	12.16	10.96
11/1/2023 13:53:23	0.00	0.00	1.71	2.26	0.00	0.00	0.00	0.61	3.97	100.00	0.03	12.49	0	0	769	68	0	0	0	0	837	307.54	9.09	3.02	2.91	13.57	11.43	13.01	1.03	12.19	10.97
11/1/2023 13:53:26	0.00	0.54	1.63	1.27	0.00	0.00	0.00	0.88	3.44	100.00	0.02	12.47	0	543	735	38	0	0	0	0	1316	306.49	7.21	1.37	6.36	15.58	9.64	11.85	1.03	12.22	10.91
11/1/2023 13:53:29	0.39	0.43	1.51	1.86	0.00	0.00	0.00	0.67	4.19	100.00	0.02	12.39	208	429	680	56	0	0	0	0	1372	305.21	7.50	2.57	7.03	14.22	10.42	12.64	1.03	12.28	11.01
11/1/2023 13:53:32	0.00	0.00	0.94	2.85	0.00	0.00	0.00	0.65	3.78	100.00	0.03	12.33	0	0	421	85	0	0	0	0	506	308.77	8.64	2.26	6.09	13.77	11.62	12.39	1.03	12.31	10.97
11/1/2023 13:53:35	1.39	0.75	0.00	1.52	0.00	0.00	0.00	0.83	3.67	100.00	0.03	12.42	737	751	0	46	0	0	0	0	1534	306.83	5.36	0.29	6.44	14.54	11.24	10.89	1.03	12.37	10.99
11/1/2023 13:53:38	0.52	0.93	0.40	1.99	0.00	0.00	0.00	0.74	3.84	100.00	0.02	12.53	277	929	180	60	0	0	0	0	1446	308.80	6.42	4.39	8.45	13.92	10.35	10.78	1.03	12.39	11.02
