"TOA5","OwascoWinchInternet","CR1000","57852","CR1000.Std.26","CPU:Owasco.cr1","37634","DbgMoveSequence"
"TIMESTAMP","RECORD","DbgStr","DbgStr2"
"TS","RN","",""
"","","Smp","Smp"
"2017-11-03 00:45:38",1979,"(-1)1.13; (-1)1.02; ","[ (-1)  Curr( 1.02) PrevDpt( 1.13) ]; "
"2018-04-24 00:00:28",1980,"43.34; 43.34; 43.35; 43.34; ",""
"2018-04-24 00:00:45",1981,"42.76; 42.77; 42.77; 42.77; ",""
"2018-04-24 00:01:02",1982,"42.19; 42.2; 42.21; 42.2; ",""
"2018-04-24 00:01:19",1983,"41.61; 41.61; 41.6; 41.6; ",""
"2018-04-24 00:01:36",1984,"40.98; 40.97; 40.97; 40.97; ",""
"2018-04-24 00:01:53",1985,"40.38; 40.38; 40.37; 40.36; ",""
"2018-04-24 00:02:10",1986,"39.74; 39.74; 39.75; 39.76; ",""
"2018-04-24 00:02:27",1987,"39.11; 39.12; 39.12; 39.12; ",""
"2018-04-24 00:02:44",1988,"38.5; 38.5; 38.51; 38.51; ",""
"2018-04-24 00:03:01",1989,"37.87; 37.89; 37.88; 37.88; ",""
"2018-04-24 00:03:18",1990,"37.25; 37.26; 37.27; 37.27; ",""
"2018-04-24 00:03:35",1991,"36.65; 36.63; 36.63; 36.64; ",""
"2018-04-24 00:03:52",1992,"36; 36.01; 36.01; 36; ",""
"2018-04-24 00:04:09",1993,"35.39; 35.39; 35.39; 35.38; ",""
"2018-04-24 00:04:26",1994,"34.75; 34.73; 34.73; 34.75; ",""
"2018-04-24 00:04:43",1995,"34.11; 34.12; 34.13; 34.12; ",""
"2018-04-24 00:05:00",1996,"33.49; 33.48; 33.49; 33.49; ",""
"2018-04-24 00:05:17",1997,"32.83; 32.83; 32.83; 32.83; ",""
"2018-04-24 00:05:34",1998,"32.2; 32.19; 32.18; 32.18; ",""
"2018-04-24 00:05:51",1999,"31.54; 31.53; 31.53; 31.53; ",""
"2018-04-24 00:06:08",2000,"30.93; 30.92; 30.91; 30.92; ",""
"2018-04-24 00:06:25",2001,"30.32; 30.31; 30.3; 30.29; ",""
"2018-04-24 00:06:42",2002,"29.67; 29.68; 29.69; 29.67; ",""
"2018-04-24 00:06:59",2003,"29.04; 29.03; 29.03; 29.03; ",""
"2018-04-24 00:07:16",2004,"28.38; 28.39; 28.39; 28.38; ",""
"2018-04-24 00:07:33",2005,"27.7; 27.69; 27.71; 27.73; ",""
"2018-04-24 00:07:50",2006,"27.04; 27.04; 27.05; 27.06; ",""
"2018-04-24 00:08:07",2007,"26.37; 26.36; 26.36; 26.38; ",""
"2018-04-24 00:08:24",2008,"25.71; 25.7; 25.69; 25.69; ",""
