"TOA5","OwascoMetInternet","CR1000","60228","CR1000.Std.26","CPU:Owasco_MET.cr1","22473","WindMax"
"TIMESTAMP","RECORD","W_SpdRaw_Max","W_SpdRaw_TMx"
"TS","RN","",""
"","","Max","TMx"
"2017-11-03 07:35:31",33901,3.195,"2017-11-03 07:33:25"
"2017-11-03 08:05:31",33902,4.528,"2017-11-03 08:05:30"
"2017-11-03 08:35:31",33903,4.528,"2017-11-03 08:30:00"
"2017-11-03 09:05:31",33904,8.8,"2017-11-03 09:02:25"
"2017-11-03 09:35:31",33905,7.076,"2017-11-03 09:30:20"
"2017-11-03 10:05:31",33906,6.507,"2017-11-03 10:00:35"
"2017-11-03 10:35:31",33907,6.096,"2017-11-03 10:32:10"
"2017-11-03 11:05:31",33908,8.39,"2017-11-03 11:02:30"
"2017-11-03 11:35:31",33909,8.04,"2017-11-03 11:31:05"
"2017-11-03 12:05:31",33910,9.92,"2017-11-03 12:03:55"
"2017-11-03 12:35:31",33911,7.899,"2017-11-03 12:30:00"
"2017-11-03 13:05:31",33912,6.213,"2017-11-03 13:00:25"
"2017-11-03 13:35:31",33913,7.193,"2017-11-03 13:30:10"
"2017-11-03 14:05:31",33914,6.86,"2017-11-03 14:03:50"
"2018-04-17 15:35:30",33915,0,"2018-04-17 15:30:00"
"2018-04-17 16:05:30",33916,0,"2018-04-17 16:00:00"
"2018-04-23 17:05:30",33917,3.41,"2018-04-23 17:02:45"
"2018-04-23 17:35:30",33918,4.449,"2018-04-23 17:35:00"
"2018-04-23 18:05:30",33919,5.468,"2018-04-23 18:04:05"
"2018-04-23 18:35:30",33920,6.39,"2018-04-23 18:34:40"
"2018-04-23 19:05:30",33921,6.194,"2018-04-23 19:00:00"
"2018-04-23 19:35:30",33922,4.782,"2018-04-23 19:34:40"
"2018-04-23 20:05:30",33923,4.645,"2018-04-23 20:00:00"
"2018-04-23 20:35:30",33924,2.391,"2018-04-23 20:32:30"
"2018-04-23 21:05:30",33925,1.999,"2018-04-23 21:00:00"
"2018-04-23 21:35:30",33926,2.254,"2018-04-23 21:31:35"
"2018-04-23 22:05:30",33927,3.704,"2018-04-23 22:05:30"
"2018-04-23 22:35:30",33928,5.292,"2018-04-23 22:32:50"
"2018-04-23 23:05:30",33929,5.253,"2018-04-23 23:00:55"
"2018-04-23 23:35:30",33930,5.88,"2018-04-23 23:30:15"
"2018-04-24 00:05:30",33931,6.409,"2018-04-24 00:05:05"
"2018-04-24 00:35:30",33932,6.252,"2018-04-24 00:31:55"
"2018-04-24 01:05:30",33933,6.017,"2018-04-24 01:00:10"
"2018-04-24 01:35:30",33934,6.115,"2018-04-24 01:32:35"
"2018-04-24 02:05:30",33935,5.645,"2018-04-24 02:04:50"
"2018-04-24 02:35:30",33936,5.762,"2018-04-24 02:30:30"
"2018-04-24 03:05:30",33937,6.429,"2018-04-24 03:05:20"
"2018-04-24 03:35:30",33938,6.448,"2018-04-24 03:30:20"
"2018-04-24 04:05:30",33939,6.821,"2018-04-24 04:00:15"
"2018-04-24 04:35:30",33940,5.821,"2018-04-24 04:30:00"
"2018-04-24 05:05:30",33941,5.292,"2018-04-24 05:05:20"
"2018-04-24 05:35:30",33942,5.292,"2018-04-24 05:30:00"
"2018-04-24 06:05:30",33943,5.802,"2018-04-24 06:04:10"
"2018-04-24 06:35:30",33944,6.076,"2018-04-24 06:35:10"
"2018-04-24 07:05:30",33945,8.37,"2018-04-24 07:05:25"
"2018-04-24 07:35:30",33946,8.76,"2018-04-24 07:35:10"
"2018-04-24 08:05:30",33947,9.9,"2018-04-24 08:05:20"
"2018-04-24 08:35:30",33948,10.04,"2018-04-24 08:30:35"
"2018-04-24 09:05:30",33949,10.51,"2018-04-24 09:02:20"
"2018-04-24 09:35:30",33950,10.54,"2018-04-24 09:30:35"
"2018-04-24 10:05:30",33951,8.72,"2018-04-24 10:00:00"
"2018-04-24 10:35:30",33952,7.997,"2018-04-24 10:30:00"
"2018-04-24 11:05:30",33953,9.06,"2018-04-24 11:02:55"
"2018-04-24 11:35:30",33954,8.15,"2018-04-24 11:32:25"
"2018-04-24 12:05:30",33955,6.507,"2018-04-24 12:00:00"
"2018-04-24 12:35:30",33956,6.997,"2018-04-24 12:30:10"
"2018-04-24 13:05:30",33957,6.292,"2018-04-24 13:03:30"
"2018-04-24 13:35:30",33958,6.037,"2018-04-24 13:34:35"
"2018-04-24 14:05:30",33959,7.409,"2018-04-24 14:05:10"
"2018-04-24 14:35:30",33960,8.37,"2018-04-24 14:34:10"
"2018-04-24 15:05:30",33961,8.74,"2018-04-24 15:01:50"
"2018-04-24 15:35:30",33962,8.72,"2018-04-24 15:31:15"
"2018-04-24 16:05:30",33963,6.331,"2018-04-24 16:05:10"
"2018-04-24 16:35:30",33964,7.526,"2018-04-24 16:32:30"
"2018-04-24 17:05:30",33965,7.134,"2018-04-24 17:00:00"
"2018-04-24 17:35:30",33966,5.723,"2018-04-24 17:32:15"
"2018-04-24 18:05:30",33967,3.058,"2018-04-24 18:00:00"
"2018-04-24 18:35:30",33968,4.488,"2018-04-24 18:33:20"
"2018-04-24 19:05:30",33969,3.214,"2018-04-24 19:00:00"
"2018-04-24 19:35:30",33970,6.252,"2018-04-24 19:31:15"
"2018-04-24 20:05:30",33971,7.428,"2018-04-24 20:01:40"
"2018-04-24 20:35:30",33972,5.802,"2018-04-24 20:33:55"
"2018-04-24 21:05:30",33973,5.606,"2018-04-24 21:05:25"
"2018-04-24 21:35:30",33974,5.586,"2018-04-24 21:31:55"
"2018-04-24 22:05:30",33975,5.39,"2018-04-24 22:02:25"
"2018-04-24 22:35:30",33976,6.174,"2018-04-24 22:34:15"
"2018-04-24 23:05:30",33977,9.06,"2018-04-24 23:02:25"
"2018-04-24 23:35:30",33978,6.801,"2018-04-24 23:33:40"
"2018-04-25 00:05:30",33979,7.781,"2018-04-25 00:00:50"
"2018-04-25 00:35:30",33980,4.234,"2018-04-25 00:30:00"
"2018-04-25 01:05:30",33981,3.097,"2018-04-25 01:00:00"
"2018-04-25 01:35:30",33982,2.058,"2018-04-25 01:30:00"
"2018-04-25 02:05:30",33983,0.764,"2018-04-25 02:00:00"
"2018-04-25 02:35:30",33984,0.529,"2018-04-25 02:35:30"
"2018-04-25 03:05:30",33985,0.823,"2018-04-25 03:02:50"
"2018-04-25 03:35:30",33986,1.156,"2018-04-25 03:34:00"
"2018-04-25 04:05:30",33987,1.137,"2018-04-25 04:03:30"
"2018-04-25 04:35:30",33988,0.588,"2018-04-25 04:30:10"
"2018-04-25 05:05:30",33989,2.019,"2018-04-25 05:03:00"
"2018-04-25 05:35:30",33990,3.959,"2018-04-25 05:30:15"
"2018-04-25 06:05:30",33991,3.273,"2018-04-25 06:01:15"
"2018-04-25 06:35:30",33992,2.234,"2018-04-25 06:30:00"
"2018-04-25 07:05:30",33993,1.823,"2018-04-25 07:03:10"
"2018-04-25 07:35:30",33994,1.607,"2018-04-25 07:30:50"
"2018-04-25 08:05:30",33995,2.45,"2018-04-25 08:02:15"
"2018-04-25 08:35:30",33996,3.293,"2018-04-25 08:32:35"
"2018-04-25 09:05:30",33997,2.058,"2018-04-25 09:00:00"
"2018-04-25 09:35:30",33998,1.725,"2018-04-25 09:34:10"
"2018-04-25 10:05:30",33999,1.842,"2018-04-25 10:03:15"
"2018-04-25 10:35:30",34000,1.744,"2018-04-25 10:30:00"
"2018-04-25 11:05:30",34001,1.117,"2018-04-25 11:00:00"
"2018-04-25 11:35:30",34002,0.02,"2018-04-25 11:30:00"
"2018-04-25 12:05:30",34003,1.509,"2018-04-25 12:05:30"
"2018-04-25 12:35:30",34004,1.509,"2018-04-25 12:30:00"
"2018-04-25 13:05:30",34005,3.704,"2018-04-25 13:00:50"
"2018-04-25 13:35:30",34006,3.744,"2018-04-25 13:34:15"
"2018-04-25 14:05:30",34007,3.606,"2018-04-25 14:00:00"
"2018-04-25 14:35:30",34008,2.92,"2018-04-25 14:35:00"
"2018-04-25 15:05:30",34009,2.509,"2018-04-25 15:00:00"
"2018-04-25 15:35:30",34010,2.215,"2018-04-25 15:30:00"
"2018-04-25 16:05:30",34011,1.529,"2018-04-25 16:00:00"
"2018-04-25 16:35:30",34012,1,"2018-04-25 16:32:40"
"2018-04-25 17:05:30",34013,1.058,"2018-04-25 17:01:45"
"2018-04-25 17:35:30",34014,1.96,"2018-04-25 17:34:20"
"2018-04-25 18:05:30",34015,1.744,"2018-04-25 18:00:00"
"2018-04-25 18:35:30",34016,1.431,"2018-04-25 18:35:25"
"2018-04-25 19:05:30",34017,1.313,"2018-04-25 19:00:00"
"2018-04-25 19:35:30",34018,1.294,"2018-04-25 19:33:00"
"2018-04-25 20:05:30",34019,6.762,"2018-04-25 20:01:35"
"2018-04-25 20:35:30",34020,5.39,"2018-04-25 20:30:00"
"2018-04-25 21:05:30",34021,3.273,"2018-04-25 21:00:00"
"2018-04-25 21:35:30",34022,2.411,"2018-04-25 21:35:25"
"2018-04-25 22:05:30",34023,5.272,"2018-04-25 22:03:20"
"2018-04-25 22:35:30",34024,4.861,"2018-04-25 22:32:55"
"2018-04-25 23:05:30",34025,4.351,"2018-04-25 23:01:05"
"2018-04-25 23:35:30",34026,3.744,"2018-04-25 23:31:00"
"2018-04-26 00:05:30",34027,3.018,"2018-04-26 00:03:45"
"2018-04-26 00:35:30",34028,6.017,"2018-04-26 00:31:40"
"2018-04-26 01:05:30",34029,9.02,"2018-04-26 01:01:15"
"2018-04-26 01:35:30",34030,10.49,"2018-04-26 01:31:55"
"2018-04-26 02:05:30",34031,9.02,"2018-04-26 02:03:30"
"2018-04-26 02:35:30",34032,7.84,"2018-04-26 02:31:10"
"2018-04-26 03:05:30",34033,6.174,"2018-04-26 03:04:10"
"2018-04-26 03:35:30",34034,8.13,"2018-04-26 03:31:25"
"2018-04-26 04:05:30",34035,7.526,"2018-04-26 04:00:00"
"2018-04-26 04:35:30",34036,5.841,"2018-04-26 04:30:15"
"2018-04-26 05:05:30",34037,8.23,"2018-04-26 05:05:00"
"2018-04-26 05:35:30",34038,7.37,"2018-04-26 05:31:20"
"2018-04-26 06:05:30",34039,7.174,"2018-04-26 06:04:30"
"2018-04-26 06:35:30",34040,6.35,"2018-04-26 06:31:40"
"2018-04-26 07:05:30",34041,5.214,"2018-04-26 07:04:25"
"2018-04-26 07:35:30",34042,6.272,"2018-04-26 07:32:20"
"2018-04-26 08:05:30",34043,5.174,"2018-04-26 08:00:00"
"2018-04-26 08:35:30",34044,5.998,"2018-04-26 08:33:50"
"2018-04-26 09:05:30",34045,6.35,"2018-04-26 09:02:00"
"2018-04-26 09:35:30",34046,7.272,"2018-04-26 09:33:05"
"2018-04-26 10:05:30",34047,9.04,"2018-04-26 10:03:45"
"2018-04-26 10:35:30",34048,8.78,"2018-04-26 10:34:40"
"2018-04-26 11:05:30",34049,9.41,"2018-04-26 11:04:00"
"2018-04-26 11:35:30",34050,10.7,"2018-04-26 11:33:25"
"2018-04-26 12:05:30",34051,8.21,"2018-04-26 12:05:00"
"2018-04-26 12:35:30",34052,10.49,"2018-04-26 12:31:05"
"2018-04-26 13:05:30",34053,10.64,"2018-04-26 13:02:30"
"2018-04-26 13:35:30",34054,9.04,"2018-04-26 13:35:30"
"2018-04-26 14:05:30",34055,9.04,"2018-04-26 14:00:00"
"2018-04-26 14:35:30",34056,6.586,"2018-04-26 14:33:05"
"2018-04-26 15:05:30",34057,6.997,"2018-04-26 15:01:55"
"2018-04-26 15:35:30",34058,10.62,"2018-04-26 15:32:55"
"2018-04-26 16:05:30",34059,7.291,"2018-04-26 16:00:50"
"2018-04-26 16:35:30",34060,7.35,"2018-04-26 16:31:55"
"2018-04-26 17:05:30",34061,5.547,"2018-04-26 17:04:10"
"2018-04-26 17:35:30",34062,5.606,"2018-04-26 17:30:10"
"2018-04-26 18:05:30",34063,6.311,"2018-04-26 18:04:30"
"2018-04-26 18:35:30",34064,5.86,"2018-04-26 18:34:50"
"2018-04-26 19:05:30",34065,4.586,"2018-04-26 19:01:30"
"2018-04-26 19:35:30",34066,3.763,"2018-04-26 19:30:10"
"2018-04-26 20:05:30",34067,2.685,"2018-04-26 20:00:00"
