"TOA5","OwascoWinchInternet","CR1000","57852","CR1000.Std.26","CPU:Owasco.cr1","37634","EventLog"
"TIMESTAMP","RECORD","EventMsg","EventDetails"
"TS","RN","",""
"","","Smp","Smp"
"2017-11-03 00:46:55",133864,"[11/03/2017 00:51:45.80] *** End of profile [389] ***",""
"2018-04-17 15:10:50.97",133865,"***** Datalogger Reset *****","Program Signature: 53026; Profiler version: 26.4; debug: 0; Modbus: 0; [54763]."
"2018-04-17 15:12:43.61",133866,"Modem ON - Reseting at 1432 / 1440","modemCurrMin(912); modemResetMin(1432)"
"2018-04-17 15:12:43.86",133867,"[04/17/2018 15:12:43.86]  WARNING: Unable to verify sonde's time.","Time parameter is not on or not yet known."
"2018-04-17 15:12:43.86",133868,"[04/17/2018 15:12:43.86]  WARNING: Unable to verify sonde's time.","Time parameter is not on or not yet known."
"2018-04-17 15:54:51.1",133869,"(Setup Mode)(F8) - Manual Sonde Parameter reading."," 1 22 7 223 194 211 212 216 28 230   #"
"2018-04-17 15:55:00",133870,"[04/17/2018 15:56:07.60]  ERROR: (SondeReading) - Invalid Depth reading (-0.44 m); Cable(100 m).  (Hourly Sonde Data setup Mode)"," 13.59 -0.44 9.01 2.47 0.34 99.07 10.30 0.89 6.43 10.24   # "
"2018-04-22 15:46:44.64",133871,"***** Datalogger Reset *****","Program Signature: 53026; Profiler version: 26.4; debug: 0; Modbus: 0; [56917]."
"2018-04-22 15:48:37.27",133872,"Modem ON - Reseting at 1432 / 1440","modemCurrMin(948); modemResetMin(1432)"
"2018-04-22 15:48:37.52",133873,"[04/22/2018 15:48:37.52]  WARNING: Unable to verify sonde's time.","Time parameter is not on or not yet known."
"2018-04-22 15:48:37.53",133874,"[04/22/2018 15:48:37.52]  WARNING: Unable to verify sonde's time.","Time parameter is not on or not yet known."
"2018-04-22 15:52:59.1",133875,"(Setup Mode)(F8) - Manual Sonde Parameter reading."," 1 22 7 223 194 211 212 216 28 230   #"
"2018-04-22 15:55:00",133876,"[04/22/2018 15:56:08.23]  ERROR: (SondeReading) - Invalid Depth reading (-0.21 m); Cable(100 m).  (Hourly Sonde Data setup Mode)"," 27.33 -0.21 2.60 1.35 -0.01 102.80 8.14 -0.45 6.41 10.25   # "
"2018-04-23 16:53:21.56",133877,"***** Datalogger Reset *****","Program Signature: 53026; Profiler version: 26.4; debug: 0; Modbus: 0; [60913]."
"2018-04-23 16:55:13.9",133878,"Modem ON - Reseting at 1432 / 1440","modemCurrMin(1015); modemResetMin(1432)"
"2018-04-23 16:55:14.15",133879,"[04/23/2018 16:55:14.15]  WARNING: Unable to verify sonde's time.","Time parameter is not on or not yet known."
