"TOA5","OwascoInternetWinch","CR1000","57852","CR1000.Std.26","CPU:Owasco 44.cr1","23139","EventLog"
"TIMESTAMP","RECORD","EventMsg","EventDetails"
"TS","RN","",""
"","","Smp","Smp"
"2020-05-23 00:00:00",94654,"[05/23/2020 00:00:00.02] *** Start of profile [3] (0, 0, -1, 1)  ***","CurrPflType[1]; currPflIndex[1]"
"2020-05-23 00:00:00",94655,"[05/23/2020 00:00:05.79]  Water available (46.5); Start Depth (46.5); End Depth (1)."," StartX [46.5]; EndX [1] BottomType[0]; bIsBottomRef[0]; ProfileLeg[1]"
"2020-05-23 00:46:05",94656,"[05/23/2020 00:50:48.41] *** End of profile [3] ***",""
"2020-05-23 12:00:00",94657,"[05/23/2020 12:00:00.02] *** Start of profile [4] (0, 0, -1, 1)  ***","CurrPflType[1]; currPflIndex[1]"
"2020-05-23 12:00:00",94658,"[05/23/2020 12:00:05.79]  Water available (46.5); Start Depth (46.5); End Depth (1)."," StartX [46.5]; EndX [1] BottomType[0]; bIsBottomRef[0]; ProfileLeg[1]"
"2020-05-23 12:44:40",94659,"[05/23/2020 12:48:47.07] *** End of profile [4] ***",""
"2020-05-23 23:52:00",94660,"[05/23/2020 23:52:00.01]        Turning modem OFF","ModemCounter (12835); modemCurrMin(1431); resetModem(53)"
"2020-05-23 23:53:01",94661,"[05/23/2020 23:53:01.01]        Turning modem back ON","ModemCounter (12896); modemCurrMin(1433); resetModem(0)"
"2020-05-24 00:00:00",94662,"[05/24/2020 00:00:00.02] *** Start of profile [5] (0, 0, -1, 1)  ***","CurrPflType[1]; currPflIndex[1]"
"2020-05-24 00:00:00",94663,"[05/24/2020 00:00:05.79]  Water available (46.5); Start Depth (46.5); End Depth (1)."," StartX [46.5]; EndX [1] BottomType[0]; bIsBottomRef[0]; ProfileLeg[1]"
"2020-05-24 00:46:03",94664,"[05/24/2020 00:50:49.88] *** End of profile [5] ***",""
"2020-05-24 12:00:00",94665,"[05/24/2020 12:00:00.02] *** Start of profile [6] (0, 0, -1, 1)  ***","CurrPflType[1]; currPflIndex[1]"
