"TOA5","OwascoInternetWinch","CR1000","57852","CR1000.Std.26","CPU:Owasco 44.cr1","23139","DbgMoveSequence"
"TIMESTAMP","RECORD","DbgStr","DbgStr2"
"TS","RN","",""
"","","Smp","Smp"
"2020-06-17 00:00:31",1466,"44.13; 44.34; 44.57; 44.77; 44.99; 45.19; 45.42; 45.61; 45.8; 46.02; (1)46.19; (1)46.43; ","[ (1)  Curr( 46.43) PrevDpt( 46.19) ]; "
"2020-06-17 00:01:53",1467,"46.39; 46.22; 46.06; 45.88; 45.71; 45.52; (-1)45.39; (-1)45.14; (-1)45.04; ","[ (-1)  Curr( 45.04) PrevDpt( 45.14) ]; "
"2020-06-17 00:03:21",1468,"45.01; 44.85; 44.65; 44.48; 44.29; 44.12; (-1)43.98; (-1)43.63; (-1)43.53; ","[ (-1)  Curr( 43.53) PrevDpt( 43.63) ]; "
"2020-06-17 00:04:50",1469,"43.48; 43.33; 43.14; 42.97; 42.81; 42.63; (-1)42.49; (-1)42.15; (-1)42.04; ","[ (-1)  Curr( 42.04) PrevDpt( 42.15) ]; "
"2020-06-17 00:06:19",1470,"42; 41.83; 41.66; 41.47; 41.29; 41.12; (-1)40.96; (-1)40.63; (-1)40.54; ","[ (-1)  Curr( 40.54) PrevDpt( 40.63) ]; "
"2020-06-17 00:07:48",1471,"40.5; 40.3; 40.12; 39.95; 39.75; 39.56; (-1)39.4; (-1)39.11; (-1)39.02; ","[ (-1)  Curr( 39.02) PrevDpt( 39.11) ]; "
"2020-06-17 00:09:16",1472,"38.98; 38.8; 38.62; 38.42; 38.24; 38.03; (-1)37.88; (-1)37.61; (-1)37.51; ","[ (-1)  Curr( 37.51) PrevDpt( 37.61) ]; "
"2020-06-17 00:10:44",1473,"37.49; 37.29; 37.12; 36.95; 36.75; 36.57; (-1)36.43; (-1)36.11; (-1)36.03; ","[ (-1)  Curr( 36.03) PrevDpt( 36.11) ]; "
"2020-06-17 00:12:12",1474,"35.99; 35.83; 35.66; 35.46; 35.29; 35.1; (-1)34.96; (-1)34.64; (-1)34.54; ","[ (-1)  Curr( 34.54) PrevDpt( 34.64) ]; "
"2020-06-17 00:13:41",1475,"34.49; 34.33; 34.17; 33.97; 33.81; 33.65; (-1)33.49; (-1)33.16; (-1)33.05; ","[ (-1)  Curr( 33.05) PrevDpt( 33.16) ]; "
"2020-06-17 00:15:10",1476,"33.03; 32.83; 32.67; 32.52; 32.33; 32.16; 31.99; (-1)31.87; (-1)31.63; (-1)31.53; ","[ (-1)  Curr( 31.53) PrevDpt( 31.63) ]; "
"2020-06-17 00:16:39",1477,"31.5; 31.33; 31.16; 30.99; 30.8; 30.64; (-1)30.5; (-1)30.13; (-1)30.05; ","[ (-1)  Curr( 30.05) PrevDpt( 30.13) ]; "
"2020-06-17 00:18:08",1478,"30.01; 29.86; 29.67; 29.52; 29.35; 29.19; 29.02; (-1)28.88; (-1)28.62; (-1)28.54; ","[ (-1)  Curr( 28.54) PrevDpt( 28.62) ]; "
"2020-06-17 00:19:37",1479,"28.5; 28.32; 28.15; 27.97; 27.8; 27.59; (-1)27.46; (-1)27.12; (-1)27.04; ","[ (-1)  Curr( 27.04) PrevDpt( 27.12) ]; "
"2020-06-17 00:21:05",1480,"27; 26.83; 26.64; 26.47; 26.29; 26.08; (-1)25.94; (-1)25.62; (-1)25.53; ","[ (-1)  Curr( 25.53) PrevDpt( 25.62) ]; "
"2020-06-17 00:22:33",1481,"25.48; 25.31; 25.14; 24.94; 24.76; 24.58; (-1)24.43; (-1)24.1; ","[ (-1)  Curr( 24.1) PrevDpt( 24.43) ]; "
"2020-06-17 00:23:57",1482,"24.07; 23.89; 23.69; 23.51; 23.3; 23.11; (-1)22.95; (-1)22.6; ","[ (-1)  Curr( 22.6) PrevDpt( 22.95) ]; "
"2020-06-17 00:25:22",1483,"22.56; 22.38; 22.19; 22; 21.79; 21.61; (-1)21.46; (-1)21.11; (-1)21.02; ","[ (-1)  Curr( 21.02) PrevDpt( 21.11) ]; "
"2020-06-17 00:26:50",1484,"20.97; 20.78; 20.6; 20.38; 20.19; 19.98; (-1)19.83; (-1)19.57; ","[ (-1)  Curr( 19.57) PrevDpt( 19.83) ]; "
"2020-06-17 00:28:14",1485,"19.53; 19.34; 19.13; 18.94; 18.72; 18.54; (-1)18.38; (-1)18.07; ","[ (-1)  Curr( 18.07) PrevDpt( 18.38) ]; "
"2020-06-17 00:29:38",1486,"18.03; 17.85; 17.67; 17.46; 17.28; 17.09; (-1)16.94; (-1)16.6; ","[ (-1)  Curr( 16.6) PrevDpt( 16.94) ]; "
"2020-06-17 00:31:03",1487,"16.57; 16.37; 16.19; 15.98; 15.79; 15.61; (-1)15.44; (-1)15.09; ","[ (-1)  Curr( 15.09) PrevDpt( 15.44) ]; "
"2020-06-17 00:32:28",1488,"15.05; 14.85; 14.66; 14.47; 14.24; 14.06; (-1)13.89; (-1)13.56; ","[ (-1)  Curr( 13.56) PrevDpt( 13.89) ]; "
"2020-06-17 00:33:52",1489,"13.52; 13.33; 13.11; 12.91; 12.71; 12.5; (-1)12.34; (-1)12.05; ","[ (-1)  Curr( 12.05) PrevDpt( 12.34) ]; "
"2020-06-17 00:35:16",1490,"11.99; 11.8; 11.6; 11.38; 11.19; 11; (-1)10.83; (-1)10.56; ","[ (-1)  Curr( 10.56) PrevDpt( 10.83) ]; "
"2020-06-17 00:36:40",1491,"10.52; 10.33; 10.13; 9.939999; 9.72; 9.53; (-1)9.37; (-1)9.07; ","[ (-1)  Curr( 9.07) PrevDpt( 9.37) ]; "
"2020-06-17 00:38:04",1492,"9.01; 8.82; 8.64; 8.42; 8.22; 8.01; (-1)7.87; (-1)7.58; ","[ (-1)  Curr( 7.58) PrevDpt( 7.87) ]; "
"2020-06-17 00:39:28",1493,"7.55; 7.36; 7.16; 6.98; 6.76; 6.57; (-1)6.42; (-1)6.1; ","[ (-1)  Curr( 6.1) PrevDpt( 6.42) ]; "
"2020-06-17 00:40:52",1494,"6.05; 5.88; 5.7; 5.49; 5.28; 5.09; (-1)4.94; (-1)4.6; ","[ (-1)  Curr( 4.6) PrevDpt( 4.94) ]; "
"2020-06-17 00:42:17",1495,"4.55; 4.37; 4.2; 3.99; 3.81; 3.62; (-1)3.48; (-1)3.11; (-1)3.02; ","[ (-1)  Curr( 3.02) PrevDpt( 3.11) ]; "
"2020-06-17 00:43:46",1496,"2.99; 2.8; 2.6; 2.4; 2.21; 2; (-1)1.84; (-1)1.57; ","[ (-1)  Curr( 1.57) PrevDpt( 1.84) ]; "
"2020-06-17 00:45:10",1497,"(-1)1.13; (-1)1.02; ","[ (-1)  Curr( 1.02) PrevDpt( 1.13) ]; "
"2020-07-16 12:15:04",1498,"",""
"2020-07-16 12:16:05",1499,"(-1)30.19; (-1)30.01; ","[ (-1)  Curr( 30.01) PrevDpt( 30.19) ]; "
"2020-07-16 12:17:24",1500,"30.02; 29.67; 29.61; 29.25; 29.17; 28.9; (-1)28.7; (-1)28.48; ","[ (-1)  Curr( 28.48) PrevDpt( 28.7) ]; "
"2020-07-16 12:18:47",1501,"28.56; 28.39; 28.13; 27.78; 27.77; 27.45; (-1)27.3; (-1)27.04; ","[ (-1)  Curr( 27.04) PrevDpt( 27.3) ]; "
"2020-07-16 12:20:11",1502,"27.01; 26.82; 26.64; 26.4; 26.29; 26.06; (-1)25.86; (-1)25.67; (-1)25.48; ","[ (-1)  Curr( 25.48) PrevDpt( 25.67) ]; "
"2020-07-16 12:21:39",1503,"25.45; 25.1; 24.91; 24.9; 24.43; (-1)24.41; (-1)24.05; ","[ (-1)  Curr( 24.05) PrevDpt( 24.41) ]; "
"2020-07-16 12:23:02",1504,"24.02; 23.77; 23.61; 23.28; 23.27; 22.94; (-1)22.69; (-1)22.67; (-1)22.51; ","[ (-1)  Curr( 22.51) PrevDpt( 22.67) ]; "
"2020-07-16 12:24:29",1505,"22.48; 22.28; 22.08; 21.96; 21.63; (-1)21.51; (-1)21.13; (-1)20.99; ","[ (-1)  Curr( 20.99) PrevDpt( 21.13) ]; "
"2020-07-16 12:25:56",1506,"20.87; 20.74; 20.5; 20.41; 20.12; (-1)19.92; (-1)19.59; ","[ (-1)  Curr( 19.59) PrevDpt( 19.92) ]; "
"2020-07-16 12:27:19",1507,"19.54; 19.3; 19.11; 18.87; 18.7; 18.45; (-1)18.21; (-1)18; ","[ (-1)  Curr( 18) PrevDpt( 18.21) ]; "
"2020-07-16 12:28:42",1508,"18.06; 17.77; 17.54; 17.34; 17.2; 16.93; (-1)16.72; (-1)16.59; ","[ (-1)  Curr( 16.59) PrevDpt( 16.72) ]; "
"2020-07-16 12:30:05",1509,"16.58; 16.28; 16.06; 15.86; 15.66; 15.45; (-1)15.2; (-1)14.97; ","[ (-1)  Curr( 14.97) PrevDpt( 15.2) ]; "
"2020-07-16 12:31:28",1510,"14.98; 14.87; 14.42; 14.49; 14.13; (-1)13.86; (-1)13.69; (-1)13.39; (1)13.56; ","[ (1)  Curr( 13.56) PrevDpt( 13.39) ]; "
"2020-07-16 12:32:58",1511,"13.49; 13.3; 12.97; 12.94; 12.65; (-1)12.38; (-1)12.14; (-1)12.12; (-1)11.87; (1)12.03; ","[ (1)  Curr( 12.03) PrevDpt( 11.87) ]; "
"2020-07-16 12:33:42",1512,"",""
"2020-07-16 12:34:43",1513,"(-1)10.68; (-1)10.56; ","[ (-1)  Curr( 10.56) PrevDpt( 10.68) ]; "
"2020-07-16 12:36:02",1514,"10.48; 10.18; 10.02; 9.76; 9.6; (-1)9.4; (-1)9.189999; (-1)9; ","[ (-1)  Curr( 9) PrevDpt( 9.189999) ]; "
"2020-07-16 12:37:29",1515,"8.979999; 8.66; 8.57; 8.37; 8.05; (-1)7.99; (-1)7.5; ","[ (-1)  Curr( 7.5) PrevDpt( 7.99) ]; "
"2020-07-16 12:38:52",1516,"7.42; 7.29; 7.02; 6.8; 6.55; (-1)6.37; (-1)6.16; (-1)5.95; ","[ (-1)  Curr( 5.95) PrevDpt( 6.16) ]; "
"2020-07-16 12:40:19",1517,"5.91; 5.58; 5.46; 5.22; 4.94; (-1)4.85; (-1)4.49; ","[ (-1)  Curr( 4.49) PrevDpt( 4.85) ]; "
"2020-07-16 12:41:42",1518,"4.42; 4.18; 4.01; 3.79; 3.52; (-1)3.36; (-1)3.05; ","[ (-1)  Curr( 3.05) PrevDpt( 3.36) ]; "
"2020-07-16 12:43:05",1519,"2.97; 2.77; 2.47; 2.31; 2; (-1)1.84; (-1)1.57; ","[ (-1)  Curr( 1.57) PrevDpt( 1.84) ]; "
"2020-07-16 12:44:28",1520,"(-1)1.07; ","[ (-1)  Curr( 1.07) PrevDpt( 1.53) ]; "
"2020-07-17 00:26:53",1521,"",""
"2020-07-17 00:27:54",1522,"(-1)18.14; (-1)17.96; ","[ (-1)  Curr( 17.96) PrevDpt( 18.14) ]; "
"2020-07-17 00:29:12",1523,"17.95; 17.82; 17.53; 17.38; 17.1; (-1)16.95; (-1)16.6; ","[ (-1)  Curr( 16.6) PrevDpt( 16.95) ]; "
"2020-07-17 00:30:35",1524,"16.63; 16.36; 16.11; 15.95; 15.74; 15.46; (-1)15.4; (-1)15.07; ","[ (-1)  Curr( 15.07) PrevDpt( 15.4) ]; "
"2020-07-17 00:31:59",1525,"15.02; 14.67; 14.63; 14.32; 14.14; (-1)13.96; (-1)13.66; (-1)13.47; ","[ (-1)  Curr( 13.47) PrevDpt( 13.66) ]; "
"2020-07-17 00:33:26",1526,"13.37; 13.29; 12.98; 12.81; 12.69; 12.43; (-1)12.25; (-1)12.12; (-1)11.98; ","[ (-1)  Curr( 11.98) PrevDpt( 12.12) ]; "
