"TOA5","OwascoWinchInternet","CR1000","57852","CR1000.Std.26","CPU:Owasco.cr1","37634","DbgMoveSequence"
"TIMESTAMP","RECORD","DbgStr","DbgStr2"
"TS","RN","",""
"","","Smp","Smp"
"2014-08-05 12:05:53",16,"43.54; 43.3; 43.11; 42.92; 42.69; 42.49; (-1)42.32; (-1)42.06; ","[ (-1)  Curr( 42.06) PrevDpt( 42.32) ]; "
"2014-08-05 12:07:17",17,"42; 41.81; 41.58; 41.39; 41.2; 40.98; (-1)40.81; (-1)40.56; ","[ (-1)  Curr( 40.56) PrevDpt( 40.81) ]; "
"2014-08-05 12:08:41",18,"40.54; 40.32; 40.12; 39.9; 39.71; 39.48; (-1)39.33; (-1)39.06; ","[ (-1)  Curr( 39.06) PrevDpt( 39.33) ]; "
"2014-08-05 12:10:05",19,"39; 38.78; 38.6; 38.41; 38.2; 38; (-1)37.84; (-1)37.57; ","[ (-1)  Curr( 37.57) PrevDpt( 37.84) ]; "
"2014-08-05 12:11:29",20,"37.53; 37.33; 37.13; 36.91; 36.72; 36.5; (-1)36.34; (-1)36.05; ","[ (-1)  Curr( 36.05) PrevDpt( 36.34) ]; "
"2014-08-05 12:12:53",21,"36; 35.77; 35.57; 35.34; 35.15; (-1)34.96; (-1)34.59; ","[ (-1)  Curr( 34.59) PrevDpt( 34.96) ]; "
"2014-08-05 12:14:16",22,"34.54; 34.34; 34.12; 33.9; 33.71; 33.48; (-1)33.32; (-1)33.03; ","[ (-1)  Curr( 33.03) PrevDpt( 33.32) ]; "
"2014-08-05 12:15:40",23,"33; 32.78; 32.57; 32.37; 32.13; (-1)31.97; (-1)31.57; ","[ (-1)  Curr( 31.57) PrevDpt( 31.97) ]; "
"2014-08-05 12:17:03",24,"31.53; 31.3; 31.09; 30.87; 30.66; 30.47; (-1)30.28; (-1)30.04; ","[ (-1)  Curr( 30.04) PrevDpt( 30.28) ]; "
"2014-08-05 12:18:27",25,"29.99; 29.79; 29.55; 29.4; 29.16; 28.97; (-1)28.79; (-1)28.57; ","[ (-1)  Curr( 28.57) PrevDpt( 28.79) ]; "
"2014-08-05 12:19:51",26,"28.48; 28.29; 28.11; 27.87; 27.69; 27.46; (-1)27.32; (-1)27.03; ","[ (-1)  Curr( 27.03) PrevDpt( 27.32) ]; "
"2014-08-05 12:21:15",27,"27; 26.79; 26.59; 26.39; 26.16; 25.98; (-1)25.82; (-1)25.57; ","[ (-1)  Curr( 25.57) PrevDpt( 25.82) ]; "
"2014-08-05 12:22:39",28,"25.54; 25.35; 25.13; 24.93; 24.74; 24.5; (-1)24.36; (-1)24.06; ","[ (-1)  Curr( 24.06) PrevDpt( 24.36) ]; "
