"TOA5","OwascoMetInternet","CR1000","60228","CR1000.Std.26","CPU:Owasco_MET.cr1","22473","WindCorrected"
"TIMESTAMP","RECORD","W_DirCorr","W_SpdRaw_WVc"
"TS","RN","",""
"","","Smp","Smp"
"2022-10-11 08:35:31",80018,171.6,6.604
"2022-10-11 09:05:31",80019,170.9,7.23
"2022-10-11 09:35:31",80020,169.2,6.707
"2022-10-11 10:05:31",80021,164.6,6.259
"2022-10-11 10:35:31",80022,166.3,5.897
"2022-10-11 11:35:30",80023,163.8,3.283
"2022-10-11 12:05:30",80024,169.1,3.056
"2022-10-11 12:35:30",80025,37.34,1.575
"2022-10-11 13:35:30",80026,343.4,0
"2022-10-11 14:35:30",80027,206.4,0
"2022-10-16 11:05:30",80028,353.3,0
"2022-10-16 11:35:30",80029,353.3,0
"2022-10-16 12:05:30",80030,353.4,0
"2022-10-16 12:35:30",80031,353.5,0
"2022-10-16 13:05:30",80032,353.9,0
"2022-10-16 13:35:30",80033,353.9,0
"2022-10-16 14:05:30",80034,353.7,0
"2022-10-16 14:35:30",80035,353.8,0
"2022-10-16 15:05:30",80036,344.3,0
"2023-04-11 11:05:30",80037,341.8,0
"2023-04-11 12:05:30",80038,256.6,0.707
"2023-04-13 14:05:30",80039,343.8,0
"2023-05-02 13:05:30",80040,298,2.244
"2023-05-02 13:35:30",80041,44.22,1.478
"2023-05-02 14:05:30",80042,6.975,0.911
"2023-05-02 14:35:30",80043,289,3.029
"2023-05-02 15:05:30",80044,65.37,0.276
"2023-05-02 15:35:30",80045,266.7,2.212
"2023-05-02 16:05:30",80046,250.7,3.737
"2023-05-02 16:35:30",80047,225.5,2.861
"2023-05-02 17:05:30",80048,239.9,4.49
"2023-05-02 17:35:30",80049,256,2.067
"2023-05-02 18:05:30",80050,254.1,2.46
"2023-05-02 18:35:30",80051,275.3,6.022
"2023-05-02 19:05:30",80052,279,5.134
"2023-05-02 19:35:30",80053,293.2,3.292
"2023-05-02 20:05:30",80054,310.9,2.74
"2023-05-02 20:35:30",80055,308.9,2.145
"2023-05-02 21:05:30",80056,314.6,1.088
"2023-05-02 21:35:30",80057,321.8,0.28
"2023-05-02 22:05:30",80058,305.5,0.337
"2023-05-02 22:35:30",80059,276.3,0.008
"2023-05-02 23:05:30",80060,187.3,0.187
"2023-05-02 23:35:30",80061,122.7,0.729
"2023-05-03 00:05:30",80062,67.49,0.552
"2023-05-03 00:35:30",80063,306.6,2.246
"2023-05-03 01:05:30",80064,304.1,1.384
"2023-05-03 01:35:30",80065,294.7,1.884
"2023-05-03 02:05:30",80066,210.8,1.672
"2023-05-03 02:35:30",80067,132.2,0.762
"2023-05-03 03:05:30",80068,140.1,0.861
