"TOA5","OwascoMetInternet","CR1000","60228","CR1000.Std.26","CPU:Owasco_MET.cr1","333","TRB_Avg"
"TIMESTAMP","RECORD","AirTempC_Avg","RHumidity_Avg","P_mb_Avg","SolarRad_Avg","Precip_mm_Max","Precip_mm_TMx"
"TS","RN","","","","","",""
"","","Avg","Avg","Avg","Avg","Max","TMx"
"2021-04-06 11:35:30",62006,15.51,23.13,999.1484,72.97,0,"2021-04-06 11:30:30"
"2021-04-09 15:35:39",62007,20.17,45.83,995.746,18.47,0,"2021-04-09 15:30:39"
"2021-04-17 14:35:30",62008,7.595,69.69,984.2419,266.1,0,"2021-04-17 14:30:30"
"2021-04-17 15:05:30",62009,7.609,74.48,984.1926,153.8,0,"2021-04-17 15:00:30"
"2021-04-17 15:35:30",62010,7.704,71.51,984.153,287.9,0,"2021-04-17 15:30:30"
"2021-04-17 16:05:30",62011,7.668,74.48,984.068,136.4,0,"2021-04-17 16:00:30"
"2021-04-17 16:35:30",62012,7.779,72.32,984.2084,171.9,0,"2021-04-17 16:30:30"
"2021-04-17 17:05:30",62013,7.413,75.24,984.294,190.6,0,"2021-04-17 17:00:30"
"2021-04-17 17:35:30",62014,7.465,74.97,984.4326,98.3,0,"2021-04-17 17:30:30"
"2021-04-17 18:05:30",62015,7.118,78.17,984.4502,65.16,0,"2021-04-17 18:00:30"
"2021-04-17 18:35:30",62016,7.451,72.51,984.3749,39.24,0,"2021-04-17 18:30:30"
"2021-04-17 19:05:30",62017,7.378,73.63,984.3202,32.61,0,"2021-04-17 19:00:30"
"2021-04-17 19:35:30",62018,7.204,75.98,984.3229,7.536,0,"2021-04-17 19:30:30"
"2021-04-17 20:05:30",62019,6.947,79.22,984.5889,0.539,0,"2021-04-17 20:00:30"
"2021-04-17 20:35:30",62020,6.665,81.9,984.6705,0.002,0,"2021-04-17 20:30:30"
"2021-04-17 21:05:30",62021,6.886,78.97,984.8383,0,0,"2021-04-17 21:00:30"
"2021-04-17 21:35:30",62022,5.88,90.5,984.8837,0.001,0,"2021-04-17 21:30:30"
"2021-04-17 22:05:30",62023,6.424,84.2,984.8793,0,0,"2021-04-17 22:00:30"
"2021-04-17 22:35:30",62024,6.08,90.3,984.8165,0,0,"2021-04-17 22:30:30"
"2021-04-17 23:05:30",62025,5.596,97.5,984.6729,0.001,0,"2021-04-17 23:00:30"
"2021-04-17 23:35:30",62026,5.857,95.7,984.6446,0,0,"2021-04-17 23:30:30"
"2021-04-18 00:05:30",62027,6.193,90,984.6453,0,0,"2021-04-18 00:00:30"
"2021-04-18 00:35:30",62028,5.763,95.5,984.5135,0,0,"2021-04-18 00:30:30"
"2021-04-18 01:05:30",62029,5.992,92.3,984.5286,0,0,"2021-04-18 01:00:30"
"2021-04-18 01:35:30",62030,5.938,94.9,984.4236,0,0,"2021-04-18 01:30:30"
"2021-04-18 02:05:30",62031,5.839,96.2,984.1715,0,0,"2021-04-18 02:00:30"
"2021-04-18 02:35:30",62032,5.92,98.5,984.0176,0,0,"2021-04-18 02:30:30"
"2021-04-18 03:05:30",62033,5.776,99.7,983.9498,0,0,"2021-04-18 03:00:30"
"2021-04-18 03:35:30",62034,5.917,100,984.0894,0,0,"2021-04-18 03:30:30"
"2021-04-18 04:05:30",62035,6.226,99.7,984.1436,0,0,"2021-04-18 04:00:30"
"2021-04-18 04:35:30",62036,5.869,100,984.202,0,0,"2021-04-18 04:30:30"
"2021-04-18 05:05:30",62037,5.577,100,984.1463,0,0,"2021-04-18 05:00:30"
