"TOA5","OwascoWinchInternet","CR1000","57852","CR1000.Std.26","CPU:Owasco.cr1","37634","EventLog"
"TIMESTAMP","RECORD","EventMsg","EventDetails"
"TS","RN","",""
"","","Smp","Smp"
"2015-10-26 01:09:00",110467,"[10/26/2015 01:09:02.94]  WARNING: (Parking Sonde) - Water too shallow to park sonde at 46.5 m.","Positioning sonde at 45.5 m."
"2015-10-26 01:14:00",110468,"[10/26/2015 01:14:02.93]  WARNING: (Parking Sonde) - Water too shallow to park sonde at 46.5 m.","Positioning sonde at 45.5 m."
"2015-10-26 01:19:00",110469,"[10/26/2015 01:19:02.94]  WARNING: (Parking Sonde) - Water too shallow to park sonde at 46.5 m.","Positioning sonde at 45.5 m."
"2015-10-26 01:24:00",110470,"[10/26/2015 01:24:02.94]  WARNING: (Parking Sonde) - Water too shallow to park sonde at 46.5 m.","Positioning sonde at 45.5 m."
"2015-10-26 01:29:00",110471,"[10/26/2015 01:29:02.93]  WARNING: (Parking Sonde) - Water too shallow to park sonde at 46.5 m.","Positioning sonde at 45.5 m."
"2015-10-26 01:34:00",110472,"[10/26/2015 01:34:02.93]  WARNING: (Parking Sonde) - Water too shallow to park sonde at 46.5 m.","Positioning sonde at 45.5 m."
"2015-10-26 01:39:00",110473,"[10/26/2015 01:39:02.94]  WARNING: (Parking Sonde) - Water too shallow to park sonde at 46.5 m.","Positioning sonde at 45.5 m."
"2015-10-26 01:44:00",110474,"[10/26/2015 01:44:02.93]  WARNING: (Parking Sonde) - Water too shallow to park sonde at 46.5 m.","Positioning sonde at 45.5 m."
"2015-10-26 01:49:00",110475,"[10/26/2015 01:49:02.93]  WARNING: (Parking Sonde) - Water too shallow to park sonde at 46.5 m.","Positioning sonde at 45.5 m."
"2015-10-26 01:54:00",110476,"[10/26/2015 01:54:02.93]  WARNING: (Parking Sonde) - Water too shallow to park sonde at 46.5 m.","Positioning sonde at 45.5 m."
"2015-10-26 01:59:00",110477,"[10/26/2015 01:59:02.93]  WARNING: (Parking Sonde) - Water too shallow to park sonde at 46.5 m.","Positioning sonde at 45.5 m."
"2015-10-26 02:04:00",110478,"[10/26/2015 02:04:02.93]  WARNING: (Parking Sonde) - Water too shallow to park sonde at 46.5 m.","Positioning sonde at 45.5 m."
"2015-10-26 02:09:00",110479,"[10/26/2015 02:09:02.93]  WARNING: (Parking Sonde) - Water too shallow to park sonde at 46.5 m.","Positioning sonde at 45.5 m."
"2015-10-26 02:14:00",110480,"[10/26/2015 02:14:02.93]  WARNING: (Parking Sonde) - Water too shallow to park sonde at 46.5 m.","Positioning sonde at 45.5 m."
