"TOA5","OwascoWinchInternet","CR1000","57852","CR1000.Std.26","CPU:Owasco.cr1","37634","DbgMoveSequence"
"TIMESTAMP","RECORD","DbgStr","DbgStr2"
"TS","RN","",""
"","","Smp","Smp"
"2015-10-25 00:47:15",1019,"3.01; 2.74; 2.59; 2.35; 2.25; 1.91; (-1)1.76; (-1)1.72; (-1)1.42; ","[ (-1)  Curr( 1.42) PrevDpt( 1.72) ]; "
"2015-10-25 00:48:43",1020,"(-1)1.12; (-1)1.08; ","[ (-1)  Curr( 1.08) PrevDpt( 1.12) ]; "
"2016-05-11 12:00:00",0,"44.05; 44.33; 44.5; 44.72; 44.91; 45.1; 45.32; 45.5; 45.7; 45.91; (1)46.08; (1)46.4; ","[ (1)  Curr( 46.4) PrevDpt( 46.08) ]; "
"2016-05-11 12:00:00",1,"46.35; 46.18; 46.02; 45.82; 45.66; 45.46; (-1)45.33; (-1)45.12; (-1)45.02; ","[ (-1)  Curr( 45.02) PrevDpt( 45.12) ]; "
"2016-05-11 12:00:00",2,"44.98; 44.81; 44.64; 44.45; 44.27; 44.08; (-1)43.92; (-1)43.63; (-1)43.52; ","[ (-1)  Curr( 43.52) PrevDpt( 43.63) ]; "
"2016-05-11 12:00:00",3,"43.48; 43.3; 43.13; 42.92; 42.75; 42.56; (-1)42.41; (-1)42.1; ","[ (-1)  Curr( 42.1) PrevDpt( 42.41) ]; "
"2016-05-11 12:00:00",4,"42.03; 41.84; 41.62; 41.45; 41.27; 41.07; (-1)40.92; (-1)40.61; (-1)40.55; ","[ (-1)  Curr( 40.55) PrevDpt( 40.61) ]; "
"2016-05-11 12:00:00",5,"40.54; 40.35; 40.2; 40.02; 39.84; 39.67; 39.5; (-1)39.34; (-1)39.11; (-1)39.02; ","[ (-1)  Curr( 39.02) PrevDpt( 39.11) ]; "
"2016-05-11 12:00:00",6,"38.97; 38.79; 38.61; 38.4; 38.22; 38.01; (-1)37.87; (-1)37.59; ","[ (-1)  Curr( 37.59) PrevDpt( 37.87) ]; "
"2016-05-11 12:00:00",7,"37.55; 37.35; 37.16; 36.99; 36.78; 36.57; (-1)36.44; (-1)36.1; ","[ (-1)  Curr( 36.1) PrevDpt( 36.44) ]; "
"2016-05-11 12:00:00",8,"36.07; 35.85; 35.67; 35.49; 35.27; 35.06; (-1)34.93; (-1)34.6; ","[ (-1)  Curr( 34.6) PrevDpt( 34.93) ]; "
"2016-05-11 12:00:00",9,"34.55; 34.34; 34.16; 33.97; 33.77; 33.59; (-1)33.43; (-1)33.1; ","[ (-1)  Curr( 33.1) PrevDpt( 33.43) ]; "
