"TOA5","OwascoMetInternet","CR1000","60228","CR1000.Std.26","CPU:Owasco_MET.cr1","22473","WindCorrected"
"TIMESTAMP","RECORD","W_DirCorr","W_SpdRaw_WVc"
"TS","RN","",""
"","","Smp","Smp"
"2015-10-26 09:35:30",15297,52.86,3.443
"2015-10-26 10:05:30",15298,41.71,3.778
"2015-10-26 10:35:30",15299,31.53,2.916
"2015-10-26 11:05:30",15300,19.12,3.384
"2015-10-26 11:35:30",15301,13.74,2.828
"2015-10-26 12:05:30",15302,4.688,2.275
"2015-10-26 12:35:30",15303,3.918,1.547
"2015-10-26 13:05:30",15304,342.4,3.071
"2015-10-26 13:35:30",15305,319.6,3.203
"2015-10-26 14:05:30",15306,340.8,3.485
"2016-04-23 14:35:30",15307,192.3,1.758
"2016-04-23 15:05:30",15308,195,1.257
"2016-04-25 17:05:30",15309,32.78,3.684
"2016-04-25 17:35:30",15310,38.58,4.687
"2016-04-25 18:05:30",15311,37.74,4.102
"2016-04-25 18:35:30",15312,32.94,3.839
"2016-04-25 19:05:30",15313,41.97,2.664
"2016-04-25 19:35:30",15314,41.26,2.447
"2016-04-25 20:05:30",15315,34.32,2.615
"2016-04-25 20:35:30",15316,82.6,4.549
"2016-04-25 21:05:30",15317,186.8,1.435
"2016-04-25 21:35:30",15318,94.7,1.939
"2016-04-25 22:05:30",15319,25.97,1.415
"2016-04-25 22:35:30",15320,28.81,0.378
"2016-04-25 23:05:30",15321,137.3,0.331
"2016-04-25 23:35:30",15322,53,2.584
"2016-04-26 00:05:30",15323,13.52,2.318
"2016-04-26 00:35:30",15324,79.71,1.896
"2016-04-26 01:05:30",15325,55.96,1.5
"2016-04-26 01:35:30",15326,166.1,1.637
"2016-04-26 02:05:30",15327,170,1.046
"2016-04-26 02:35:30",15328,13.92,0.902
"2016-04-26 03:05:30",15329,355.6,1.654
"2016-04-26 03:35:30",15330,356.9,0.117
"2016-04-26 04:05:30",15331,341,0.32
"2016-04-26 04:35:30",15332,283.2,1.407
"2016-04-26 05:05:30",15333,144.7,1.569
"2016-04-26 05:35:30",15334,308.3,3.727
"2016-04-26 06:05:30",15335,340.5,2.182
"2016-04-26 06:35:30",15336,0.631,1.479
"2016-04-26 07:05:30",15337,315.7,0.778
"2016-04-26 07:35:30",15338,117.4,0.305
"2016-04-26 08:05:30",15339,319.8,3.073
"2016-04-26 08:35:30",15340,312.3,2.699
"2016-04-26 09:05:30",15341,310.2,3.829
"2016-04-26 09:35:30",15342,301.2,3.845
"2016-04-26 10:05:30",15343,359.1,5.173
"2016-04-26 10:35:30",15344,346.4,4.2
"2016-04-26 11:05:30",15345,346.9,3.557
"2016-04-26 11:35:30",15346,338.9,5.724
