"TOA5","OwascoMetInternet","CR1000","60228","CR1000.Std.26","CPU:Owasco_MET.cr1","22473","TRB_Avg"
"TIMESTAMP","RECORD","AirTempC_Avg","RHumidity_Avg","P_mb_Avg","SolarRad_Avg","Precip_mm_Max","Precip_mm_TMx"
"TS","RN","","","","","",""
"","","Avg","Avg","Avg","Avg","Max","TMx"
"2015-10-26 09:35:30",15297,4.225,67.97,1007.027,277.8,0,"2015-10-26 09:30:30"
"2015-10-26 10:05:30",15298,4.653,64.76,1007.11,349.9,0,"2015-10-26 10:00:30"
"2015-10-26 10:35:30",15299,5.102,64.55,1007.263,413,0,"2015-10-26 10:30:30"
"2015-10-26 11:05:30",15300,5.611,60.19,1007.325,470.3,0,"2015-10-26 11:00:30"
"2015-10-26 11:35:30",15301,5.916,55.17,1006.989,510.9,0,"2015-10-26 11:30:30"
"2015-10-26 12:05:30",15302,6.591,53.08,1007.069,538.2,0,"2015-10-26 12:00:30"
"2015-10-26 12:35:30",15303,6.799,48.58,1006.956,556.1,0,"2015-10-26 12:30:30"
"2015-10-26 13:05:30",15304,7.111,47.69,1006.695,560.2,0,"2015-10-26 13:00:30"
"2015-10-26 13:35:30",15305,7.35,48.95,1006.446,544.7,0,"2015-10-26 13:30:30"
"2015-10-26 14:05:30",15306,7.743,46.62,1006.132,525.9,0,"2015-10-26 14:00:30"
"2016-04-23 14:35:30",15307,11.88,25.55,1000.151,92.9,0,"2016-04-23 14:30:30"
"2016-04-23 15:05:30",15308,13.2,22.68,999.9435,98.2,0,"2016-04-23 15:00:30"
"2016-04-25 17:05:30",15309,10.52,55.2,988.2669,276,0,"2016-04-25 17:00:30"
"2016-04-25 17:35:30",15310,10.55,54.95,987.7162,189.3,0,"2016-04-25 17:30:30"
"2016-04-25 18:05:30",15311,9.99,60.55,987.6307,145.3,0,"2016-04-25 18:00:30"
"2016-04-25 18:35:30",15312,9.53,62.07,987.5884,83,0,"2016-04-25 18:30:30"
"2016-04-25 19:05:30",15313,9.56,63,987.3884,101.8,0,"2016-04-25 19:00:30"
"2016-04-25 19:35:30",15314,9.02,66.1,987.2741,20.83,0,"2016-04-25 19:30:30"
"2016-04-25 20:05:30",15315,8.73,68.14,987.1533,1.087,0,"2016-04-25 20:00:30"
"2016-04-25 20:35:30",15316,8.69,66.62,986.3892,0,0,"2016-04-25 20:30:30"
"2016-04-25 21:05:30",15317,8.87,66.64,986.1702,0,0,"2016-04-25 21:00:30"
"2016-04-25 21:35:30",15318,8.74,68.03,985.7593,0,0,"2016-04-25 21:30:30"
"2016-04-25 22:05:30",15319,8.72,68.57,985.763,0,0,"2016-04-25 22:00:30"
"2016-04-25 22:35:30",15320,8.73,69.11,985.8361,0,0,"2016-04-25 22:30:30"
"2016-04-25 23:05:30",15321,8.47,72.26,985.5175,0,0,"2016-04-25 23:00:30"
"2016-04-25 23:35:30",15322,7.996,78.17,985.2267,0,0,"2016-04-25 23:30:30"
"2016-04-26 00:05:30",15323,7.601,81.1,985.251,0,0,"2016-04-26 00:00:30"
"2016-04-26 00:35:30",15324,7.587,80.5,984.9594,0,0,"2016-04-26 00:30:30"
"2016-04-26 01:05:30",15325,7.54,80.7,984.6856,0,0,"2016-04-26 01:00:30"
"2016-04-26 01:35:30",15326,7.131,86,983.1475,0,0,"2016-04-26 01:30:30"
"2016-04-26 02:05:30",15327,7.627,84.1,982.4755,0,0,"2016-04-26 02:00:30"
"2016-04-26 02:35:30",15328,7.258,87.6,982.3429,0,0,"2016-04-26 02:30:30"
