"TOA5","OwascoMetInternet","CR1000","60228","CR1000.Std.26","CPU:Owasco_MET.cr1","22473","TRB_Avg"
"TIMESTAMP","RECORD","AirTempC_Avg","RHumidity_Avg","P_mb_Avg","SolarRad_Avg","Precip_mm_Max","Precip_mm_TMx"
"TS","RN","","","","","",""
"","","Avg","Avg","Avg","Avg","Max","TMx"
"2018-11-08 09:05:30",43453,5.072,66.68,997.8026,32.46,0,"2018-11-08 09:00:30"
"2018-11-08 09:35:30",43454,5.266,64.04,998.3313,47.29,0,"2018-11-08 09:30:30"
"2018-11-08 10:05:30",43455,5.34,62.83,998.6385,68.47,0,"2018-11-08 10:00:30"
"2018-11-08 10:35:30",43456,5.662,61.64,998.5859,140.3,0,"2018-11-08 10:30:30"
"2018-11-08 11:05:30",43457,5.692,59.97,998.7592,142.3,0,"2018-11-08 11:00:30"
"2018-11-08 11:35:30",43458,5.947,60.85,999.0079,158.6,0,"2018-11-08 11:30:30"
"2019-04-13 14:05:30",43459,-10.98,51,997.1124,0.001,0,"2019-04-13 14:00:30"
"2019-04-17 16:35:30",43460,14.05,29.82,992.515,587.2,0,"2019-04-17 16:30:30"
"2019-04-17 17:05:30",43461,14.01,30.64,992.2178,484.9,0,"2019-04-17 17:00:30"
"2019-04-17 17:35:30",43462,15.36,26.59,992.0925,416.8,0,"2019-04-17 17:30:30"
"2019-04-17 18:05:30",43463,12.83,37.87,991.7423,307.9,0,"2019-04-17 18:00:30"
"2019-04-17 18:35:30",43464,13.76,33.24,991.6248,197,0,"2019-04-17 18:30:30"
"2019-04-17 19:05:30",43465,11.32,40.74,991.6524,101.6,0,"2019-04-17 19:00:30"
"2019-04-17 19:35:30",43466,13.77,33.46,991.6189,31.41,0,"2019-04-17 19:30:30"
"2019-04-17 20:05:30",43467,13.09,34.14,991.4852,0.943,0,"2019-04-17 20:00:30"
"2019-04-17 20:35:30",43468,11.72,37.47,991.5137,0,0,"2019-04-17 20:30:30"
"2019-04-17 21:05:30",43469,11.92,38.04,991.6114,0,0,"2019-04-17 21:00:30"
"2019-04-17 21:35:30",43470,7.784,63.86,991.5835,0,0,"2019-04-17 21:30:30"
"2019-04-17 22:05:30",43471,8.31,64.08,991.4973,0,0,"2019-04-17 22:00:30"
"2019-04-17 22:35:30",43472,6.799,73.51,991.2002,0,0,"2019-04-17 22:30:30"
"2019-04-17 23:05:30",43473,7.956,67.81,990.7996,0,0,"2019-04-17 23:00:30"
"2019-04-17 23:35:30",43474,7.591,74.2,990.249,0,0,"2019-04-17 23:30:30"
"2019-04-18 00:05:30",43475,8.09,70.14,989.8424,0,0,"2019-04-18 00:00:30"
"2019-04-18 00:35:30",43476,8.93,72.03,989.9048,0,0,"2019-04-18 00:30:30"
"2019-04-18 01:05:30",43477,10.07,67.07,989.3101,0,0,"2019-04-18 01:00:30"
"2019-04-18 01:35:30",43478,9.97,66.42,989.1683,0,0,"2019-04-18 01:30:30"
"2019-04-18 02:05:30",43479,9.99,64.42,988.6721,0,0,"2019-04-18 02:00:30"
"2019-04-18 02:35:30",43480,10.09,62.53,988.4871,0,0,"2019-04-18 02:30:30"
"2019-04-18 03:05:30",43481,10.4,59.44,988.0403,0,0,"2019-04-18 03:00:30"
"2019-04-18 03:35:30",43482,9.78,62.8,987.5831,0,0,"2019-04-18 03:30:30"
"2019-04-18 04:05:30",43483,9.96,66,987.5253,0,0,"2019-04-18 04:00:30"
"2019-04-18 04:35:30",43484,10.22,66.77,987.2786,0,0,"2019-04-18 04:30:30"
