"TOA5","OwascoMetInternet","CR1000","60228","CR1000.Std.26","CPU:Owasco_MET.cr1","22473","WindMax"
"TIMESTAMP","RECORD","W_SpdRaw_Max","W_SpdRaw_TMx"
"TS","RN","",""
"","","Max","TMx"
"2018-11-08 09:05:30",43453,2.881,"2018-11-08 09:05:30"
"2018-11-08 09:35:30",43454,4.038,"2018-11-08 09:30:35"
"2018-11-08 10:05:30",43455,5.606,"2018-11-08 10:00:15"
"2018-11-08 10:35:30",43456,5.9,"2018-11-08 10:35:15"
"2018-11-08 11:05:30",43457,6.174,"2018-11-08 11:04:35"
"2018-11-08 11:35:30",43458,6.958,"2018-11-08 11:31:50"
"2019-04-13 14:05:30",43459,0,"2019-04-13 14:00:00"
"2019-04-17 16:35:30",43460,2.764,"2019-04-17 16:33:35"
"2019-04-17 17:05:30",43461,2.901,"2019-04-17 17:02:50"
"2019-04-17 17:35:30",43462,2.234,"2019-04-17 17:30:00"
"2019-04-17 18:05:30",43463,1.686,"2019-04-17 18:04:40"
"2019-04-17 18:35:30",43464,1.548,"2019-04-17 18:30:00"
"2019-04-17 19:05:30",43465,2.019,"2019-04-17 19:03:45"
"2019-04-17 19:35:30",43466,3.842,"2019-04-17 19:33:25"
"2019-04-17 20:05:30",43467,4.488,"2019-04-17 20:00:45"
"2019-04-17 20:35:30",43468,2.724,"2019-04-17 20:30:00"
"2019-04-17 21:05:30",43469,2.215,"2019-04-17 21:00:10"
"2019-04-17 21:35:30",43470,1.352,"2019-04-17 21:30:15"
"2019-04-17 22:05:30",43471,1.94,"2019-04-17 22:00:10"
"2019-04-17 22:35:30",43472,1.999,"2019-04-17 22:31:55"
"2019-04-17 23:05:30",43473,2.744,"2019-04-17 23:00:30"
"2019-04-17 23:35:30",43474,3.508,"2019-04-17 23:33:55"
"2019-04-18 00:05:30",43475,4.116,"2019-04-18 00:04:45"
"2019-04-18 00:35:30",43476,5.978,"2019-04-18 00:32:10"
"2019-04-18 01:05:30",43477,8.68,"2019-04-18 01:01:10"
"2019-04-18 01:35:30",43478,9.96,"2019-04-18 01:33:55"
"2019-04-18 02:05:30",43479,13.52,"2019-04-18 02:05:15"
"2019-04-18 02:35:30",43480,13.7,"2019-04-18 02:33:35"
"2019-04-18 03:05:30",43481,14.46,"2019-04-18 03:03:50"
"2019-04-18 03:35:30",43482,13.76,"2019-04-18 03:35:30"
"2019-04-18 04:05:30",43483,14.15,"2019-04-18 04:03:35"
"2019-04-18 04:35:30",43484,14.25,"2019-04-18 04:33:15"
"2019-04-18 05:05:30",43485,13.94,"2019-04-18 05:01:00"
"2019-04-18 05:35:30",43486,11.49,"2019-04-18 05:30:00"
"2019-04-18 06:05:30",43487,13.62,"2019-04-18 06:04:50"
"2019-04-18 06:35:30",43488,15.27,"2019-04-18 06:30:25"
"2019-04-18 07:05:30",43489,15.6,"2019-04-18 07:03:10"
"2019-04-18 07:35:30",43490,14.21,"2019-04-18 07:33:30"
"2019-04-18 08:05:30",43491,14.86,"2019-04-18 08:03:35"
"2019-04-18 08:35:30",43492,15.13,"2019-04-18 08:34:15"
"2019-04-18 09:05:30",43493,14.92,"2019-04-18 09:05:20"
"2019-04-18 09:35:30",43494,18.13,"2019-04-18 09:33:30"
"2019-04-18 10:05:30",43495,16.27,"2019-04-18 10:00:40"
"2019-04-18 10:35:30",43496,15.95,"2019-04-18 10:32:10"
"2019-04-18 11:05:30",43497,15.9,"2019-04-18 11:02:05"
"2019-04-18 11:35:30",43498,13.45,"2019-04-18 11:31:40"
"2019-04-18 12:05:30",43499,14.13,"2019-04-18 12:04:20"
"2019-04-18 12:35:30",43500,16.19,"2019-04-18 12:34:50"
"2019-04-18 13:05:30",43501,14.78,"2019-04-18 13:02:00"
"2019-04-18 13:35:30",43502,14.39,"2019-04-18 13:30:30"
"2019-04-18 14:05:30",43503,12.03,"2019-04-18 14:00:15"
"2019-04-18 14:35:30",43504,13.35,"2019-04-18 14:33:55"
"2019-04-18 15:05:30",43505,12.84,"2019-04-18 15:03:40"
"2019-04-18 15:35:30",43506,13.01,"2019-04-18 15:35:05"
"2019-04-18 16:05:30",43507,11.54,"2019-04-18 16:00:00"
"2019-04-18 16:35:30",43508,7.997,"2019-04-18 16:34:25"
"2019-04-18 17:05:30",43509,8.68,"2019-04-18 17:04:50"
"2019-04-18 17:35:30",43510,9.64,"2019-04-18 17:30:50"
"2019-04-18 18:05:30",43511,8.78,"2019-04-18 18:02:50"
"2019-04-18 18:35:30",43512,8.08,"2019-04-18 18:33:15"
"2019-04-18 19:05:30",43513,8.74,"2019-04-18 19:01:30"
"2019-04-18 19:35:30",43514,7.722,"2019-04-18 19:35:05"
"2019-04-18 20:05:30",43515,8.39,"2019-04-18 20:05:30"
"2019-04-18 20:35:30",43516,8.39,"2019-04-18 20:30:00"
"2019-04-18 21:05:30",43517,7.35,"2019-04-18 21:01:05"
"2019-04-18 21:35:30",43518,10.47,"2019-04-18 21:30:20"
"2019-04-18 22:05:30",43519,12.49,"2019-04-18 22:03:20"
"2019-04-18 22:35:30",43520,9.82,"2019-04-18 22:31:00"
"2019-04-18 23:05:30",43521,9.55,"2019-04-18 23:02:35"
"2019-04-18 23:35:30",43522,8.51,"2019-04-18 23:33:55"
"2019-04-19 00:05:30",43523,10.62,"2019-04-19 00:00:35"
"2019-04-19 00:35:30",43524,9.15,"2019-04-19 00:30:00"
"2019-04-19 01:05:30",43525,6.468,"2019-04-19 01:05:30"
"2019-04-19 01:35:30",43526,8.49,"2019-04-19 01:35:25"
"2019-04-19 02:05:30",43527,8.17,"2019-04-19 02:00:00"
"2019-04-19 02:35:30",43528,8.25,"2019-04-19 02:33:00"
"2019-04-19 03:05:30",43529,9.02,"2019-04-19 03:00:20"
"2019-04-19 03:35:30",43530,7.095,"2019-04-19 03:30:20"
"2019-04-19 04:05:30",43531,6.135,"2019-04-19 04:00:00"
"2019-04-19 04:35:30",43532,5.998,"2019-04-19 04:30:50"
"2019-04-19 05:05:30",43533,7.409,"2019-04-19 05:01:45"
"2019-04-19 05:35:30",43534,8.84,"2019-04-19 05:35:05"
"2019-04-19 06:05:30",43535,8.02,"2019-04-19 06:00:15"
"2019-04-19 06:35:30",43536,8.35,"2019-04-19 06:32:35"
"2019-04-19 07:05:30",43537,7.997,"2019-04-19 07:00:50"
"2019-04-19 07:35:30",43538,9.68,"2019-04-19 07:33:20"
"2019-04-19 08:05:30",43539,8.86,"2019-04-19 08:01:55"
"2019-04-19 08:35:30",43540,11.41,"2019-04-19 08:32:05"
"2019-04-19 09:05:30",43541,8.64,"2019-04-19 09:02:05"
"2019-04-19 09:35:30",43542,9,"2019-04-19 09:35:15"
"2019-04-19 10:05:30",43543,9.39,"2019-04-19 10:04:45"
"2019-04-19 10:35:30",43544,10.66,"2019-04-19 10:33:35"
"2019-04-19 11:05:30",43545,9.62,"2019-04-19 11:04:25"
"2019-04-19 11:35:30",43546,8.08,"2019-04-19 11:31:40"
"2019-04-19 12:05:30",43547,7.605,"2019-04-19 12:01:50"
"2019-04-19 12:35:30",43548,9.07,"2019-04-19 12:34:30"
"2019-04-19 13:05:30",43549,9.45,"2019-04-19 13:01:50"
"2019-04-19 13:35:30",43550,9.21,"2019-04-19 13:30:10"
"2019-04-19 14:05:30",43551,7.84,"2019-04-19 14:02:55"
"2019-04-19 14:35:30",43552,8.29,"2019-04-19 14:33:30"
"2019-04-19 15:05:30",43553,11.58,"2019-04-19 15:01:30"
"2019-04-19 15:35:30",43554,7.879,"2019-04-19 15:30:55"
"2019-04-19 16:05:30",43555,11.25,"2019-04-19 16:02:45"
"2019-04-19 16:35:30",43556,8.31,"2019-04-19 16:30:30"
"2019-04-19 17:05:30",43557,7.918,"2019-04-19 17:00:00"
"2019-04-19 17:35:30",43558,5.998,"2019-04-19 17:30:50"
"2019-04-19 18:05:30",43559,4.822,"2019-04-19 18:00:00"
"2019-04-19 18:35:30",43560,4.077,"2019-04-19 18:30:00"
"2019-04-19 19:05:30",43561,3.136,"2019-04-19 19:00:00"
"2019-04-19 19:35:30",43562,1.999,"2019-04-19 19:35:05"
"2019-04-19 20:05:30",43563,5.841,"2019-04-19 20:01:35"
"2019-04-19 20:35:30",43564,3.9,"2019-04-19 20:35:30"
"2019-04-19 21:05:30",43565,4.449,"2019-04-19 21:04:05"
"2019-04-19 21:35:30",43566,5.155,"2019-04-19 21:34:15"
"2019-04-19 22:05:30",43567,3.861,"2019-04-19 22:00:00"
"2019-04-19 22:35:30",43568,3.293,"2019-04-19 22:30:20"
"2019-04-19 23:05:30",43569,4.528,"2019-04-19 23:01:15"
"2019-04-19 23:35:30",43570,7.644,"2019-04-19 23:34:50"
"2019-04-20 00:05:30",43571,4.998,"2019-04-20 00:00:00"
"2019-04-20 00:35:30",43572,1.49,"2019-04-20 00:30:00"
"2019-04-20 01:05:30",43573,2.313,"2019-04-20 01:01:30"
"2019-04-20 01:35:30",43574,2.43,"2019-04-20 01:35:30"
"2019-04-20 02:05:30",43575,2.43,"2019-04-20 02:00:00"
"2019-04-20 02:35:30",43576,2.587,"2019-04-20 02:33:40"
"2019-04-20 03:05:30",43577,1.803,"2019-04-20 03:01:35"
"2019-04-20 03:35:30",43578,2.293,"2019-04-20 03:35:30"
"2019-04-20 04:05:30",43579,2.587,"2019-04-20 04:00:35"
"2019-04-20 04:35:30",43580,3.665,"2019-04-20 04:34:25"
"2019-04-20 05:05:30",43581,2.705,"2019-04-20 05:05:30"
"2019-04-20 05:35:30",43582,2.724,"2019-04-20 05:33:35"
"2019-04-20 06:05:30",43583,3.038,"2019-04-20 06:01:15"
"2019-04-20 06:35:30",43584,1.803,"2019-04-20 06:32:50"
"2019-04-20 07:05:30",43585,1.372,"2019-04-20 07:00:00"
"2019-04-20 07:35:30",43586,0.843,"2019-04-20 07:31:20"
"2019-04-20 08:05:30",43587,0.49,"2019-04-20 08:05:30"
"2019-04-20 08:35:30",43588,1.372,"2019-04-20 08:35:05"
"2019-04-20 09:05:30",43589,1.372,"2019-04-20 09:00:00"
"2019-04-20 09:35:30",43590,1.294,"2019-04-20 09:35:10"
"2019-04-20 10:05:30",43591,1.94,"2019-04-20 10:05:30"
"2019-04-20 10:35:30",43592,2.293,"2019-04-20 10:32:30"
"2019-04-20 11:05:30",43593,2.078,"2019-04-20 11:00:00"
"2019-04-20 11:35:30",43594,2.352,"2019-04-20 11:33:30"
"2019-04-20 12:05:30",43595,2.489,"2019-04-20 12:05:20"
"2019-04-20 12:35:30",43596,2.45,"2019-04-20 12:30:00"
"2019-04-20 13:05:30",43597,4.449,"2019-04-20 13:00:50"
"2019-04-20 13:35:30",43598,3.704,"2019-04-20 13:30:00"
"2019-04-20 14:05:30",43599,2.568,"2019-04-20 14:00:00"
"2019-04-20 14:35:30",43600,2.117,"2019-04-20 14:35:20"
"2019-04-20 15:05:30",43601,3.195,"2019-04-20 15:01:55"
"2019-04-20 15:35:30",43602,3.508,"2019-04-20 15:31:05"
"2019-04-20 16:05:30",43603,4.253,"2019-04-20 16:00:10"
"2019-04-20 16:35:30",43604,3.606,"2019-04-20 16:30:00"
"2019-04-20 17:05:30",43605,3.156,"2019-04-20 17:00:20"
"2019-04-20 17:35:30",43606,4.508,"2019-04-20 17:32:00"
"2019-04-20 18:05:30",43607,4.43,"2019-04-20 18:00:00"
"2019-04-20 18:35:30",43608,1.411,"2019-04-20 18:30:00"
"2019-04-20 19:05:30",43609,1.803,"2019-04-20 19:05:30"
"2019-04-20 19:35:30",43610,4.841,"2019-04-20 19:32:45"
"2019-04-20 20:05:30",43611,7.154,"2019-04-20 20:02:40"
"2019-04-20 20:35:30",43612,5.762,"2019-04-20 20:30:00"
"2019-04-20 21:05:30",43613,5.547,"2019-04-20 21:04:20"
"2019-04-20 21:35:30",43614,3.94,"2019-04-20 21:30:15"
"2019-04-20 22:05:30",43615,3.156,"2019-04-20 22:00:00"
"2019-04-20 22:35:30",43616,3.783,"2019-04-20 22:30:35"
"2019-04-20 23:05:30",43617,2.979,"2019-04-20 23:04:30"
"2019-04-20 23:35:30",43618,2.607,"2019-04-20 23:30:00"
"2019-04-21 00:05:30",43619,0.804,"2019-04-21 00:04:20"
