"TOA5","OwascoWinchInternet","CR1000","57852","CR1000.Std.26","CPU:Owasco.cr1","37634","EventLog"
"TIMESTAMP","RECORD","EventMsg","EventDetails"
"TS","RN","",""
"","","Smp","Smp"
"2018-11-08 00:00:00",200978,"[11/08/2018 00:00:05.79]  Water available (46.5); Start Depth (46.5); End Depth (1)."," StartX [46.5]; EndX [1] BottomType[0]; bIsBottomRef[0]; ProfileLeg[1]"
"2018-11-08 00:47:15",200979,"[11/08/2018 00:52:29.73] *** End of profile [372] ***",""
"2019-01-20 09:21:42.52",200980,"***** Datalogger Reset *****","Program Signature: 53026; Profiler version: 26.4; debug: 0; Modbus: 0; [33814]."
"2019-01-20 09:23:34.86",200981,"Modem ON - Reseting at 1432 / 1440","modemCurrMin(563); modemResetMin(1432)"
"2019-01-20 09:23:35.11",200982,"[01/20/2019 09:23:35.11]  WARNING: Unable to verify sonde's time.","Time parameter is not on or not yet known."
"2019-01-20 09:23:35.11",200983,"[01/20/2019 09:23:35.11]  WARNING: Unable to verify sonde's time.","Time parameter is not on or not yet known."
"2019-04-13 13:35:47.1",200984,"(Setup Mode)(F8) - Manual Sonde Parameter reading."," 1 22 7 223 194 211 212 216 28 230   #"
"2019-04-13 13:55:00",200985,"[04/13/2019 13:56:08.24]  ERROR: (SondeReading) - Invalid Depth reading (-0.3 m); Cable(100 m).  (Hourly Sonde Data setup Mode)"," 24.29 -0.30 59.07 2.80 0.01 99.93 8.37 -0.19 6.18 11.03   # "
"2019-04-13 14:02:40.98",200986,"***** Datalogger Reset *****","Program Signature: 53026; Profiler version: 26.4; debug: 0; Modbus: 0; [50673]."
"2019-04-13 14:04:33.32",200987,"Modem ON - Reseting at 1432 / 1440","modemCurrMin(844); modemResetMin(1432)"
"2019-04-13 14:04:33.57",200988,"[04/13/2019 14:04:33.57]  WARNING: Unable to verify sonde's time.","Time parameter is not on or not yet known."
"2019-04-13 14:04:33.58",200989,"[04/13/2019 14:04:33.57]  WARNING: Unable to verify sonde's time.","Time parameter is not on or not yet known."
"2019-04-13 14:08:12.1",200990,"(Setup Mode)(F8) - Manual Sonde Parameter reading."," 1 22 7 223 194 211 212 216 28 230   #"
"2019-04-13 14:09:00",200991,"[04/13/2019 14:09:07.13]  ERROR: (Continuous Move) - Maximum bad reading limit(2) reached.","Fltreset  OK  # data  3.68 5.01 314.46 0.25 0.47 107.03 14.14 1.43 6.18 11.21   # "
"2019-04-13 14:09:00",200992,"[04/13/2019 14:09:07.58] ERROR: Parking sonde [86.5] - Unable to Move to park depth.","Fltreset  OK  # data  3.68 5.01 314.46 0.25 0.47 107.03 14.14 1.43 6.18 11.21   #  - CurrDepth(5.01); MoveTo(44); DF_Depth (50); MaxDepth (46.5);"
