"TOA5","OwascoMetInternet","CR1000","60228","CR1000.Std.26","CPU:Owasco_MET.cr1","22473","WindCorrected"
"TIMESTAMP","RECORD","W_DirCorr","W_SpdRaw_WVc"
"TS","RN","",""
"","","Smp","Smp"
"2018-11-08 09:05:30",43453,250.3,1.713
"2018-11-08 09:35:30",43454,258.1,3.066
"2018-11-08 10:05:30",43455,257.3,4.047
"2018-11-08 10:35:30",43456,266.6,4.084
"2018-11-08 11:05:30",43457,254.5,4.305
"2018-11-08 11:35:30",43458,276.4,4.942
"2019-04-13 14:05:30",43459,110.5,0
"2019-04-17 16:35:30",43460,22.67,2.432
"2019-04-17 17:05:30",43461,17.07,2.442
"2019-04-17 17:35:30",43462,339.6,0.808
"2019-04-17 18:05:30",43463,317.5,1.157
"2019-04-17 18:35:30",43464,22.77,0.451
"2019-04-17 19:05:30",43465,13.91,1.71
"2019-04-17 19:35:30",43466,80.6,2.411
"2019-04-17 20:05:30",43467,98.2,3.219
"2019-04-17 20:35:30",43468,285.2,1.209
"2019-04-17 21:05:30",43469,164.7,1.324
"2019-04-17 21:35:30",43470,178.2,1.064
"2019-04-17 22:05:30",43471,170.7,1.703
"2019-04-17 22:35:30",43472,215,1.58
"2019-04-17 23:05:30",43473,199.2,2.47
"2019-04-17 23:35:30",43474,190.1,2.646
"2019-04-18 00:05:30",43475,205.6,3.64
"2019-04-18 00:35:30",43476,189.7,5.212
"2019-04-18 01:05:30",43477,186,7.78
"2019-04-18 01:35:30",43478,186.6,8.74
"2019-04-18 02:05:30",43479,183.8,10.46
"2019-04-18 02:35:30",43480,185.4,11.32
"2019-04-18 03:05:30",43481,184.1,11.53
"2019-04-18 03:35:30",43482,183.9,10.12
"2019-04-18 04:05:30",43483,183.7,11.12
"2019-04-18 04:35:30",43484,181.6,12.12
"2019-04-18 05:05:30",43485,178.2,11.35
"2019-04-18 05:35:30",43486,189.3,9.47
"2019-04-18 06:05:30",43487,182.4,11.26
"2019-04-18 06:35:30",43488,182.8,12.91
"2019-04-18 07:05:30",43489,182.4,12.26
"2019-04-18 07:35:30",43490,184.9,11.89
"2019-04-18 08:05:30",43491,182.6,12.54
"2019-04-18 08:35:30",43492,180.8,12.44
"2019-04-18 09:05:30",43493,185.3,12.07
"2019-04-18 09:35:30",43494,185.6,13.82
"2019-04-18 10:05:30",43495,185.5,13.84
"2019-04-18 10:35:30",43496,184.2,13.55
"2019-04-18 11:05:30",43497,189.8,12.24
"2019-04-18 11:35:30",43498,187.4,11.72
"2019-04-18 12:05:30",43499,181.8,12.16
"2019-04-18 12:35:30",43500,185.8,12.96
"2019-04-18 13:05:30",43501,186,11.75
"2019-04-18 13:35:30",43502,190.7,10.85
