"TOA5","OwascoWinchInternet","CR1000","57852","CR1000.Std.26","CPU:Owasco.cr1","37634","DbgMoveSequence"
"TIMESTAMP","RECORD","DbgStr","DbgStr2"
"TS","RN","",""
"","","Smp","Smp"
"2018-11-06 12:42:51",2992,"2.95; 2.85; 2.66; 2.44; 2.27; 2.1; (-1)1.86; (-1)1.72; (-1)1.43; ","[ (-1)  Curr( 1.43) PrevDpt( 1.72) ]; "
"2018-11-06 12:44:20",2993,"(-1)1.08; ","[ (-1)  Curr( 1.08) PrevDpt( 1.51) ]; "
"2019-04-15 00:00:32",2994,"43.49; 43.55; 43.47; 43.5; 43.53; 43.5; ",""
"2019-04-15 00:00:52",2995,"42.93; 42.96; 42.88; 42.97; 42.95; 42.91; 42.95; ",""
"2019-04-15 00:01:13",2996,"42.38; 42.4; 42.31; 42.5; 42.73; 42.81; 42.99; 43.24; 43.4; 43.55; 43.75; 43.94; 44.16; 44.31; 44.48; 44.68; 44.84; 45.06; 45.22; 45.36; 45.63; 45.78; 45.96; (1)46.14; (1)46.37; (1)46.49; ","[ (1)  Curr( 46.49) PrevDpt( 46.37) ]; "
"2019-04-15 00:02:57",2997,"46.42; 46.27; 46.17; 45.92; 45.76; 45.65; (-1)45.52; (-1)45.17; (-1)45.07; ","[ (-1)  Curr( 45.07) PrevDpt( 45.17) ]; "
"2019-04-15 00:04:26",2998,"45.06; 44.85; 44.79; 44.58; 44.37; 44.21; 44.09; (-1)43.97; (-1)43.69; (-1)43.56; ","[ (-1)  Curr( 43.56) PrevDpt( 43.69) ]; "
"2019-04-15 00:05:56",2999,"43.5; 43.35; 43.22; 43.06; 42.85; 42.69; 42.57; (-1)42.42; (-1)42.11; (-1)42.05; ","[ (-1)  Curr( 42.05) PrevDpt( 42.11) ]; "
"2019-04-15 00:07:26",3000,"42.05; 41.85; 41.64; 41.56; 41.38; 41.18; 41.09; (-1)40.94; (-1)40.62; (-1)40.52; ","[ (-1)  Curr( 40.52) PrevDpt( 40.62) ]; "
"2019-04-15 00:08:56",3001,"40.47; 40.27; 40.13; 40.04; 39.79; 39.59; (-1)39.5; (-1)39.09; ","[ (-1)  Curr( 39.09) PrevDpt( 39.5) ]; "
"2019-04-15 00:10:21",3002,"39.06; 38.94; 38.81; 38.54; 38.42; 38.26; 38.04; (-1)37.91; (-1)37.66; (-1)37.59; ","[ (-1)  Curr( 37.59) PrevDpt( 37.66) ]; "
"2019-04-15 00:11:51",3003,"37.47; 37.37; 37.21; 36.97; 36.86; 36.67; 36.45; (-1)36.34; (-1)36.06; ","[ (-1)  Curr( 36.06) PrevDpt( 36.34) ]; "
