"TOA5","OwascoWinchInternet","CR1000","57852","CR1000.Std.26","CPU:Owasco.cr1","37634","SondeHourly"
"TIMESTAMP","RECORD","sensorParms(1)","sensorParms(2)","sensorParms(3)","sensorParms(4)","sensorParms(5)","sensorParms(6)","sensorParms(7)","sensorParms(8)","sensorParms(9)","sensorParms(10)"
"TS","RN","","","","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2018-11-08 01:55:00",14038,5.73,43.96,331.88,0.92,0.27,61.42,7.69,1.09,6.39,9.57
"2018-11-08 02:55:00",14039,5.71,43.97,332.15,0.95,0.29,60.75,7.61,1.07,6.4,9.41
"2018-11-08 03:55:00",14040,5.64,43.97,332.99,1.11,0.31,58.75,7.37,1.08,6.4,9.44
"2018-11-08 04:55:00",14041,5.65,43.97,332.81,1.05,0.31,59.3,7.44,1.07,6.4,9.51
"2018-11-08 05:55:00",14042,5.67,43.98,332.53,1.05,0.3,60,7.53,1.08,6.4,9.42
"2018-11-08 06:55:00",14043,5.71,43.98,332.25,0.95,0.25,60.35,7.56,1.07,6.4,9.4
"2018-11-08 07:55:00",14044,5.75,43.98,331.78,0.93,0.28,61.45,7.69,1.1,6.4,9.43
"2018-11-08 08:55:00",14045,5.74,43.99,331.92,1.02,0.28,61.23,7.66,1.07,6.4,9.49
"2018-11-08 09:55:00",14046,5.67,43.99,332.68,0.99,0.32,59.52,7.46,1.09,6.39,9.52
"2018-11-08 10:55:00",14047,5.68,44,332.42,0.96,0.3,60.05,7.53,1.12,6.39,9.65
"2019-04-13 14:55:00",14048,3.49,5.01,316.02,0.19,0.58,107.41,14.26,1.44,6.18,11.8
"2019-04-13 15:55:00",14049,3.52,5,316.11,0.21,0.61,107.43,14.25,1.45,6.18,11.91
"2019-04-13 16:55:00",14050,3.54,5,316.18,0.2,0.5,107.37,14.23,1.43,6.19,11.23
"2019-04-13 17:55:00",14051,3.5,5,316.14,0.22,0.69,107.27,14.23,1.45,6.18,10.37
"2019-04-13 18:55:00",14052,3.48,5,316.13,0.24,0.88,107.23,14.24,1.52,6.19,10.2
"2019-04-13 19:55:00",14053,3.51,5,316.11,0.23,0.93,107.4,14.25,1.52,6.18,10
"2019-04-13 20:55:00",14054,3.49,4.99,316.13,0.23,0.89,107.26,14.24,1.49,6.19,10.1
"2019-04-13 21:55:00",14055,3.5,4.98,316.15,0.28,0.73,107.29,14.24,1.49,6.18,10.08
"2019-04-13 22:55:00",14056,3.49,4.98,316.11,0.2,0.75,107.27,14.24,1.42,6.19,10.09
"2019-04-13 23:55:00",14057,3.49,4.97,316.11,0.23,0.71,107.24,14.23,1.44,6.18,10.03
"2019-04-14 00:55:00",14058,3.5,4.96,316.11,0.26,0.76,107.2,14.22,1.45,6.18,10.01
"2019-04-14 01:55:00",14059,3.5,4.96,316.14,0.24,0.79,107.22,14.23,1.46,6.18,10.06
"2019-04-14 02:55:00",14060,3.52,4.95,316.17,0.25,0.65,107.15,14.21,1.46,6.19,9.98
"2019-04-14 03:55:00",14061,3.54,4.94,316.18,0.22,0.74,107.04,14.19,1.46,6.18,9.98
"2019-04-14 04:55:00",14062,3.55,4.94,316.24,0.26,0.71,107.05,14.19,1.44,6.19,10.1
"2019-04-14 05:55:00",14063,3.55,4.94,316.21,0.24,0.64,107.03,14.19,1.43,6.19,10.36
"2019-04-14 06:55:00",14064,3.58,4.93,316.22,0.24,0.56,107.02,14.17,1.45,6.19,11.18
