"TOA5","OwascoWinchDirect","CR1000","57852","CR1000.Std.26","CPU:Owasco 44.cr1","23139","DbgMoveSequence"
"TIMESTAMP","RECORD","DbgStr","DbgStr2"
"TS","RN","",""
"","","Smp","Smp"
"2020-10-08 00:23:56",1880,"23.99; 23.83; 23.66; 23.46; 23.3; 23.1; (-1)22.97; (-1)22.65; (-1)22.54; ","[ (-1)  Curr( 22.54) PrevDpt( 22.65) ]; "
"2020-10-08 00:25:25",1881,"22.52; 22.33; 22.16; 21.98; 21.81; 21.64; (-1)21.5; (-1)21.13; (-1)21.07; ","[ (-1)  Curr( 21.07) PrevDpt( 21.13) ]; "
"2020-10-08 00:26:54",1882,"21.01; 20.85; 20.67; 20.47; 20.31; 20.14; (-1)20; (-1)19.66; (-1)19.54; ","[ (-1)  Curr( 19.54) PrevDpt( 19.66) ]; "
"2020-10-08 00:28:23",1883,"19.49; 19.32; 19.13; 18.94; 18.75; 18.58; (-1)18.43; (-1)18.12; (-1)18.02; ","[ (-1)  Curr( 18.02) PrevDpt( 18.12) ]; "
"2020-10-08 00:29:51",1884,"17.99; 17.81; 17.62; 17.42; 17.26; 17.04; (-1)16.91; (-1)16.61; (-1)16.53; ","[ (-1)  Curr( 16.53) PrevDpt( 16.61) ]; "
"2020-10-08 00:31:19",1885,"16.5; 16.32; 16.11; 15.93; 15.77; 15.58; (-1)15.41; (-1)15.13; (-1)15.04; ","[ (-1)  Curr( 15.04) PrevDpt( 15.13) ]; "
"2020-10-08 00:32:47",1886,"14.98; 14.81; 14.62; 14.4; 14.23; 14.05; (-1)13.87; (-1)13.59; ","[ (-1)  Curr( 13.59) PrevDpt( 13.87) ]; "
"2020-10-08 00:34:11",1887,"13.57; 13.33; 13.16; 12.99; 12.77; 12.58; (-1)12.42; (-1)12.09; ","[ (-1)  Curr( 12.09) PrevDpt( 12.42) ]; "
"2020-10-08 00:35:35",1888,"12.07; 11.87; 11.68; 11.47; 11.29; 11.07; (-1)10.92; (-1)10.61; (-1)10.52; ","[ (-1)  Curr( 10.52) PrevDpt( 10.61) ]; "
"2020-10-08 00:37:03",1889,"10.48; 10.29; 10.08; 9.89; 9.71; 9.520001; (-1)9.35; (-1)9.09; ","[ (-1)  Curr( 9.09) PrevDpt( 9.35) ]; "
"2020-10-08 00:38:27",1890,"9.04; 8.86; 8.68; 8.46; 8.26; 8.08; (-1)7.92; (-1)7.6; ","[ (-1)  Curr( 7.6) PrevDpt( 7.92) ]; "
"2020-10-08 00:39:51",1891,"7.58; 7.38; 7.19; 6.97; 6.79; 6.61; (-1)6.44; (-1)6.11; (-1)6; ","[ (-1)  Curr( 6) PrevDpt( 6.11) ]; "
"2020-10-08 00:41:19",1892,"5.96; 5.78; 5.56; 5.37; 5.15; (-1)5.01; (-1)4.6; ","[ (-1)  Curr( 4.6) PrevDpt( 5.01) ]; "
"2020-10-08 00:42:43",1893,"4.55; 4.36; 4.17; 3.94; 3.73; 3.56; (-1)3.38; (-1)3.09; ","[ (-1)  Curr( 3.09) PrevDpt( 3.38) ]; "
"2020-10-08 00:44:07",1894,"3.06; 2.86; 2.63; 2.44; 2.22; 2.03; (-1)1.86; (-1)1.57; ","[ (-1)  Curr( 1.57) PrevDpt( 1.86) ]; "
"2020-10-08 00:45:31",1895,"(-1)1.12; (-1)1.01; ","[ (-1)  Curr( 1.01) PrevDpt( 1.12) ]; "
"2020-10-10 00:02:30",1896,"",""
"2020-10-10 00:03:31",1897,"(-1)43.83; (-1)43.59; ","[ (-1)  Curr( 43.59) PrevDpt( 43.83) ]; "
"2020-10-10 00:04:51",1898,"43.55; 43.38; 43.26; 42.95; 42.95; 42.69; 42.53; (-1)42.4; (-1)42.17; (-1)42.09; ","[ (-1)  Curr( 42.09) PrevDpt( 42.17) ]; "
"2020-10-10 00:06:21",1899,"41.92; 41.91; 41.6; 41.54; 41.25; 41.16; 40.95; (-1)40.83; (-1)40.64; (-1)40.53; ","[ (-1)  Curr( 40.53) PrevDpt( 40.64) ]; "
"2020-10-10 00:07:50",1900,"40.41; 40.35; 40.05; 39.93; 39.8; 39.57; (-1)39.47; (-1)39.08; ","[ (-1)  Curr( 39.08) PrevDpt( 39.47) ]; "
"2020-10-10 00:09:15",1901,"39.11; 38.91; 38.66; 38.67; 38.31; 38.19; 38.09; (-1)37.87; (-1)37.7; (-1)37.56; ","[ (-1)  Curr( 37.56) PrevDpt( 37.7) ]; "
"2020-10-10 00:10:45",1902,"37.47; 37.3; 37.14; 36.77; 36.86; 36.49; (-1)36.38; (-1)36.01; ","[ (-1)  Curr( 36.01) PrevDpt( 36.38) ]; "
"2020-10-10 00:12:09",1903,"36.06; 35.93; 35.73; 35.59; 35.4; 35.16; 35.05; (-1)34.94; (-1)34.61; (-1)34.52; ","[ (-1)  Curr( 34.52) PrevDpt( 34.61) ]; "
"2020-10-10 00:13:39",1904,"34.57; 34.29; 34.18; 33.96; 33.81; 33.65; (-1)33.51; (-1)33.11; (-1)33.02; ","[ (-1)  Curr( 33.02) PrevDpt( 33.11) ]; "
"2020-10-10 00:15:08",1905,"33.01; 32.87; 32.58; 32.51; 32.17; 32.15; 31.87; (-1)31.68; (-1)31.58; ","[ (-1)  Curr( 31.58) PrevDpt( 31.68) ]; "
"2020-10-10 00:16:32",1906,"31.61; 31.36; 31.27; 31.07; 30.8; 30.75; 30.51; (-1)30.35; (-1)30.19; (-1)30.03; ","[ (-1)  Curr( 30.03) PrevDpt( 30.19) ]; "
"2020-10-10 00:18:02",1907,"29.9; 29.8; 29.41; 29.3; 29.21; 28.92; (-1)28.76; (-1)28.59; ","[ (-1)  Curr( 28.59) PrevDpt( 28.76) ]; "
"2020-10-10 00:19:26",1908,"28.61; 28.37; 28.15; 28.11; 27.77; 27.63; (-1)27.64; (-1)27.09; ","[ (-1)  Curr( 27.09) PrevDpt( 27.64) ]; "
"2020-10-10 00:20:52",1909,"27.1; 26.73; 26.7; 26.52; 26.23; 26.17; 25.9; (-1)25.75; (-1)25.59; ","[ (-1)  Curr( 25.59) PrevDpt( 25.75) ]; "
"2020-10-10 00:22:17",1910,"25.55; 25.43; 25.2; 25.01; 24.9; 24.66; 24.48; (-1)24.32; (-1)24.09; ","[ (-1)  Curr( 24.09) PrevDpt( 24.32) ]; "
"2020-10-10 00:23:42",1911,"24.1; 23.94; 23.67; 23.59; 23.38; 23.1; (-1)23.05; (-1)22.61; (-1)22.52; ","[ (-1)  Curr( 22.52) PrevDpt( 22.61) ]; "
"2020-10-10 00:25:11",1912,"22.54; 22.23; 22.3; 21.9; 21.81; 21.66; 21.33; (-1)21.34; (-1)21.02; ","[ (-1)  Curr( 21.02) PrevDpt( 21.34) ]; "
"2020-10-10 00:26:36",1913,"21.02; 20.92; 20.66; 20.55; 20.29; 20.2; 19.91; (-1)19.73; (-1)19.7; (-1)19.44; ","[ (-1)  Curr( 19.44) PrevDpt( 19.7) ]; "
"2020-10-10 00:28:05",1914,"19.52; 19.24; 19.09; 18.95; 18.73; 18.54; (-1)18.46; (-1)18.02; ","[ (-1)  Curr( 18.02) PrevDpt( 18.46) ]; "
"2020-10-10 00:29:30",1915,"18.03; 17.85; 17.62; 17.44; 17.31; 17.03; (-1)16.89; (-1)16.59; ","[ (-1)  Curr( 16.59) PrevDpt( 16.89) ]; "
"2020-10-10 00:30:54",1916,"16.63; 16.42; 16.23; 15.98; 15.87; 15.65; (-1)15.56; (-1)15.09; ","[ (-1)  Curr( 15.09) PrevDpt( 15.56) ]; "
"2020-10-10 00:32:19",1917,"15.08; 14.82; 14.56; 14.46; 14.22; 14.14; (-1)13.91; (-1)13.72; (-1)13.47; ","[ (-1)  Curr( 13.47) PrevDpt( 13.72) ]; "
"2020-10-10 00:33:48",1918,"13.31; 13.29; 12.89; 12.86; 12.58; (-1)12.33; (-1)12.11; (-1)12.26; ","[ (-1)  Curr( 12.26) PrevDpt( 12.11) ]; "
"2020-10-10 00:34:24",1919,"(-1)11.22; (1)11.93; ","[ (1)  Curr( 11.93) PrevDpt( 11.22) ]; "
"2020-10-10 00:35:36",1920,"11.96; 11.66; 11.46; 11.36; 11.09; (-1)10.84; (-1)10.69; (-1)10.61; (-1)10.37; (1)10.65; (-1)10.53; ","[ (-1)  Curr( 10.53) PrevDpt( 10.65) ]; "
"2020-10-10 00:36:24",1921,"",""
"2020-10-10 00:37:25",1922,"(-1)9.24; (-1)9.04; ","[ (-1)  Curr( 9.04) PrevDpt( 9.24) ]; "
"2020-10-10 00:38:44",1923,"8.82; 8.83; 8.51; 8.32; 8.229999; 7.92; (-1)7.79; (-1)7.54; ","[ (-1)  Curr( 7.54) PrevDpt( 7.79) ]; "
